NDC1,NDC2,NDC3,NDC-11,FDA Name(Product Name),COD Status,FDA Application Number/OTC Monograph Number,Drug Category,Drug Type,Unit Type,UPPS,Line Extension,TEC Code,FDA Approval Date,Market Date,Date Transferred From DDR to MDR,Termination Date
527.0,5180.0,70.0,527518070.0,Sulfamethoxazole 200 mg and Trimethoprim 40 mg,1.0,0077785,N,1.0,ML ,473.0,,AB,01/24/2007,06/18/2020,08/11/2021,
31722.0,136.0,31.0,31722013631.0,Sildenafil Citrate Oral Solution,1.0,0213014,N,1.0,ML ,1.0,,AB,05/11/2021,07/28/2021,08/11/2021,
47426.0,301.0,2.0,47426030102.0,ZYNRELEF,3.0,0211988,S,1.0,ML ,14.0,,NR,05/12/2021,07/01/2021,08/13/2021,
47426.0,303.0,1.0,47426030301.0,ZYNRELEF,3.0,0211988,S,1.0,ML ,7.0,,NR,05/12/2021,07/01/2021,08/13/2021,
50419.0,540.0,1.0,50419054001.0,Kerendia 10mg x 30's,3.0,0215341,S,1.0,TAB,30.0,,NR,07/09/2021,07/14/2021,08/11/2021,
50419.0,540.0,2.0,50419054002.0,Kerendia 10mg x 90's,3.0,0215341,S,1.0,TAB,90.0,,NR,07/09/2021,07/14/2021,08/11/2021,
50419.0,541.0,1.0,50419054101.0,Kerendia 20mg x 30's,3.0,0215341,S,1.0,TAB,30.0,,NR,07/09/2021,07/14/2021,08/11/2021,
50419.0,541.0,2.0,50419054102.0,Kerendia 20mg x 90's,3.0,0215341,S,1.0,TAB,90.0,,NR,07/09/2021,07/14/2021,08/11/2021,
51672.0,1400.0,4.0,51672140004.0,"Clindamycin Phosphate Topical Lotion, 1%",1.0,0214526,N,1.0,ML ,60.0,,AB,06/28/2021,07/23/2021,08/12/2021,
57664.0,62.0,88.0,57664006288.0,Amphetamine Sulfate Tablets 5mg 100ct,1.0,0214574,N,1.0,TAB,100.0,,AA,01/27/2021,08/10/2021,08/12/2021,
57664.0,75.0,88.0,57664007588.0,Amphetamine Sulfate Tablets 10mg 100ct,1.0,0214574,N,1.0,TAB,100.0,,AA,01/27/2021,08/10/2021,08/12/2021,
59651.0,348.0,30.0,59651034830.0,Leflunomide Tablets USP 10 mg - 30/Bottle,1.0,0213652,N,1.0,TAB,30.0,,AB,03/29/2021,08/02/2021,08/13/2021,
59651.0,378.0,1.0,59651037801.0,Zonisamide Capsules 25 mg - 100/Bottle,1.0,0077645,N,1.0,CAP,100.0,,AB,09/29/2006,07/23/2021,08/11/2021,
59651.0,379.0,1.0,59651037901.0,Zonisamide Capsules 50 mg - 100/Bottle,1.0,0077645,N,1.0,EA ,100.0,,AB,09/29/2006,07/26/2021,08/11/2021,
59651.0,380.0,1.0,59651038001.0,Zonisamide Capsules 100 mg - 100/Bottle,1.0,0077645,N,1.0,CAP,100.0,,AB,12/22/2005,07/12/2021,08/13/2021,
59651.0,389.0,1.0,59651038901.0,Buspirone HCl Tabs USP 5 mg 100/Bottle,1.0,0078246,N,1.0,TAB,100.0,,AB,02/27/2009,07/21/2021,08/11/2021,
59651.0,389.0,5.0,59651038905.0,Buspirone HCl Tabs USP 5 mg 500/Bottle,1.0,0078246,N,1.0,TAB,500.0,,AB,02/27/2009,07/21/2021,08/11/2021,
59651.0,391.0,1.0,59651039101.0,Buspirone HCl Tabs USP 10 mg 100/Bottle,1.0,0078246,N,1.0,TAB,100.0,,AB,02/27/2009,07/21/2021,08/11/2021,
59651.0,391.0,5.0,59651039105.0,Buspirone HCl Tabs USP 10 mg 500/Bottle,1.0,0078246,N,1.0,TAB,500.0,,AB,02/27/2009,07/21/2021,08/11/2021,
59651.0,392.0,1.0,59651039201.0,Buspirone HCl Tabs USP 15 mg 100/Bottle,1.0,0078246,N,1.0,TAB,100.0,,AB,02/27/2009,07/21/2021,08/11/2021,
