OSHPD_ID,FACILITY_NAME,LICENSE_NUM,FACILITY_LEVEL_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,COUNTY_CODE,COUNTY_NAME,ER_SERVICE_LEVEL_DESC,TOTAL_NUMBER_BEDS,FACILITY_STATUS_DESC,FACILITY_STATUS_DATE,LICENSE_TYPE_DESC,LICENSE_CATEGORY_DESC,LATITUDE,LONGITUDE
106010042,JOHN GEORGE PSYCHIATRIC HOSPITAL,140000046,Distinct Part Facility,2060 FAIRMONT DRIVE,SAN LEANDRO,94578,1,Alameda,,80,Open,2022-11-01,Hospital,General Acute Care Hospital,37.7105527,-122.1202563
106010735,ALAMEDA HOSPITAL,140000002,Parent Facility,2070 CLINTON AVE,ALAMEDA,94501,1,Alameda,Emergency - Basic,101,Open,1946-01-01,Hospital,General Acute Care Hospital,37.7626798,-122.2541062
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,140000004,Parent Facility,2450 ASHBY AVENUE,BERKELEY,94705,1,Alameda,Emergency - Basic,339,Open,1946-01-02,Hospital,General Acute Care Hospital,37.8556279,-122.2575014
106010776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,140000015,Parent Facility,747 52ND ST,OAKLAND,94609,1,Alameda,Emergency - Basic,155,Open,1946-01-01,Hospital,General Acute Care Hospital,37.8369379,-122.2672306
106010811,FAIRMONT HOSPITAL,140000046,Consolidated Facility,15400 FOOTHILL BOULEVARD,SAN LEANDRO,94578,1,Alameda,,109,Open,1953-07-01,Hospital,General Acute Care Hospital,37.7081679,-122.1198228
106010844,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,140000004,Consolidated Facility,2001 DWIGHT WAY,BERKELEY,94704,1,Alameda,,64,Open,1946-01-01,Hospital,General Acute Care Hospital,37.8640724,-122.2687119
106010846,HIGHLAND HOSPITAL,140000046,Parent Facility,1411 EAST 31ST STREET,OAKLAND,94602,1,Alameda,Emergency - Basic,169,Open,1953-07-01,Hospital,General Acute Care Hospital,37.7990596,-122.2325063
106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,140000066,Parent Facility,2800 BENEDICT DR,SAN LEANDRO,94577,1,Alameda,,99,Open,1962-11-13,Hospital,General Acute Care Hospital,37.7160578,-122.1304709
106010937,ALTA BATES SUMMIT MEDICAL CENTER,140000284,Parent Facility,350 HAWTHORNE AVENUE,OAKLAND,94609,1,Alameda,Emergency - Basic,309,Open,1946-01-01,Hospital,General Acute Care Hospital,37.821175,-122.26304
106010967,ST. ROSE HOSPITAL,140000107,Parent Facility,27200 CALAROGA AVE,HAYWARD,94545,1,Alameda,Emergency - Basic,171,Open,1962-10-10,Hospital,General Acute Care Hospital,37.6330725,-122.0885076
106010983,STANFORD HEALTH CARE TRI-VALLEY,140000114,Consolidated Facility,1111 E. STANLEY BOULEVARD,LIVERMORE,94550,1,Alameda,,75,Open,1969-10-19,Hospital,General Acute Care Hospital,37.677353,-121.7819586
106010987,WASHINGTON HOSPITAL - FREMONT,140000116,Parent Facility,2000 MOWRY AVE,FREMONT,94538,1,Alameda,Emergency - Basic,415,Open,1958-11-19,Hospital,General Acute Care Hospital,37.5573002,-121.9779701
106013619,SAN LEANDRO HOSPITAL,140000046,Consolidated Facility,13855 EAST 14TH STREET,SAN LEANDRO,94578,1,Alameda,Emergency - Basic,91,Open,2019-08-19,Hospital,General Acute Care Hospital,37.712266,-122.1435578
106013626,ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT CAMPUS,140000284,Consolidated Facility,3100 SUMMIT STREET,OAKLAND,94609,1,Alameda,,,Open,1946-01-01,Hospital,General Acute Care Hospital,37.8201507,-122.2639466
106013687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,140000232,Parent Facility,3012 Summit St,Oakland,94609,1,Alameda,Not Applicable,24,Open,1983-10-12,Hospital,Chemical Dep. Recovery Hospital,37.8194841,-122.2641652
106014034,FREMONT HOSPITAL,140000347,Parent Facility,39001 SUNDALE DR,FREMONT,94538,1,Alameda,Not Applicable,148,Open,1990-02-16,Hospital,Acute Psychiatric Hospital,37.5466277,-121.9797028
106014050,STANFORD HEALTH CARE TRI-VALLEY,140000114,Parent Facility,5555 WEST LAS POSITAS BLVD.,PLEASANTON,94588,1,Alameda,Emergency - Basic,167,Open,1991-12-09,Hospital,General Acute Care Hospital,37.6933946,-121.8803417
106014132,KAISER FOUNDATION HOSPITAL - FREMONT,140000053,Parent Facility,39400 PASEO PADRE PKWY,FREMONT,94538,1,Alameda,Emergency - Basic,100,Open,1996-12-01,Hospital,General Acute Care Hospital,37.5521617,-121.9754891
106014207,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,M02016036,Parent Facility,2633 EAST 27TH STREET,OAKLAND,94601,1,Alameda,Not Applicable,26,Open,2005-08-16,Hospital,Psychiatric Health Facility,37.7905759,-122.2220899
106014226,TELECARE WILLOW ROCK CENTER,M02016039,Parent Facility,2050 FAIRMONT DRIVE,SAN LEANDRO,94578,1,Alameda,Not Applicable,16,Open,2007-07-02,Hospital,Psychiatric Health Facility,37.709319,-122.1184917
106014233,EDEN MEDICAL CENTER,140000030,Parent Facility,20103 Lake Chabot Rd,Castro Valley,94546,1,Alameda,Emergency - Basic,130,Open,2012-11-01,Hospital,General Acute Care Hospital,37.6982685,-122.0903131
106014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,140000052,Parent Facility,275 W MacArthur Blvd,Oakland,94611,1,Alameda,Emergency - Basic,315,Open,2014-07-01,Hospital,General Acute Care Hospital,37.8237286,-122.2581382
106014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,550002678,Parent Facility,2500 MERCED STREET,SAN LEANDRO,94577,1,Alameda,Emergency - Basic,216,Open,2014-06-03,Hospital,General Acute Care Hospital,37.706844,-122.1642717
106034002,SUTTER AMADOR HOSPITAL,030000008,Parent Facility,200 MISSION BLVD,JACKSON,95642,3,Amador,Emergency - Basic,52,Open,2000-04-10,Hospital,General Acute Care Hospital,38.3504826,-120.764465
106040802,ORCHARD HOSPITAL,230000007,Parent Facility,240 Spruce St,Gridley,95948,4,Butte,Emergency - Standby,24,Open,1949-05-24,Hospital,General Acute Care Hospital,39.3675541,-121.6894693
106040828,ENLOE MEDICAL CENTER - COHASSET,230000027,Consolidated Facility,560 COHASSET ROAD,CHICO,95926,4,Butte,,30,Open,1964-06-19,Hospital,General Acute Care Hospital,39.7526032,-121.8481661
106040937,OROVILLE HOSPITAL,230000022,Parent Facility,2767 OLIVE HWY,OROVILLE,95966,4,Butte,Emergency - Basic,133,Open,1962-01-01,Hospital,General Acute Care Hospital,39.5061693,-121.5411912
106040962,ENLOE MEDICAL CENTER- ESPLANADE,230000027,Parent Facility,1531 ESPLANADE,CHICO,95926,4,Butte,Emergency - Basic,228,Open,1946-03-29,Hospital,General Acute Care Hospital,39.7425867,-121.849727
106044006,BUTTE COUNTY MENTAL HEALTH SERVICES,M01016001,Parent Facility,592 Rio Lindo Ave,Chico,95926,4,Butte,Not Applicable,16,Open,1988-01-29,Hospital,Psychiatric Health Facility,39.7545626,-121.8474544
106044011,ENLOE REHABILITATION CENTER,230000027,Consolidated Facility,340 WEST EAST AVENUE,CHICO,95926,4,Butte,,40,Open,1991-05-14,Hospital,General Acute Care Hospital,39.7541587,-121.8675522
106050932,MARK TWAIN MEDICAL CENTER,030000058,Parent Facility,768 Mountain Ranch Rd,San Andreas,95249,5,Calaveras,Emergency - Basic,25,Open,1951-08-21,Hospital,General Acute Care Hospital,38.1908341,-120.6700478
106060870,COLUSA MEDICAL CENTER,230000149,Parent Facility,199 E Webster St,Colusa,95932,6,Colusa,Emergency - Standby,48,Open,1953-07-01,Hospital,General Acute Care Hospital,39.2063593,-122.0017472
106070924,CONTRA COSTA REGIONAL MEDICAL CENTER,140000090,Parent Facility,2500 ALHAMBRA AVENUE,MARTINEZ,94553,7,Contra Costa,Emergency - Basic,167,Open,1953-07-02,Hospital,General Acute Care Hospital,38.0060892,-122.1327778
106070934,SUTTER DELTA MEDICAL CENTER,140000258,Parent Facility,3901 LONE TREE WAY,ANTIOCH,94509,7,Contra Costa,Emergency - Basic,141,Open,1967-02-02,Hospital,General Acute Care Hospital,37.9827593,-121.8029656
106070988,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,140000265,Parent Facility,1601 YGNACIO VALLEY ROAD,WALNUT CREEK,94598,7,Contra Costa,Emergency - Basic,554,Open,1965-06-15,Hospital,General Acute Care Hospital,37.9128769,-122.0409498
106070990,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,140000290,Parent Facility,1425 S MAIN ST,WALNUT CREEK,94596,7,Contra Costa,Emergency - Basic,233,Open,1953-09-11,Hospital,General Acute Care Hospital,37.8915065,-122.0580137
106071018,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,140000128,Parent Facility,2540 EAST ST,CONCORD,94520,7,Contra Costa,Emergency - Basic,276,Open,1946-01-01,Hospital,General Acute Care Hospital,37.9851726,-122.0336632
106074011,SAN RAMON REGIONAL MEDICAL CENTER SOUTH BUILDING,140000345,Consolidated Facility,7777 NORRIS CANYON ROAD,SAN RAMON,94583,7,Contra Costa,,,Open,2008-06-01,Hospital,General Acute Care Hospital,37.7746495,-121.9571762
106074017,SAN RAMON REGIONAL MEDICAL CENTER,140000345,Parent Facility,6001 NORRIS CANYON ROAD,SAN RAMON,94583,7,Contra Costa,Emergency - Basic,123,Open,1990-02-12,Hospital,General Acute Care Hospital,37.7752251,-121.958176
106074039,JOHN MUIR BEHAVIORAL HEALTH CENTER,140000418,Parent Facility,2740 GRANT ST,CONCORD,94520,7,Contra Costa,Not Applicable,73,Open,1993-03-10,Hospital,Acute Psychiatric Hospital,37.9858297,-122.0367315
106074093,KAISER FOUNDATION HOSPITAL - RICHMOND CAMPUS,140000052,Consolidated Facility,901 Nevin Ave,Richmond,94801,7,Contra Costa,Emergency - Basic,50,Open,1995-09-07,Hospital,General Acute Care Hospital,37.9371748,-122.3607878
106074097,KAISER FOUNDATION HOSPITAL - ANTIOCH,550000614,Parent Facility,4501 SAND CREEK ROAD,ANTIOCH,94531,7,Contra Costa,Emergency - Basic,150,Open,2007-11-07,Hospital,General Acute Care Hospital,37.9508418,-121.7749286
106084001,SUTTER COAST HOSPITAL,110000067,Parent Facility,800 E WASHINGTON BLVD,CRESCENT CITY,95531,8,Del Norte,Emergency - Basic,49,Open,1946-01-01,Hospital,General Acute Care Hospital,41.7736588,-124.1942469
106090793,BARTON MEMORIAL HOSPITAL,030000013,Parent Facility,2170 SOUTH AVENUE,SOUTH LAKE TAHOE,96150,9,El Dorado,Emergency - Basic,111,Open,1963-11-21,Hospital,General Acute Care Hospital,38.9115633,-119.9965447
106090933,MARSHALL MEDICAL CENTER,030000059,Parent Facility,1100 MARSHALL WAY,PLACERVILLE,95667,9,El Dorado,Emergency - Basic,111,Open,1959-05-22,Hospital,General Acute Care Hospital,38.72467,-120.7916501
106094002,TELECARE EL DORADO COUNTY P.H.F.,M20016057,Parent Facility,935B SPRING ST,PLACERVILLE,95667,9,El Dorado,Not Applicable,16,Open,1988-01-29,Hospital,Psychiatric Health Facility,38.7322778,-120.801854
106100005,CLOVIS COMMUNITY MEDICAL CENTER,040000004,Parent Facility,2755 HERNDON AVENUE,CLOVIS,93611,10,Fresno,Emergency - Basic,352,Open,1988-12-15,Hospital,General Acute Care Hospital,36.8388469,-119.6611827
