OBJECTID,SLDLST,GEOID,Centers,Capacity,GrpHmeCnt,FamHmeCnt,LicCenCnt,EarlyHSCnt,CapEarlyHS,GSRPCnt,CapGSRP,HSCnt,CapHS,Shape__Area,Shape__Length
1,1,26001,56,2253,8.0,12.0,36,2.0,12.0,10,642,5.0,186.0,892233978.150391,175764.488503012
2,2,26002,52,2904,5.0,5.0,42,11.0,966.0,7,571,6.0,650.0,883173602.717529,186108.280534993
3,3,26003,48,1728,4.0,17.0,27,5.0,227.0,13,784,5.0,225.0,479265786.59375,121618.539187807
4,4,26004,46,3268,,6.0,40,6.0,394.0,13,798,8.0,700.0,562839349.79834,110943.413095135
5,5,26005,29,1721,4.0,,25,7.0,391.0,11,810,8.0,642.0,436904592.240723,151521.267709113
6,6,26006,47,2341,5.0,3.0,39,4.0,318.0,15,1133,7.0,499.0,803073037.008545,238125.80870857
7,7,26007,66,3054,8.0,17.0,41,9.0,571.0,19,1552,5.0,379.0,401070940.367432,124643.404135912
8,8,26008,65,2389,9.0,22.0,34,8.0,369.0,17,1246,2.0,185.0,442179447.36377,120976.493340956
9,9,26009,70,2647,12.0,17.0,41,11.0,464.0,14,1032,10.0,473.0,456907799.301514,132879.357472886
10,10,26010,88,3367,13.0,29.0,46,6.0,257.0,15,1111,5.0,469.0,485049438.325928,163940.526611887
11,11,26011,55,3095,7.0,14.0,34,1.0,315.0,13,1367,3.0,379.0,578028102.519043,177503.802401776
12,12,26012,37,1772,5.0,9.0,23,4.0,216.0,4,438,3.0,259.0,1833688423.91187,201123.848428462
13,13,26013,54,3233,3.0,7.0,44,1.0,174.0,8,703,2.0,265.0,562044102.719482,235124.136588049
14,14,26014,28,1788,,3.0,25,,,4,584,1.0,182.0,559785170.021484,161584.684200069
15,15,26015,56,3795,2.0,3.0,51,,,16,1306,2.0,135.0,662928028.866943,149424.411086987
16,16,26016,56,2157,3.0,19.0,34,,,4,693,1.0,323.0,677722934.25708,143143.016413369
17,17,26017,59,2309,10.0,20.0,29,,,6,434,3.0,228.0,6819518484.48816,517490.294620501
18,18,26018,80,3687,10.0,24.0,46,2.0,81.0,12,860,3.0,71.0,559763443.110352,128159.351442285
19,19,26019,72,4613,9.0,11.0,52,1.0,84.0,4,410,1.0,84.0,971747101.250244,137516.941841189
20,20,26020,61,4758,2.0,11.0,48,,,4,510,2.0,82.0,1225987386.51807,202545.366707703
21,21,26021,74,4841,6.0,21.0,47,1.0,72.0,2,139,1.0,72.0,1647699030.39502,225720.334438929
22,22,26022,42,2232,6.0,7.0,29,2.0,56.0,6,736,5.0,329.0,538230995.02002,141700.787653762
23,23,26023,46,2178,10.0,3.0,33,1.0,12.0,5,196,1.0,12.0,2885296746.49316,313481.430730702
24,24,26024,35,2009,5.0,9.0,21,,,2,317,1.0,29.0,1143645164.78418,248729.066574589
25,25,26025,63,3227,8.0,24.0,31,1.0,6.0,4,381,1.0,40.0,583916808.758789,148327.95580665
26,26,26026,57,3018,3.0,20.0,34,,,5,758,2.0,204.0,526270077.837891,112162.893597905
27,27,26027,78,3696,23.0,19.0,36,2.0,222.0,8,1010,3.0,469.0,475643247.865234,107280.094668886
28,28,26028,44,1722,8.0,13.0,23,3.0,63.0,4,281,5.0,270.0,646523120.6875,149064.978197107
29,29,26029,78,4422,16.0,17.0,45,4.0,547.0,12,1362,4.0,492.0,1181874476.73535,229765.602588335
30,30,26030,40,1977,2.0,15.0,23,1.0,6.0,4,331,1.0,100.0,830671423.254395,192449.644052245
31,31,26031,69,2824,7.0,25.0,37,5.0,405.0,9,746,3.0,73.0,678623579.620117,159381.868425868
32,32,26032,68,2581,10.0,23.0,35,1.0,8.0,6,359,5.0,107.0,7882901919.79297,589687.725072599
33,33,26033,50,2589,12.0,14.0,24,,,4,530,2.0,33.0,5140933531.771,354151.006640451
34,34,26034,51,2156,11.0,12.0,28,3.0,40.0,13,1401,9.0,718.0,711174126.918945,226466.140105545
35,35,26035,104,5379,28.0,21.0,55,1.0,110.0,7,761,1.0,192.0,999010550.705078,126420.629556305
36,36,26036,40,2715,4.0,9.0,27,,,6,781,1.0,24.0,2800274778.62842,289010.635844955
37,37,26037,68,3838,10.0,18.0,40,,,1,189,1.0,189.0,1002351661.51807,126641.301426676
38,38,26038,74,4805,5.0,25.0,44,,,3,361,,,1959242323.00537,241578.33969174
