boro,order_no,main_st,from_st,to_st,sos
B,P-01422438,WESTCHESTER AVENUE,WHEELER AVENUE,EVERGREEN AVENUE,N
B,P-01422449,WESTCHESTER AVENUE,BOYNTON AVENUE,WARD AVENUE,S
B,P-01422457,WESTCHESTER AVENUE,COLGATE AVENUE,EVERGREEN AVENUE,S
B,P-01422465,WESTCHESTER AVENUE,EAST  165 STREET,HOE AVENUE,S
B,P-01422533,VALENTINE AVENUE,EAST FORDHAM ROAD,EAST  192 STREET,E
B,P-01422534,WHEELER AVENUE,WESTCHESTER AVENUE,WATSON AVENUE,W
B,P-01422536,DREISER LOOP*W,DEFOE PLACE,CO-OP CITY BOULEVARD,E
B,P-01422537,EAST TREMONT AVENUE,PROSPECT AVENUE,MARMION AVENUE,S
B,P-01422539,WESTCHESTER AVENUE,ELDER AVENUE,BOYNTON AVENUE,S
B,P-01422545,WESTCHESTER AVENUE,GLEBE AVENUE,CASTLE HILL AVENUE,N
B,P-01422547,VALENTINE AVENUE,EAST  188 STREET,EAST FORDHAM ROAD,E
B,P-01422553,EAST TREMONT AVENUE,THIRD AVENUE,ARTHUR AVENUE,S
B,P-01422558,WESTCHESTER AVENUE,EVERGREEN AVENUE,WHEELER AVENUE,S
B,P-01422563,UNIVERSITY AVENUE,WEST TREMONT AVENUE,WEST  176 STREET,W
B,P-01422567,VALENTINE AVENUE,EAST  187 STREET,EAST  188 STREET,E
B,P-01422572,WESTCHESTER AVENUE,FOX STREET,SIMPSON STREET,S
B,P-01422603,UNIVERSITY AVENUE,WEST  179 STREET,WEST BURNSIDE AVENUE,W
B,P-01422621,EAST TREMONT AVENUE,WASHINGTON AVENUE,BATHGATE AVENUE,S
B,P-01422632,WESTCHESTER AVENUE,HOE AVENUE,FAILE STREET,S
B,P-01422647,WEST  183 STREET,JEROME AVENUE,DAVIDSON AVENUE,N
B,P-01422654,WEST  183 STREET,DAVIDSON AVENUE,GRAND AVENUE,N
B,P-01422662,WEBSTER AVENUE,EAST  189 STREET,EAST FORDHAM ROAD,E
B,P-01422666,WESTCHESTER AVENUE,MANOR AVENUE,STRATFORD AVENUE,S
B,P-01422672,WESTCHESTER AVENUE,SOUTHERN BOULEVARD,SIMPSON STREET,N
B,P-01422692,WESTCHESTER AVENUE,MORRISON AVENUE,HARROD PLACE,S
B,P-01422724,WESTCHESTER AVENUE,OLMSTEAD AVENUE,CASTLE HILL AVENUE,S
B,P-01422761,WARD AVENUE,WESTCHESTER AVENUE,EAST  172 STREET,W
B,P-01422767,WEBSTER AVENUE,EAST  176 STREET,EAST TREMONT AVENUE,E
B,P-01422769,WESTCHESTER AVENUE,SOUTHERN BOULEVARD,HOE AVENUE,S
B,P-01422789,WESTCHESTER AVENUE,STRATFORD AVENUE,MORRISON AVENUE,S
B,P-01422793,WESTCHESTER AVENUE,WARD AVENUE,MANOR AVENUE,S
B,P-01422825,WHEELER AVENUE,EAST  172 STREET,WESTCHESTER AVENUE,E
B,P-01422859,WHEELER AVENUE,WESTCHESTER AVENUE,WATSON AVENUE,E
B,P-01422862,WEBSTER AVENUE,EAST  168 STREET,EAST  167 STREET,W
B,P-01422865,WEBSTER AVENUE,EAST  193 STREET,EAST FORDHAM ROAD,W
B,P-01422867,WEBSTER AVENUE,EAST  194 STREET,EAST  193 STREET,W
B,P-01422868,WHEELER AVENUE,EAST  172 STREET,WESTCHESTER AVENUE,W
B,P-01422870,WEBSTER AVENUE,EAST FORDHAM ROAD,EAST  188 STREET,W
B,P-01422873,WHITE PLAINS ROAD,CRANFORD AVENUE,ST OUEN STREET,E
B,P-01422875,WEST  170 STREET,PLAZA DRIVE,INWOOD AVENUE,N
B,P-01422877,WHITE PLAINS ROAD,GUERLAIN STREET,EAST TREMONT AVENUE,E
B,P-01422879,WEST  170 STREET,INWOOD AVENUE,PLAZA DRIVE,S
B,P-01422998,WHITE PLAINS ROAD,LYDIG AVENUE,PELHAM PARKWAY,E
B,P-01423001,WHITE PLAINS ROAD,MARAN PLACE,LYDIG AVENUE,E
B,P-01423020,WHITE PLAINS ROAD,MCGRAW AVENUE,WOOD AVENUE,E
B,P-01423032,WHITE PLAINS ROAD,PELHAM PARKWAY NORTH,ASTOR AVENUE,E
B,P-01423055,WHITE PLAINS ROAD,ST OUEN STREET,PENFIELD STREET,E
B,P-01423068,WHITE PLAINS ROAD,EAST  242 STREET,EAST  241 STREET,W
B,P-01423086,WHITE PLAINS ROAD,GUERLAIN STREET,ARCHER STREET,W
B,P-01423089,WHITE PLAINS ROAD,LYDIG AVENUE,MARAN PLACE,W
B,P-01423111,WHITE PLAINS ROAD,PELHAM PARKWAY SOUTH,LYDIG AVENUE,W
B,P-01423125,WHITE PLAINS ROAD,WESTCHESTER AVENUE,GLEASON AVENUE,W
B,P-01423130,WHITE PLAINS ROAD,WOOD AVENUE,CROSS BRONX EXPRESSWAY,W
B,P-01423152,WILLIAMSBRIDGE ROAD,VAN NEST AVENUE,PIERCE AVENUE,W
B,P-01423158,WILLIS AVENUE,EAST  137 STREET,EAST  138 STREET,E
B,P-01423167,WILLIS AVENUE,EAST  138 STREET,EAST  139 STREET,E
B,P-01423182,WILLIS AVENUE,EAST  139 STREET,EAST  138 STREET,W
B,P-01423187,WOOD AVENUE,WHITE PLAINS ROAD,VIRGINIA AVENUE,S
B,P-01423210,ZEREGA AVENUE,TRATMAN AVENUE,WESTCHESTER AVENUE,E
B,P-01423234,ZEREGA AVENUE,LYON AVENUE,WESTCHESTER AVENUE,W
B,P-01423630,EAST TREMONT AVENUE,WEBSTER AVENUE,PARK AVENUE,S
B,P-01423636,EASTCHESTER ROAD,WARING AVENUE,MACE AVENUE,E
B,P-01423660,EASTCHESTER ROAD,ALLERTON AVENUE,MACE AVENUE,W
B,P-01423669,EDWARD L GRANT HIGHWAY,JESUP AVENUE,SHAKESPEARE AVENUE,E
B,P-01423680,EDWARD L GRANT HIGHWAY,SHAKESPEARE AVENUE,NELSON AVENUE,E
B,P-01423708,JEROME AVENUE,EAST  179 STREET,EAST BURNSIDE AVENUE,E
B,P-01423729,EINSTEIN LOOP SOUTH,EINSTEIN LOOP EAST,HUTCH RIVER PARKWAY EAST,N
B,P-01423742,ELDER AVENUE,WATSON AVENUE,WESTCHESTER AVENUE,E
B,P-01423749,ELDER AVENUE,WESTCHESTER AVENUE,EAST  172 STREET,E
B,P-01423760,ELM PLACE,EAST FORDHAM ROAD,EAST  188 STREET,E
B,P-01423761,EVERGREEN AVENUE,WESTCHESTER AVENUE,EAST  172 STREET,E
B,P-01423766,EVERGREEN AVENUE,WESTCHESTER AVENUE,BRONX RIVER AVENUE,W
B,P-01423772,FIELD PLACE,GRAND CONCOURSE,RYER AVENUE,N
B,P-01423776,FIELD PLACE,GRAND CONCOURSE,RYER AVENUE,S
B,P-01423789,FOX STREET,EAST  165 STREET,WESTCHESTER AVENUE,W
B,P-01423792,GERARD AVENUE,EAST  161 STREET,EAST  164 STREET,E
B,P-01423911,GERARD AVENUE,EAST  161 STREET,EAST  162 STREET,W
B,P-01423917,GRAND CONCOURSE,EAST  149 STREET,EAST  150 STREET,E
B,P-01423920,GRAND CONCOURSE,EAST  150 STREET,EAST  153 STREET,E
B,P-01423927,GRAND CONCOURSE,EAST  150 STREET,EAST  149 STREET,W
B,P-01423932,GRAND CONCOURSE,EAST BURNSIDE AVENUE,BUSH STREET,W
B,P-01423936,GRAND CONCOURSE,EAST  173 STREET,EASTBURN AVENUE,E
B,P-01423961,WEBSTER AVENUE,EAST TREMONT AVENUE,EAST  176 STREET,W
B,P-01423968,GUERLAIN STREET,WHITE PLAINS ROAD,ARCHER ROAD,S
B,P-01424001,HUGH J GRANT CIRCLE,WESTCHESTER AVENUE,METROPOLITAN AVENUE,N
B,P-01424006,JEROME AVENUE,EAST  170 STREET,EAST  171 STREET,E
B,P-01424106,JEROME AVENUE,EAST  183 STREET,EAST  184 STREET,E
B,P-01424183,JEROME AVENUE,EAST  193 STREET,EAST KINGSBRIDGE ROAD,E
B,P-01424202,JEROME AVENUE,EAST CLARKE PLACE,MARCY PLACE,E
B,P-01424204,JEROME AVENUE,EAST FORDHAM ROAD,EAST  190 STREET,E
B,P-01424306,JEROME AVENUE,EAST TREMONT AVENUE,EAST  179 STREET,E
B,P-01424311,JEROME AVENUE,ELLIOT PLACE,EAST  170 STREET,E
B,P-01424319,JEROME AVENUE,GERARD AVENUE,EAST CLARKE PLACE,E
B,P-01424327,JEROME AVENUE,NORTH STREET,EVELYN PLACE,W
B,P-01424394,CASTLE HILL AVENUE,BRUCKNER BOULEVARD,QUIMBY AVENUE,W
B,P-01424411,JEROME AVENUE,WEST  181 STREET,WEST BURNSIDE AVENUE,W
B,P-01424458,JEROME AVENUE,WEST  192 STREET,WEST  190 STREET,W
B,P-01424550,WEST FORDHAM ROAD,GRAND AVENUE,UNIVERSITY AVENUE,N
B,P-01424626,WEST KINGSBRIDGE ROAD,JEROME AVENUE,RESERVOIR AVENUE,N
B,P-01424703,JEROME AVENUE,WEST BURNSIDE AVENUE,WEST TREMONT AVENUE,W
B,P-01424708,JEROME AVENUE,WEST FORDHAM ROAD,WEST  184 STREET,W
B,P-01424756,WEST KINGSBRIDGE ROAD,UNIVERSITY AVENUE,AQUEDUCT AVENUE,S
B,P-01424873,JEROME AVENUE,WEST GUN HILL ROAD,WEST MOSHOLU PARKWAY NORTH,W
B,P-01424881,JEROME AVENUE,WEST KINGSBRIDGE ROAD,WEST  192 STREET,W
B,P-01425004,EAST GUNHILL ROAD,PEARSALL AVENUE,THROOP AVENUE,S
B,P-01425441,EAST GUNHILL ROAD,YOUNG AVENUE,FISH AVENUE,S
B,P-01426109,RIVERDALE AVENUE,WEST  236 STREET,WEST  238 STREET,E
B,P-01426379,BEDFORD PARK BOULEVARD,PAUL AVENUE,GOULDEN AVENUE,N
B,P-01426403,RIVERDALE AVENUE,WEST  238 STREET,WEST  236 STREET,W
B,P-01426970,CROSBY AVENUE,MIDDLETOWN ROAD,ROBERTS AVENUE,E
B,P-01427000,WILLIAMSBRIDGE ROAD,SAINT RAYMOND AVENUE,CHESBROUGH AVENUE,E
B,P-01427012,WILLIAMSBRIDGE ROAD,CHESBROUGH AVENUE,EASTCHESTER ROAD,E
B,P-01427065,WILLIAMSBRIDGE ROAD,RHINELANDER AVENUE,NEILL AVENUE,E
B,P-01427079,WILLIAMSBRIDGE ROAD,NEILL AVENUE,LYDIG AVENUE,E
B,P-01427097,WILLIAMSBRIDGE ROAD,LYDIG AVENUE,PELHAM PARKWAY SOUTH,E
B,P-01427910,WILLIAMSBRIDGE ROAD,PELHAM PARKWAY,LYDIG AVENUE,W
B,P-01427942,WILLIAMSBRIDGE ROAD,SILVER STREET,SAINT RAYMOND AVENUE,W
B,P-01427960,WILLIAMSBRIDGE ROAD,SAINT RAYMOND AVENUE,EAST TREMONT AVENUE,W
B,P-01430184,WEST  231 STREET,BAILEY AVENUE,ALBANY CRESCENT,N
B,P-01430405,WEST  231 STREET,ALBANY CRESCENT,BAILEY AVENUE,S
B,P-01431215,WEST FORDHAM ROAD,CEDAR AVENUE,HAMPDEN PLACE,S
B,P-01431248,WEST FORDHAM ROAD,SEDGWICK AVENUE,LORING PLACE NORTH,S
B,P-01431267,EAST FORDHAM ROAD,TIEBOUT AVENUE,ELM PLACE,S
B,P-01431540,PELHAM PARKWAY SOUTH,WILSON AVENUE,EASTCHESTER ROAD,S
B,P-01432859,GRAND CONCOURSE,EAST  192 STREET,EAST FORDHAM ROAD,W
B,P-01432867,GRAND CONCOURSE*W S/R,EAST  188 STREET,EAST  184 STREET,W
B,P-01432874,GRAND CONCOURSE*W S/R,FIELD PLACE,EAST  183 STREET,W
B,P-01433554,GRAND CONCOURSE*W S/R,EAST  182 STREET,EAST  181 STREET,W
B,P-01433565,GRAND CONCOURSE*W RDWY,EAST  181 STREET,EAST  180 STREET,W
B,P-01433801,GRAND CONCOURSE*W S/R,EAST  164 STREET,EAST  161 STREET,W
B,P-01433899,   3 AVENUE,CROSS BRONX EXPRESSWAY,EAST TREMONT AVENUE,E
B,P-01434064,   3 AVENUE,EAST TREMONT AVENUE,EAST  178 STREET,E
B,P-01434067,  METROPOLITAN        AV,  WOOD                RD,  WOOD                AV,W
B,P-01434073,ALLERTON AVENUE,BARNES AVENUE,BOSTON ROAD,S
B,P-01434143,ALLERTON AVENUE,HONE AVENUE,PAULDING AVENUE,N
B,P-01437977,BOSTON ROAD,SEYMOUR AVENUE,FISH AVENUE,W
B,P-01438022,BOSTON ROAD,WILSON AVENUE,EAST  213 STREET,W
B,P-01438059,BROADWAY,WEST  240 STREET,WEST  238 STREET,W
B,P-01438685,CASTLE HILL AVENUE,BRUCKNER BOULEVARD,CHATTERTON AVENUE,E
B,P-01438690,CASTLE HILL AVENUE,CHATTERTON AVENUE,BRUCKNER BOULEVARD,W
B,P-01438795,CASTLE HILL AVENUE,HAVILAND AVENUE,POWELL AVENUE,E
B,P-01441353,CROTONA AVENUE,EAST TREMONT AVENUE,EAST  178 STREET,E
B,P-01441984,DYRE AVENUE,EAST  233 STREET,LIGHT STREET,W
B,P-01441989,DYRE AVENUE,LIGHT STREET,EAST  233 STREET,E
B,P-01442244,EAST  149 STREET,MORRIS AVENUE,PARK AVENUE,N
B,P-01442936,GRAND CONCOURSE,EAST  144 STREET,EAST  140 STREET,W
B,P-01443280,EAST  149 STREET,PARK AVENUE,MORRIS AVENUE,S
B,P-01443685,EAST  233 STREET,WHITE PLAINS ROAD,BARNES AVENUE,S
B,P-01444105,EAST GUN HILL ROAD,FISH AVENUE,BURKE AVENUE,N
B,P-01444243,EAST GUN HILL ROAD,KNAPP STREET,SEYMOUR AVENUE,N
B,P-01445117,EAST GUNHILL ROAD,WEBSTER AVENUE,DECATUR AVENUE,N
B,P-01445335,EAST TREMONT AVENUE,BRONXDALE AVENUE,UNION PORT ROAD,N
B,P-01445558,EAST TREMONT AVENUE,DOGWOOD DRIVE,ELM DRIVE,S
B,P-01445616,THIRD AVENUE,EAST  147 STREET,EAST  148 STREET,E
B,P-01445748,THIRD AVENUE,EAST  151 STREET,EAST  150 STREET,W
B,P-01445757,THIRD AVENUE,EAST  154 STREET,EAST  153 STREET,W
B,P-01445767,THIRD AVENUE,EAST  156 STREET,EAST  155 STREET,W
B,P-01445975,EAST TREMONT AVENUE,LAFAYETTE AVENUE,PHILIP AVENUE,S
B,P-01445982,EAST TREMONT AVENUE,LAFAYETTE AVENUE,SOMMER PLACE,E
B,P-01446128,UNIONPORT ROAD,GUERLAIN STREET,WOOD ROAD,W
B,P-01446152,UNIONPORT ROAD,METROPOLITAN OVAL,LAUREL DRIVE,E
B,P-01446774,MELROSE AVENUE,EAST  150 STREET,EAST  151 STREET,E
B,P-01446797,EAST TREMONT AVENUE,OTIS AVENUE,BRUCKNER BOULEVARD,N
B,P-01446814,EAST TREMONT AVENUE,PURDY STREET,CASTLE HILL AVENUE,S
B,P-01446836,EAST TREMONT AVENUE,PAULDING AVENUE,BRONXDALE AVENUE,N
B,P-01446928,WEBSTER AVENUE,EAST  187 STREET,EAST  188 STREET,E
B,P-01447636,EAST TREMONT AVENUE,RANDALL AVENUE,ROOSEVELT AVENUE,W
B,P-01447651,EAST TREMONT AVENUE,SCHLEY AVENUE,CROSS BRONX EXPRESSWAY,W
B,P-01447703,EAST TREMONT AVENUE,SCHLEY AVENUE,RANDALL AVENUE,E
B,P-01447736,EAST TREMONT AVENUE,ST RAYMOND AVENUE,FRISBY AVENUE,S
B,P-01447890,EAST TREMONT AVENUE,WATERBURY AVENUE,LA SALLE AVENUE,E
B,P-01447906,EAST TREMONT AVENUE,WATERBURY AVENUE,WHITTEMORE AVENUE,S
B,P-01447954,EAST TREMONT AVENUE,WESTCHESTER AVENUE,FINK AVENUE,E
B,P-01448048,EAST TREMONT AVENUE,WHITTEMORE AVENUE,BRUCKNER BOULEVARD,W
B,P-01448436,WESTCHESTER AVENUE,BEACH AVENUE,SAINT LAWRENCE AVENUE,N
B,P-01448787,WESTCHESTER AVENUE,CONTINENTAL AVENUE,BRUCKNER BOULEVARD,S
B,P-01448929,WHITE PLAINS ROAD,EAST  232 STREET,EAST  233 STREET,E
B,P-01449363,WESTCHESTER AVENUE,ROWLAND STREET,ZEREGA AVENUE,N
B,P-01449375,MORRIS PARK AVENUE,WALLACE AVENUE,HOLLAND AVENUE,N
B,P-01449473,GOULDEN AVENUE,RESERVOIR AVENUE,BEDFORD PARK BOULEVARD,E
B,P-01450112,JEROME AVENUE,EAST  175 STREET,EAST  176 STREET,E
B,P-01450160,WHITE PLAINS ROAD,EAST  237 STREET,NEREID AVENUE,E
B,P-01450319,WHITE PLAINS ROAD,EAST  239 STREET,NEREID AVENUE,W
B,P-01450389,WHITE PLAINS ROAD,SAGAMORE STREET,BRONXDALE AVENUE,E
B,P-01450592,MIDDLETOWN ROAD,PLYMOUTH AVENUE,EDISON AVENUE,N
B,P-01451422,METROPOLITAN AVENUE,PARKCHESTER ROAD*S,YANKEE MALL,E
B,P-01451798,SOUTHERN BOULEVARD,BARRETTO STREET,EAST  163 STREET,E
B,P-01451889,SOUTHERN BOULEVARD,EAST  163 STREET,BARRETTO STREET,W
B,P-01453765,EAST  149 STREET,MELROSE AVENUE,COURTLANDT AVENUE,N
B,P-01457053,WESTCHESTER AVENUE,WILKINSON AVENUE,SAINT THERESA AVENUE,W
B,P-01457077,WHITE PLAINS ROAD,BRITTON STREET,ALLERTON AVENUE,W
B,P-01457098,WHITE PLAINS ROAD,EAST  218 STREET,EAST  219 STREET,E
B,P-01457105,WHITE PLAINS ROAD,EAST  220 STREET,EAST  219 STREET,W
B,P-01457208,JEROME AVENUE,WEST  195 STREET,WEST KINGSBRIDGE ROAD,W
B,P-01457357,GRAND CONCOURSE,EAST  149 STREET,EAST  144 STREET,W
B,P-01457872,GRAND CONCOURSE*E S/R,EAST  181 STREET,ANTHONY AVENUE,E
B,P-01457880,GRAND CONCOURSE*E S/R,EAST  182 STREET,EAST  183 STREET,E
B,P-01457905,MORRIS PARK AVENUE,BARNES AVENUE,MATTHEWS AVENUE,S
B,P-01459540,EASTCHESTER ROAD,SEMINOLE STREET,MC DONALD STREET,E
B,P-01460234,BERGEN AVENUE,EAST  152 STREET,EAST  153 STREET,E
B,P-01461823,EAST TREMONT AVENUE,ELM DRIVE,PURDY STREET,S
B,P-01462138,EAST BURNSIDE AVENUE,MORRIS AVENUE,WALTON AVENUE,N
B,P-01462257,COURTLANDT AVENUE,EAST  149 STREET,EAST  148 STREET,E
B,P-01464235,EDWARD L GRANT HIGHWAY,NELSON AVENUE,SHAKESPEARE AVENUE,W
B,P-01465269,JEROME AVENUE,EAST BURNSIDE AVENUE,EAST  181 STREET,E
B,P-01467928,KIMBERLY PLACE,GODWIN TERRACE,BROADWAY,N
B,P-01468013,GRAND CONCOURSE*E S/R,EAST  180 STREET,EAST  181 STREET,E
B,P-01468016,EDWARD L GRANT HIGHWAY,UNIVERSITY AVENUE,PLIMPTON AVENUE,W
B,P-01468322,EDWARD L GRANT HIGHWAY,CROMWELL AVENUE,WEST  169 STREET,E
B,P-01468339,EDWARD L GRANT HIGHWAY,WEST  169 STREET,JEROME AVENUE,W
B,P-01468969,EAST FORDHAM ROAD,THIRD AVENUE,WASHINGTON AVENUE,S
B,P-01470093,EAST  149 STREET,MORRIS AVENUE,COURTLANDT AVENUE,S
B,P-01470727,EAST  149 STREET,COURTLANDT AVENUE,MORRIS AVENUE,N
B,P-01472741,SULLIVAN PLACE,EDISON AVENUE,EAST TREMONT AVENUE,N
B,P-01473244,EAST  149 STREET,JACKSON AVENUE,CONCORD AVENUE,S
B,P-01473248,EAST  149 STREET,CONCORD AVENUE,WALES AVENUE,S
B,P-01473250,EAST  149 STREET,WALES AVENUE,TINTON AVENUE,S
B,P-01473251,EAST  149 STREET,TINTON AVENUE,UNION AVENUE,S
B,P-01473976,THIRD AVENUE,EAST  161 STREET,EAST  163 STREET,E
B,P-01475263,EAST  149 STREET,GRAND CONCOURSE,WALTON AVENUE,N
B,P-01475389,BOSTON ROAD,CORSA AVENUE,EASTCHESTER ROAD,E
B,P-01475886,EAST  149 STREET,PROSPECT AVENUE,UNION AVENUE,N
B,P-01475907,EAST  149 STREET,WALES AVENUE,CONCORD AVENUE,N
B,P-01475938,EAST  149 STREET,ST ANNS AVENUE,BROOK AVENUE,N
B,P-01475974,EAST  149 STREET,BROOK AVENUE,BERGEN AVENUE,N
B,P-01475980,EAST KINGSBRIDGE ROAD,MORRIS AVENUE,CRESTON AVENUE,S
B,P-01476025,EAST TREMONT AVENUE,WASHINGTON AVENUE,PARK AVENUE,N
B,P-01476076,HUGH GRANT CIRCLE,VIRGINIA AVENUE,CROSS BRONX EXPRESSWAY*S S/R,S
B,P-01476263,JEROME AVENUE,EAST MOSHOLU PARKWAY NORTH,EAST  208 STREET,E
B,P-01476266,JEROME AVENUE,MARCY PLACE,ELLIOT PLACE,E
B,P-01476280,JEROME AVENUE,WEST  170 STREET,ELLIOT PLACE,W
B,P-01476362,METROPOLITAN AVENUE,PINE DRIVE,HAWTHORNE DRIVE,N
B,P-01476387,METROPOLITAN AVENUE,MCGRAW AVENUE,HUGH J GRANT CIRCLE,W
B,P-01478020,EINSTEIN LOOP NORTH,HUTCH RIVER PARKWAY EAST,EINSTEIN LOOP EAST,S
B,P-01480684,BRONXDALE AVENUE,BRONXDALE AVENUE*N,BRONX PARK EAST*S,W
B,P-01480762,EAST GUN HILL ROAD,BAINBRIDGE AVENUE,ROCHAMBEAU AVENUE,N
B,P-01488464,EDWARD L GRANT HIGHWAY,WEST  170 STREET,WEST  169 STREET,W
B,P-01488842,WEST  225 STREET,NO NAME STREET,EXTERIOR STREET,S
B,P-01489339,EAST  149 STREET,WALTON AVENUE,GRAND CONCOURSE,S
B,P-01491392,WHITE PLAINS ROAD,ADEE AVENUE,ARNOW AVENUE,W
B,P-01491912,WHITE PLAINS ROAD,ALLERTON AVENUE,ARNOW AVENUE,E
B,P-01492097,EAST TREMONT AVENUE,PHILIP AVENUE,DILL PLACE,S
B,P-01494702,ALLERTON AVENUE,MATTHEWS AVENUE,BARNES AVENUE,N
B,P-01494703,ALLERTON AVENUE,OLINVILLE AVENUE,BARKER AVENUE,N
B,P-01494704,WHITE PLAINS ROAD,ALLERTON AVENUE,MACE AVENUE,W
B,P-01498121,EAST  149 STREET,BERGEN AVENUE,BROOK AVENUE,S
B,P-01501610,EAST TREMONT AVENUE,RANDALL AVENUE,PHILIP AVENUE,E
B,P-01503206,EAST  161 STREET,GRAND CONCOURSE,CONCOURSE VILLAGE WEST,S
B,P-01503729,EAST TREMONT AVENUE,HUGHES AVENUE,ARTHUR AVENUE,N
B,P-01506397,CORLEAR AVENUE,WEST  240 STREET,WEST  238 STREET,W
B,P-01506398,TIBBETT AVENUE,WEST  238 STREET,WEST  240 STREET,E
B,P-01507408,WESTCHESTER AVENUE,CROSS BRONX EXPRESSWAY,PUGSLEY AVENUE,S
B,P-01509374,BROADWAY,WEST  236 STREET,WEST  237 STREET,E
B,P-01511452,BELMONT AVENUE,EAST FORDHAM ROAD,EAST  189 STREET,E
B,P-01511456,DEKALB AVENUE,EAST GUNHILL ROAD,EAST  212 STREET,E
B,P-01511772,EAST  170 STREET*S RDWY,SHERIDAN AVENUE,GRANT AVENUE,N
B,P-01512442,PERRY AVENUE,EAST  204 STREET,EAST  205 STREET,E
B,P-01512445,PERRY AVENUE,EAST MOSHOLU PARKWAY NORTH,EAST  204 STREET,E
B,P-01513139,EAST  188 STREET,MORRIS AVENUE,CRESTON AVENUE,S
B,P-01513539,MIDDLETOWN ROAD,CROSBY AVENUE,HOLLYWOOD AVENUE,S
B,P-01514569,BRUCKNER BOULEVARD,ALEXANDER AVENUE,LINCOLN AVENUE,N
B,P-049703  ,BECK STREET,WESTCHESTER SQUARE,KIRK STREET,W
B,P-075539  ,EAST  161 STREET,MORRIS AVENUE,GRANT AVENUE,N
B,P-076559  ,WESTCHESTER AVENUE,GLOVER STREET,PARKER STREET,S
B,P-089057  ,FEATHERBED LANE,FEATHERBED LANE,NELSON AVENUE,E
B,P-153594  ,WEST  238 STREET,FIELDSTON ROAD,RIVERDALE AVENUE,N
B,P-162120  ,EAST  161 STREET*N RDWY,GRAND CONCOURSE,WALTON AVENUE,S
B,P-162121  ,EAST  161 STREET*S RDWY,WALTON AVENUE,GRAND CONCOURSE,N
B,P-163211  ,WEST  236 STREET,RIVERDALE AVENUE,CAMBRIDGE AVENUE,N
B,P-175057  ,EAST  141 STREET,BRUCKNER BOULEVARD,WALES AVENUE,N
B,P-175058  ,EAST  141 STREET,WALES AVENUE,CONCORD AVENUE,N
B,P-181696  ,MORRIS AVENUE,EAST  162 STREET,EAST  161 STREET,W
B,P-186001  ,SOUTHERN BOULEVARD,EAST  149 STREET,AVENUE ST JOHN,S
B,P-186319  ,PROSPECT AVENUE,MACY PLACE,WESTCHESTER AVENUE,W
B,P-186922  ,WEST AVENUE,WOOD AVENUE,WOOD ROAD,E
B,P-186923  ,WEST AVENUE,WOOD AVENUE,WOOD ROAD,W
B,P-186948  ,ELTON AVENUE,EAST  161 STREET,WASHINGTON AVENUE,S
B,P-186963  ,WESTCHESTER AVENUE,PROSPECT AVENUE,STEBBINS AVENUE,N
B,P-198797  ,BROOK AVENUE,EAST  150 STREET,EAST  149 STREET,E
B,P-200214  ,A J GRIFFIN PLACE,EAST  149 STREET,EAST  144 STREET,E
B,P-305522  ,WHITE PLAINS ROAD*E RDWY,EAST GUNHILL ROAD,EAST  212 STREET,W
B,P-325701  ,WHITE PLAINS ROAD*W,EAST  212 STREET,EAST GUN HILL ROAD,E
B,P-332790  ,WEST FORDHAM ROAD,LORING PLACE NORTH,ANDREWS AVENUE NORTH,S
B,P-333091  ,EAST TREMONT AVENUE,EAST  177 STREET,SAMPSON AVENUE,S
B,P-333438  ,SAMPSON AVENUE,EAST TREMONT AVENUE,EAST  177 STREET,S
B,P-336301  ,WESTCHESTER AVENUE,WHEELER AVENUE,EVERGREEN AVENUE,N
B,P-336305  ,WESTCHESTER AVENUE,COLGATE AVENUE,BRONX RIVER AVENUE,N
B,P-336690  ,EAST TREMONT AVENUE,BELMONT AVENUE,HUGHES AVENUE,N
B,P-336698  ,HOFFMAN STREET,EAST  187 STREET,EAST  188 STREET,W
B,P-342749  ,JEROME AVENUE,EAST  176 STREET,MOUNT HOPE PLACE,E
B,P-345785  ,JEROME AVENUE*W RDWY,MACOMBS ROAD,WEST  170 STREET,W
B,P-345997  ,MORRIS AVENUE,EAST  164 STREET,EAST  165 STREET,E
B,P-346624  ,WALTON AVENUE,EAST  149 STREET,EAST  144 STREET,E
B,P-346997  ,JEROME AVENUE,CLIFFORD PLACE,EAST  175 STREET,E
B,P-346999  ,JEROME AVENUE,MOUNT HOPE PLACE,EAST  177 STREET,E
B,P-362503  ,HOFFMAN STREET,EAST  187 STREET,EAST  188 STREET,E
B,P-363089  ,JEROME AVENUE*W RDWY,MACOMBS ROAD,WEST  170 STREET,E
B,P-363775  ,SAINT RAYMOND AVENUE,GLOVER STREET,PARKER STREET,N
B,P-363904  ,FRISBY AVENUE,EAST  175 STREET,EAST TREMONT AVENUE,S
B,P-364540  ,EASTCHESTER ROAD,SACKET AVENUE,BLONDELL AVENUE,W
B,P-369229  ,WHITE PLAINS ROAD,EAST  233 STREET,EAST  234 STREET,E
B,P-372688  ,ROGERS PLACE,EAST  163 STREET,DAWSON STREET,W
B,P-373744  ,WESTCHESTER SQUARE,FINK AVENUE,PONTON AVENUE,E
B,P-376911  ,LAFAYETTE AVENUE,BRUCKNER BOULEVARD,GARRISON AVENUE,S
B,P-376918  ,TIFFANY STREET,GARRISON AVENUE,BRUCKNER BOULEVARD,E
