X,Y,SiteNumber,Land_Use_Restriction,SiteName,Address,Town,Priority,Staff,ClosureDate,SiteStatus,BrownfieldStatus,Source_Of_Contamination,Contaminants,DocLink,LatY,LongX,ArcGeometry
578356.183162743,279449.510804523,770005,Yes,Ethan Allen Beecher Falls,Route 27,Canaan,SMAC,Michael Smith,09/08/2004,Brownfields,,UST-Gasoline,Non-Petroleum,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=770005,45.0108602479,-71.506003115,
452356.496705865,145155.258059688,770035,Yes,Dowty Electronics,West Prospect Street,Brandon,NFAP,Brian Woods,06/30/1992,Brownfields,Completed,Manufacturing,Non-Petroleum,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=770035,43.8050578711,-73.0920562309,
521050.084566477,180295.128429069,770083,No,Topsham Plating,26 Powder Spring Road,Topsham,COC,Caitlyn Bain,12/03/2010,Brownfields,Active,,Non-Petroleum,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=770083,44.1226412017,-72.2369542453,
508142.93869902,112037.053013313,770092,No,Windsor Town Dump,Route 5 N,Windsor,LOW,Matthew Becker,,Brownfields,,Dump/Landfill,,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=770092,43.5084572375,-72.3992928206,
453650.587541561,257577.39342928,770126,Yes,CV  Railway Inc,2 Federal St.,Saint Albans City,SMAC,Michael Smith,12/10/2012,Brownfields,Completed,"Above Ground Storage Tank, Other","Diesel, Heating Oil",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=770126,44.816948331,-73.0860498991,
443740.060499255,221194.878509002,770144,No,Vermont Transit,343 N. Winooski,Burlington,COC,Gerold Noyes,03/10/2003,Brownfields,,"Diesel, Floor drain/Dry well, Other",Diesel,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=770144,44.4887687946,-73.207329542,
453346.883003909,257146.182781718,770197,No,St Albans Gas And Light,Corner Of Maple & Lasalle,Saint Albans City,HIGH,Kimberly Caldwell,,Brownfields,Active,Coal Tar,Coal Tar,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=770197,44.8129783601,-73.0897544414,
494026.893921344,195253.219742095,870102,No,St Michaels School,46 Barre Street,Montpelier,NFAP,Unassigned,,Brownfields,,,,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=870102,44.2574916483947,-72.5747986693199,
458186.387966874,122594.709245961,900481,Yes,Flory Plaza,702 Business Route 4,Rutland Town,LOW,Matthew Becker,,Brownfields,Completed,UST-Gasoline,,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=900481,43.6024499448528,-73.0179171264392,
455300.302892631,253665.074312926,911109,Yes,St Albans Air Force Station,Bellevue Hill,Saint Albans City,LOW,Shawn Donovan,,Brownfields,Completed,"Above Ground Storage Tank, Spill","Chlorinated Solvents, Lead, PAH, PCB",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=911109,44.7818456251,-73.0648260847,
450015.681402123,109595.686960483,911170,Yes,Parkers Service Station,1 South Street,Middletown Springs,COC,Matthew Becker,06/16/2015,Brownfields,Completed,UST-Gasoline,Gasoline,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=911170,43.4849485969,-73.1179438878,
