OBJECTID,ACTIVITY_CODE,ACTIVITY_NAME,TREATMENT_TYPE,FUND_CODES,NBR_UNITS_PLANNED,NBR_UNITS_ACCOMPLISHED,UOM,DATE_PLANNED,DATE_ACCOMPLISHED,DATE_COMPLETED,FY_PLANNED,FY_ACCOMPLISHED,FY_COMPLETED,ACTIVITY_UNIT_ORG,REGION_CODE,ADMIN_FOREST_CODE,DISTRICT_CODE,HOME_ORG,ADMIN_FOREST_NAME,ADMIN_DISTRICT_NAME,PROCLAIMED_FOREST_CODE,OWNERSHIP_CODE,OWNERSHIP_DESC,ALPCOUNTY,STATE_ABBR,WATERSHED_CODE,SLOPE,ELEVATION,ASPECT,METHOD_CODE,METHOD_DESC,EQUIPMENT_CODE,EQUIPMENT_DESC,COST_PER_UOM,NEPA_PROJECT_ID,NEPA_DOC_NAME,IMPLEMENTATION_PROJECT_NAMES,IMPLEMENTATION_PROJECT_NUMBERS,IMPLEMENTATION_PROJECT_TYPES,WORK_AGENT_CODES,SUBUNIT_SIZE,SUBUNIT_UOM,GIS_ACRES,ACTIVITY_UNIT_CN,SUBUNIT_CN,FACTS_ID,SUID,SUBUNIT,SUBUNIT_NAME,ACTIVITY_CN,NEPA_PROJECT_CN,STAGE,STAGE_DESC,REV_DATE,DATA_SOURCE_CODE,DATA_SOURCE_DESC,UK,ACCURACY,SHAPEAREA,SHAPELEN
24689,7100,"Pollinator habitat improved, restored or maintained",,NFHF,16.2,16.2,ACRES,2019/06/01 00:00:00+00,2019/06/03 00:00:00+00,2019/06/03 00:00:00+00,2019,2019,2019.0,20702.0,2.0,7.0,2.0,20702,Nebraska National Forest,Pine Ridge Ranger District,207.0,FS,USDA FOREST SERVICE,Dawes,NE,,,,,100,,100,,35.0,,,MONARCH BUTTERFLY HABITAT RESTORATION,MBHR-0207,MBHR,FA,16.2,ACRES,16.234,6230471010602,1210989010602,PRRDPOLL19,020702PRRDPOLL19000,000,POLLINATOR HABITAT,5980391010602,42226,3,Accomplished,2019/11/06 00:00:00+00,24.0,Other,0207_21536_ACTP,,7.213568714227e-06,0.0377268610120597
24690,7100,"Pollinator habitat improved, restored or maintained",,NFWF,6.5,6.5,ACRES,2018/11/06 00:00:00+00,2018/11/06 00:00:00+00,2018/11/06 00:00:00+00,2019,2019,2019.0,20705.0,2.0,7.0,5.0,20705,Nebraska National Forest,Fall River Ranger District,207.0,FS,USDA FOREST SERVICE,Fall River,SD,,,,,0,,0,,25.0,,,MONARCH BUTTERFLY HABITAT RESTORATION,MBHR-0207,MBHR,FA,6.5,ACRES,6.551,6229108010602,1210618010602,FRDMILKW19,020705FRDMILKW19000,000,FRRD MILKWEED PLANTING FY19,5979600010602,1757010602,3,Accomplished,2019/10/30 00:00:00+00,24.0,Other,0207_21529_ACTP,,2.9352697968865e-06,0.010757422762867
24691,7100,"Pollinator habitat improved, restored or maintained",,NFWF,40.0,40.0,ACRES,2018/11/05 00:00:00+00,2018/11/05 00:00:00+00,2018/11/05 00:00:00+00,2019,2019,2019.0,20706.0,2.0,7.0,6.0,20706,Nebraska National Forest,Wall Ranger District,207.0,FS,USDA FOREST SERVICE,Jackson,SD,,,,,0,,0,,25.0,,,MONARCH BUTTERFLY HABITAT RESTORATION,MBHR-0207,MBHR,FA,40.0,ACRES,40.926,6228253010602,1210461010602,WRDMILKW19,020706WRDMILKW19000,000,WALL MILKWEED PLANTING FY19,5979281010602,1757010602,3,Accomplished,2019/10/30 00:00:00+00,24.0,Other,0207_21533_ACTP,,1.8567516923245e-05,0.0224597568072235
24692,7100,"Pollinator habitat improved, restored or maintained",,SPFH,97.0,97.0,ACRES,2013/09/24 00:00:00+00,2013/09/24 00:00:00+00,2018/07/02 00:00:00+00,2013,2013,2018.0,30703.0,3.0,7.0,3.0,30703,Kaibab National Forest,North Kaibab Ranger District,307.0,FS,USDA FOREST SERVICE,Coconino,AZ,,,,,420,,455,,250.0,,,MONARCH BUTTERFLY HABITAT RESTORATION,MBHR-0307,MBHR,SC,97.0,ACRES,97.108,3978205010602,905797010602,A000000083,030703A000000083004,004,PEARL OPTIONAL SERVICE FUELBREAK PREP,5741787010602,33859,3,Accomplished,2013/11/15 00:00:00+00,3.0,GPS – Differentially Corrected Data,0307_15628_ACTP,,3.966666739829e-05,0.2525560909015
24693,4570,Other Stand Tending,,XXXX,134.0,134.0,ACRES,2017/02/15 00:00:00+00,2017/02/15 00:00:00+00,2017/02/15 00:00:00+00,2017,2017,2017.0,30703.0,3.0,7.0,3.0,30703,Kaibab National Forest,North Kaibab Ranger District,307.0,FS,USDA FOREST SERVICE,Coconino,AZ,,,,,200,,201,,0.0,,,"MONARCH BUTTERFLY HABITAT RESTORATION,PEARL STEWARDSHIP,RESILIENCY"," ,03144,MBHR-0307","MBHR,STWD,WBBS",CT,134.0,ACRES,134.187,3978205010602,916523010602,A000000083,030703A000000083005,005,PEARL STEW. COM THIN TENDING PAY UNIT 1,4078535010602,33859,3,Accomplished,2014/04/14 00:00:00+00,3.0,GPS – Differentially Corrected Data,0307_15565_ACTP,,5.47710016273835e-05,0.114328890012523
24694,4152,Group Selection Cut (UA/RH/FH),Biomass Removal,XXXX,7.0,7.0,ACRES,2013/09/24 00:00:00+00,2013/09/24 00:00:00+00,2017/02/15 00:00:00+00,2013,2013,2017.0,30703.0,3.0,7.0,3.0,30703,Kaibab National Forest,North Kaibab Ranger District,307.0,FS,USDA FOREST SERVICE,Coconino,AZ,,,,,200,,201,,0.0,,,"MONARCH BUTTERFLY HABITAT RESTORATION,PEARL STEWARDSHIP,RESILIENCY"," ,03144,MBHR-0307","MBHR,STWD,WBBS",CT,7.0,ACRES,7.048,3978205010602,916530010602,A000000083,030703A000000083006,006,PEARL STEW. GRP. SEL. REGEN. PAY UNIT 1,4078548010602,33859,3,Accomplished,2014/04/14 00:00:00+00,3.0,GPS – Differentially Corrected Data,0307_15545_ACTP,,2.8768663777245e-06,0.0279303435260854
24695,4570,Other Stand Tending,,XXXX,293.0,293.0,ACRES,2013/09/24 00:00:00+00,2013/09/24 00:00:00+00,2017/09/30 00:00:00+00,2013,2013,2017.0,30703.0,3.0,7.0,3.0,30703,Kaibab National Forest,North Kaibab Ranger District,307.0,FS,USDA FOREST SERVICE,Coconino,AZ,,,,,200,,201,,0.0,,,"MONARCH BUTTERFLY HABITAT RESTORATION,RESILIENCY"," ,MBHR-0307","MBHR,WBBS",CT,293.0,ACRES,293.224,3978205010602,916535010602,A000000083,030703A000000083007,007,PEARL STEW. COM THIN TENDING PAY UNIT 2,4078557010602,33859,3,Accomplished,2014/04/14 00:00:00+00,3.0,GPS – Differentially Corrected Data,0307_15595_ACTP,,0.0001196785935502,0.245750654985317
24696,4152,Group Selection Cut (UA/RH/FH),Biomass Removal,XXXX,16.0,16.0,ACRES,2013/09/15 00:00:00+00,2013/09/15 00:00:00+00,2017/09/30 00:00:00+00,2013,2013,2017.0,30703.0,3.0,7.0,3.0,30703,Kaibab National Forest,North Kaibab Ranger District,307.0,FS,USDA FOREST SERVICE,Coconino,AZ,,,,,200,,201,,0.0,,,"MONARCH BUTTERFLY HABITAT RESTORATION,RESILIENCY"," ,MBHR-0307","MBHR,WBBS",CT,16.0,ACRES,15.617,3978205010602,916544010602,A000000083,030703A000000083008,008,PEARL STEW. GRP. SEL. REGEN. PAY UNIT 2,4078570010602,33859,3,Accomplished,2014/04/14 00:00:00+00,3.0,GPS – Differentially Corrected Data,0307_15529_ACTP,,6.3742698812765e-06,0.0559224579842732
24697,4570,Other Stand Tending,,XXXX,123.0,123.0,ACRES,2013/09/24 00:00:00+00,2013/09/24 00:00:00+00,2018/07/02 00:00:00+00,2013,2013,2018.0,30703.0,3.0,7.0,3.0,30703,Kaibab National Forest,North Kaibab Ranger District,307.0,FS,USDA FOREST SERVICE,Coconino,AZ,,,,,420,,455,,0.0,,,"MONARCH BUTTERFLY HABITAT RESTORATION,PEARL STEWARDSHIP,RESILIENCY"," ,03144,MBHR-0307","MBHR,STWD,WBBS",CT,123.0,ACRES,123.496,3978205010602,916552010602,A000000083,030703A000000083011,011,PEARL STEW. COM THIN TENDING PAY UNIT 4,4078607010602,33859,3,Accomplished,2014/04/14 00:00:00+00,3.0,GPS – Differentially Corrected Data,0307_15648_ACTP,,5.0418163107841e-05,0.0728307686720969
24698,4152,Group Selection Cut (UA/RH/FH),Biomass Removal,XXXX,6.0,6.0,ACRES,2013/09/24 00:00:00+00,2013/09/24 00:00:00+00,2018/07/02 00:00:00+00,2013,2013,2018.0,30703.0,3.0,7.0,3.0,30703,Kaibab National Forest,North Kaibab Ranger District,307.0,FS,USDA FOREST SERVICE,Coconino,AZ,,,,,200,,201,,0.0,,,"MONARCH BUTTERFLY HABITAT RESTORATION,PEARL STEWARDSHIP,RANGE VEG AND WATERSHED IMPROVEMENT,RESILIENCY"," , ,03144,MBHR-0307"," ,MBHR,STWD,WBBS",CT,6.0,ACRES,5.991,3978205010602,916555010602,A000000083,030703A000000083012,012,PEARL STEW. GRP. SEL. REGEN. PAY UNIT 4,4078612010602,33859,3,Accomplished,2014/04/14 00:00:00+00,3.0,GPS – Differentially Corrected Data,0307_15596_ACTP,,2.4456875244785e-06,0.0251630280428826
