Organisation ID,Parent ID,Name,Description
10,,CEO Office,
20,10.0,CIO Office,
30,10.0,COO Office,
40,10.0,CTO Office,
50,30.0,Front Office,
60,30.0,Head of CONTROL,
70,60.0,Market Risk,
80,60.0,Credit Risk,
90,60.0,Liquidity Risk,
100,60.0,Treasury,
110,60.0,Finance,
120,60.0,Compliance,
130,60.0,Fraud,
140,50.0,Operations,
150,50.0,Equities,
160,50.0,Fixed Income,
170,50.0,FX,
180,50.0,Research,
190,20.0,Enterprise Systems,
200,20.0,Operation IT,
210,20.0,Risk IT,
220,210.0,Market Risk IT,
230,210.0,Credit Risk IT,
240,210.0,Liquidity Risk IT,
250,20.0,Treasury IT,
260,50.0,Front Office IT,
270,260.0,Equities IT,
280,260.0,Fixed Income IT,
290,260.0,FX IT,
300,260.0,Research IT,
