OBJECTID,ALTPAST,ALLOTNUM,ALLOTNAME,PASTNUM,PASTNAME,GRAZSYS,MGMTCAT,ADMINRA,GIS_ACRES,Standard_1,Causal_Factor_1,Causal_Factor_1b,Standard_2,Causal_Factor_2,Causal_Factor_2b,Standard_3,Causal_Factor_3,Causal_Factor_3b,Standard_4,Causal_Factor_4,Causal_Factor_4b,Standard_5_TERR,Causal_Factor_5_TERR,Causal_Factor_5_TERR_b,Standard_5_RIP,Causal_Factor_5_RIP,Causal_Factor_5_RIP_b,Status,Year_Assessed,Year_Evaluated,Year_Determination,SHAPE_Length,SHAPE_Area
324,NOALC,NOALC, ,,OWYHEE RIVER NOT ALLOCATED,NX,M,ORV04,2034.50135521764,,,,,,,,,,,,,,,,,,,,,,,56571.9063028425,8233334.87574401
325,01201_64,01201,15-MILE COMMUNITY,64.0,ODOT ROCK SOURCE,MX,I,ORV04,99.0143224142108,,,,,,,,,,,,,,,,,,,,,,,2900.3426161538,400696.746571533
326,01201_14,01201,15-MILE COMMUNITY,14.0,MCDERMITT SEEEDING WEST,DR,I,ORV04,7568.77121620817,Does Not Meet,,,Not Applicable,,,Does Not Meet,,,Does Not Meet,,,Does Not Meet,,,Not Applicable,,,,,,,26023.294220618,30629730.4059883
327,01201_17,01201,15-MILE COMMUNITY,17.0,ANGEL CANYON NATIVE,DR,I,ORV04,17099.0314813887,Meets Standard,,,Does Not Meet,Existing Livestock,,Meets Standard,,,Does Not Meet,Existing Livestock,,Meets Standard,,,Does Not Meet,Existing Livestock,,,,,,49533.8334715051,69197325.3672777
328,01201_11,01201,15-MILE COMMUNITY,11.0,ETCHART SEEDING,DF,I,ORV04,531.244750903584,Meets Standard,,,Not Applicable,,,Does Not Meet,Existing Livestock,,Meets Standard,,,Does Not Meet,Existing Livestock,,Not Applicable,,,,,,,6002.95611148992,2149871.23206046
329,01201_56,01201,15-MILE COMMUNITY,56.0,JUG SPRINGS STR EXCL,RX,I,ORV04,340.654010843306,,,,,,,,,,,,,,,,,,,,,,,6681.67040001613,1378577.87159755
330,01206_31,01206,WHITEHORSE BUTTE,31.0,PRIVATE,CU,I,ORV04,1292.43538235146,,,,,,,,,,,,,,,,,,,,,,,10132.2741124052,5230300.42760599
331,01202_10,01202,MCCORMICK,10.0,SHEEPLINE SPRING SPEX,RX,I,ORV04,0.805725221509465,,,,,,,,,,,,,,,,,,,,,,,209.08313183695,3260.65428735524
332,01202_03,01202,MCCORMICK,3.0,INDIAN CREEK,SS,I,ORV04,17551.7340755062,Meets Standard,,,Meets Standard,,,Meets Standard,,,Meets Standard,,,Meets Standard,,,Meets Standard,,,,,,,36731.5688912609,71029347.7677194
333,01202_02,01202,MCCORMICK,2.0,PAYNE CREEK,SS,I,ORV04,12917.6963700459,Meets Standard,,,Does Not Meet,Existing Livestock,,Meets Standard,,,Does Not Meet,Existing Livestock,,Meets Standard,,,Does Not Meet,Existing Livestock,,,,,,31221.1311207005,52276062.5177335
334,01307_08,01307,LOUSE CANYON COMMUNITY,8.0,W.LITTLE OWYHEE RIPARIAN,MX,M,ORV04,4096.77039536108,,,,,,,,,,,,,,,,,,,,,,,33874.5761600122,16579041.5855652
559,UNALT,UNALT, ,, ,UA,M,ORV04,1074.96454109599,,,,,,,,,,,,,,,,,,,,,,,12659.5105453947,4350227.15698657
561,00154_01,00154,SHASTA BUTTE,1.0,SHASTA,CU,C,ORV04,3885.84335359354,,,,,,,,,,,,,,,,,,,,,,,19508.1456511362,15725450.1319304
566,00143_04,00143,ALDER CREEK,4.0,EAST,DR,C,ORV04,884.386741999091,,,,,,,,,,,,,,,,,,,,,,,11077.3734854353,3578986.16674443
574,00138_01,00138,BOULDER CREEK,1.0,BOULDER,CU,C,ORV04,5351.41156797926,,,,,,,,,,,,,,,,,,,,,,,23341.7194832605,21656394.2727825
579,00145_01,00145,BRIDGE CREEK EAST,1.0,BRIDGE CREEK,CU,C,ORV04,2852.3909797064,,,,,,,,,,,,,,,,,,,,,,,19009.6500389893,11543216.7554207
583,00148_05,00148,BROGAN CANYON,5.0,CHROME MINE,DR,I,ORV04,486.20526949261,,,,,,,,,,,,,,,,,,,,,,,5786.66537922101,1967602.91745089
584,10206_19,10206,DEARMOND-MURPHY,19.0,WARM SPRING CREEK,DR,M,ORV04,437.617891739357,No Data,,,Not Applicable,,,No Data,,,No Data,,,No Data,,,Not Applicable,,,,,,,8000.65182434179,1770976.77574257
585,10202_31,10202,ALLOTMENT NO.3,31.0,E COTTONWOOD RIPARIAN,SP,I,ORV04,537.122930613179,,,,,,,,,,,,,,,,,,,,,,,7756.58396153954,2173659.38137025
586,00161_02,00161,AGENCY MOUNTAIN,2.0,AGENCY MOUNTAIN,DR,I,ORV04,2389.20141503293,Meets Standard,,,Does Not Meet,Existing Livestock,,Meets Standard,,,Does Not Meet,Existing Livestock,,Does Not Meet,Existing Livestock,,Does Not Meet,Existing Livestock,,,,,,13774.6007560736,9668755.09083317
587,00161_04,00161,AGENCY MOUNTAIN,4.0,RESERVOIR FIELD,CU,I,ORV04,785.90484596499,No Data,,,Does Not Meet,Existing Livestock,,No Data,,,Does Not Meet,Existing Livestock,,No Data,,,Does Not Meet,Existing Livestock,,,,,,13451.2568075847,3180444.0732887
588,10203_02,10203,ALLOTMENT NO.4,2.0,EAST WILLOW CREEK SEEDING,SL,M,ORV04,3095.01507261018,,,,,,,,,,,,,,,,,,,,,,,16058.7313197641,12525081.6240173
589,10206_20,10206,DEARMOND-MURPHY,20.0,UPPER WARM SPRING CREEK,DR,M,ORV04,837.449764344486,No Data,,,Meets Standard,,,No Data,,,Meets Standard,,,No Data,,,No Data,,,,,,,8312.91406085279,3389038.95727485
590,10203_01,10203,ALLOTMENT NO.4,1.0,WEST WILLOW CREEK SEEDING,SL,M,ORV04,2636.72669517821,,,,,,,,,,,,,,,,,,,,,,,14399.4826719077,10670454.3604955
591,00128_02,00128,CHALK BUTTE,2.0,CHALK BUTTE CUST N,CU,C,ORV04,402.707418675706,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,,,,,7890.86144030148,1629699.10361591
592,10407_06,10407,LITTLE VALLEY,6.0,VINES HILL RSEX,RX,M,ORV04,19.356516747828,,,,,,,,,,,,,,,,,,,,,,,1178.10600457854,78333.0441162411
593,10401_18,10401,KEENEY CREEK,18.0,MARSTERS SPR ENCL W,RE,I,ORV04,13.0417305607781,No Data,,,Does Not Meet,Historic Livestock,,No Data,,,Does Not Meet,,,No Data,,,No Data,,,,,,,945.512762132596,52778.0110790951
594,10407_08,10407,LITTLE VALLEY,8.0,LITTLE VALLEY NAT WG,RE,M,ORV04,2.63234128583752,,,,,,,,,,,,,,,,,,,,,,,419.030339301492,10652.7072385403
