X,Y,OBJECTID,ADMIN_ST,FET_TYPE,FET_SUBTYPE,FET_NAME,ADM_UNIT_CD,LAT,LONG,PHOTO_THUMB,DESCRIPTION,UNIT_NAME,WEB_LINK,PHOTO_TEXT,PHOTO_LINK,COORD_SRC_TYPE,GlobalID
664217.4611,4328108.3406,1,UT,2,Boat Ramp,Westwater Ranger Station,UTY01000,39.08665123,-109.10129777,,,,,,,IMG,{CD130DDB-0804-4CD2-9FFC-987781FEC06C}
664201.9144,4328061.1908,4,UT,1,BLM Ranger Station/Field Office/Contact Station,Westwater Ranger Station,UTY01000,39.08622951,-109.10148882,,,,,,,IMG,{B36EEACA-3A44-4941-99FD-E0FEA870050F}
611699.8167,4319589.7234,5,UT,4,Interpretive Site,Sego Canyon Rock Art Interpretive Site,UTY01000,39.01821422,-109.70973293,,,,,,,IMG,{989407EF-70B4-4CF2-9320-B38E4462662A}
611699.8167,4319589.7234,7,UT,8,Parking Area,Sego Canyon Rock Art Interpretive Site,UTY01000,39.01821422,-109.70973293,,,,,,,IMG,{3E4B3577-B256-4C77-ACAE-7B2A1364F8B7}
653077.8568,4529082.0523,10,UT,5,Toilet,Indian Crossing Campground,UTG01000,40.89852349,-109.18267314,,,,,,,IMG,{B81F5FF3-1622-4BC0-BA94-5CB201E4CD23}
652869.9054,4528948.9464,11,UT,5,Toilet,Indian Crossing Boat Ramp,UTG01000,40.89736389,-109.18517351,,,,,,,IMG,{8AB6E307-A1BD-4DE8-AAC7-B2994BD86054}
652856.2971,4528906.4206,12,UT,2,Boat Ramp,Indian Crossing Boat Ramp,UTG01000,40.89698353,-109.18534545,,,,,,,IMG,{684A6B0B-2AC1-45C8-A6AF-850B940A5610}
652846.9414,4528949.3717,13,UT,8,Parking Area,Indian Crossing Boat Ramp,UTG01000,40.89737201,-109.18544589,,,,,,,IMG,{216488F2-259B-4755-B953-F66A1B155BF8}
653025.1627,4529073.1151,14,UT,5,Toilet,Indian Crossing Campground,UTG01000,40.89845287,-109.18330063,,,,,,,IMG,{8E40C597-8248-472F-9F60-11936C9F4B04}
653525.6387,4529253.6882,15,UT,1,BLM Ranger Station/Field Office/Contact Station,John Jarvie Ranch Historic Site,UTG01000,40.89998499,-109.17731724,,,,,,,IMG,{BA845C40-4E5E-4750-8684-722BEE343B1D}
