File #,Pooled or Unitized,Owner Agency,Active/ Expired,County,Section,Township,Range,Tract #,Legal Description,Latitude,Longitude,Net Acres,Gross Acres,Original Lessee,Current Lessee,Lease #,Royalty Interest,Well Name,Well Operator,Production Zone,Sale or Approved Date,End or Expiration Date,Bonus
,,,Expired,Alfalfa,21,24N,10WIM,,W/2 NW/4,,,,,,,,,,,,,,
OA-29248,,DOC,Expired,Alfalfa,20,24N,10WIM,,NE/4,36.5481,-98.2871,160,160.0,Chesapeake Exploration LLC,,,,,,,12/28/2012,12/28/2015,"$245,068.00 "
OA-29434,,DCAM,Active,ALFALFA,1,26N,11WIM,,A STRIP OF LAND 25 FEET WIDE AND 716 FEET LONG  ALONG THE SOUTH SIDE OF THE SE/4 OF THE SW/4;  AND A STRIP OF LAND BEGINNING AT A POINT  58 FEET NORTH OF THE SE CORNER OF THE SW/4;  THENCE NORTH 15 FEET; THENCE WEST ON  A   LINE PARALLEL TO THE SOUTH BOUNDARY OF   SW/4 700 FEET; THENCE NORTH 75 DEGREES WEST  186.4 FEET; THENCE SOUTH 63.2 FEET;THENCE   EAST 880 FEET TO POINT OF BEGINNING.  ,36.72463301,-98.37829701,,,,CHESAPEAKE OPERATING INC,,,,,,,,
OA-0070,,,Expired,Atoka,22,1N,12E,,That part of NE/4 lying North and West of the MK&T Railway Right-of-way (All M.R.) Sec. 22-1N-12E,,,,640.0,Chesapeake Exploration Limited Partnership,,,,,,,10/28/2003,10/28/2006,"$30,960.00 "
OA-0071,,,Expired,Atoka,22,1N,12E,,NW/4,,,,640.0,Chesapeake Exploration Limited Partnership,,,,,,,10/28/2003,10/28/2006,"$41,280.00 "
OA-0072,,,Expired,Atoka,22,1N,12E,,SE/4,,,,640.0,Chesapeake Exploration Limited Partnership,,,,,,,10/28/2003,10/28/2006,"$18,810.00 "
OA-0073,,,Expired,Atoka,22,1N,12E,,SW/4,,,,640.0,Chesapeake Exploration Limited Partnership,,,,,,,10/28/2003,10/28/2006,"$41,280.00 "
OA-0139,,DOC,Expired,Atoka,7,2N,13EIM,,SW/4 SE/4 NW/4,,,,20.0,Antero Resources Corportation,,,,,,,10/25/2006,10/25/2009,"$9,120.00 "
OA-0140,,DOC,Expired,Atoka,7,2N,13EIM,,SW/4 SE/4 NE/4,,,,20.0,Antero Resources Corportation,,,,,,,10/25/2006,10/25/2009,"$9,120.00 "
OA-0078,,DOC,Expired,Atoka,34,1N,12E,,NW/4,,,,320.0,Chesapeake Exploration Limited Partnership,,,,,,,10/28/2003,10/28/2006,"$4,756.84 "
OA-0079,,DOC,Expired,Atoka,34,1N,12E,,SW/4,,,,320.0,Chesapeake Exploration Limited Partnership,,,,,,,10/28/2003,10/28/2006,$836.00 
