ObjectId,Permit_Number,Application_Type,Effective_Date,Expiration_Date,Application_Status,Project_Name,Permit_Type,Applicant,Street_Address,City,Zip,ID
1,C-1146-1000,APCDCONS,2007-06-30 00:00:00,2008-06-30 00:00:00,Void,thermal oxidizer,FEDOOP,PREFERRED MARKETING SOLUTIONS,2001 PAPA JOHNS BLVD,JEFFERSONTOWN,40299-0000,201
2,C-1146-1001,APCDCONS,2007-06-30 00:00:00,2008-06-30 00:00:00,Void,lithography press,FEDOOP,PREFERRED MARKETING SOLUTIONS,2001 PAPA JOHNS BLVD,JEFFERSONTOWN,40299-0000,202
3,C-1146-1002,APCDCONS,2010-12-21 00:00:00,2011-12-31 00:00:00,Void,"silos, mixers, dust collectors",FEDOOP,PREFERRED MARKETING SOLUTIONS,2001 PAPA JOHNS BLVD,JEFFERSONTOWN,40299-0000,203
4,C-0481-1000,APCDCONS,2010-05-31 00:00:00,2011-03-31 00:00:00,Void,One (1) fiberglas chop spray system,FEDOOP,SERVICE WELDING & MACHINE CO.,175 N WENZEL ST,LOUISVILLE,40206-0000,204
5,C-1003-1000,APCDCONS,2008-06-30 00:00:00,2009-06-30 00:00:00,Void,Spray painting without a booth,FEDOOPSE,"TT of PLANTSIDE, INC (Louisville Collision Center)",2000 PLANTSIDE DR,JEFFERSONTOWN,40299-0000,205
6,C-0060-1051,APCDCONS,2014-06-19 00:00:00,2015-06-30 00:00:00,Open,RDF and TDF for Kiln fuel,TITLE V,"Kosmos Cement Co., Inc.",15301 DIXIE HWY,LOUISVILLE,40272-0000,206
7,C-0552-1001,APCDCONS,2009-10-12 00:00:00,2010-10-31 00:00:00,Void,Two (2) cold solvent parts washers,MINOR,PRINT-TEX U.S.A.,11198 AMPERE CT,JEFFERSONTOWN,40299-0000,207
8,C-1584-1002,APCDCONS,2014-10-17 00:00:00,2015-10-31 00:00:00,Void,H-60 & H-61 Hopper,FEDOOP,BYK USA Inc. Louisville Facility,1335 S 13TH ST,LOUISVILLE,40210-0000,208
9,C-0870-1004,APCDCONS,2015-01-21 08:30:00,2016-01-31 00:00:00,Void,Spray Booth,TITLE V,"GE Appliances A Haier US Appliance Solutions, Inc.",4000 BUECHEL BANK RD,LOUISVILLE,40225-0000,209
10,C-0073-1002,APCDCONS,2015-02-25 00:00:00,2016-02-29 00:00:00,Open,Paint Shop PSD Permit,TITLE V,Ford Motor Company - KY Truck,3001 CHAMBERLAIN LN,LOUISVILLE,40241-0000,210
11,C-0148-1003,APCDCONS,2016-03-29 08:18:00,2017-03-31 00:00:00,Void,Lime Injection System,TITLE V,Lou. Med. Center Inc Steam & Chilled Water Plant,235 ABRAHAM FLEXNER WAY,LOUISVILLE,40202-0000,211
