OBJECTID,EOFORM,PARKFLAG,FID_PHSREG,FID_EAGLE_,FID_HERONH,SOURCE,DESCRIPTION,P_AREA,SHAPE_Length,SHAPE_Area
1,,,-1,1,-1,Bald eagle management area,Bald eagle management area,3613057.82393315,27412.4323092247,-3608263.36528351
2,,,-1,2,-1,Bald eagle management area,Bald eagle management area,11049543.3357461,82251.5671612409,-11045285.1223593
3,918012.0,,1,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 918012 (Waterfowl Concentrations)  UNION BAY - LAKE WASHINGTON THE WETLANDS AT THE MOUTH OF UNIVERSITY SLOUGH, ALONG THE UNION BAY NATURAL AREA , MARSH AND FOSTER ISLANDS AND ASSOCIATED UW ARBORETUM SHORELINE PROVIDE NESTING  AND LOAFING OPPORTUNITIES FOR URBAN DABBLER SPECIES, INCLUDING WOOD DUCKS.",416707.12046163,11549.3322642342,416707.144278376
4,918013.0,,2,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 918013 (Waterfowl Concentrations)  UNION BAY - LAKE WASHINGTON UNION BAY IS THE AREA OF LAKE WASHINGTON HAVING THE MOST DIVERSE AND NUMEROUS WI NTERING WATERFOWL, PARTICULARLY DIVERS SUCH AS BUFFLEHEADS AND MERGANSERS. UP TO  1900 WATERFOWL WINTER IN UNION BAY.",2318891.6399764,9122.63221608828,2318891.66367099
5,915017.0,,3,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 915017 (Biodiversity Areas And Corridor)  CARKEEK PARK AND ENVIRONS - SEATTLE STANDS OF CINIFERS, DECIDUOUS, AND MIXED CONIFER/DECIDUOUS TREES. WETLANDS, SNAG S, AND DOWNED LOGS ARE ALSO PRESENT. DIAMETERS OF CONIFERS AND DECIDUOUS RANGE F ROM 15 TO OVER 30 INCHES. DOCUMENTED CHINOOK AND CUTTHROAT TROUT IN PIPERS CRK.",8822613.08507733,45095.2583677196,8822612.95143523
6,915018.0,,4,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 915018 (Biodiversity Areas And Corridor)  GOLDEN GARDENS PARK AND ENVIRONS - SEATTLE STANDS OF CONIFERS, DECIDUOUS, AND MIXED CONIFER-DECIDUOUS TREES. DIAMETERS OF C ONIFERS RANGE FROM 15 TO 30 INCHES AND THE DIAMETER OF DECIDUOUS RANGE FROM T TO  OVER 30 INCHES. SNAGS, DOWNED LOGS, AND SEEPS ARE ALSO PRESENT.",2678549.85293684,15699.8888416557,2678549.85336503
7,902029.0,,5,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 902029 (Wetlands)  ARBORETUM, FOSTER ISLAND, AND, UNIVERSITY OF WASH UNION BAY WETLANDS. THESE WETLANDS ARE REPORTED TO HOST A DIVERSE WILDLIFE POPUL ATION (145 SPECIES) ARBORETUM/LAKESIDE TRAIL DEIS. 1990.  ",81674.43811615,4165.29456641912,81674.4187843668
8,915021.0,,6,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 915021 (Biodiversity Areas And Corridor)  WASHINGTON ARBORETUM AND ENVIRONS - SEATTLE STANDS OF CINIFER, DECIDUOUS, AND MIXED CONIFER-DECIDUOUS TREES INTERMIXED WITH  LANDSCAPED GRASSLANDS AND FOREST. SNAGS, DOWNED LOGS, AND WETLANDS ARE PRESENT.  NESTING BALD EAGLES, AND GREAT BLUE HERON. WESTERN POND AND PAINTED TURTLES.",6535816.47842985,29980.6439025106,-6536248.04623515
9,915022.0,,7,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 915022 (Biodiversity Areas And Corridor)  INTERLAKEN PARK - SEATTLE STANDS OF CONIFER, DECIDUOUS, AND MIXED CONIFER-DECIDUOUS WITH DIAMETERS RANGING  FROM 15 TO 30 INCHES. SNAGS, DOWNED LOGS, SEEPS, AND WETLANDS ARE PRESENT. ",2431343.71859621,17491.1569440891,2431343.73722224
10,902715.0,,8,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 902715 (Wetlands)  PORTAGE BAY WETLANDS WATERFOWL RESTING, NESTING AND FEEDING AREA.    ",713706.23359462,5113.85127208698,713706.202195354
11,915025.0,,9,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 915025 (Biodiversity Areas And Corridor)  LINCOLN-FAUNTLEROY PARKS - SEATTLE STANDS OF CONIFER, DECIDUOUS, BROADLEAF EVERGREEN, AND MIXED CONIFER-DECIDUOUS.  SNAGS, DOWNED LOGS, AND WETLANDS PRESENT. NESTING BALD EAGLE AND DOCUMENTED PRES ENCE OF COHO AND RESIDENT COASTAL CUTTHROAT TROUT IN FAUNTLEROY CREEK.",4236790.69625868,23020.9338454264,-4237164.72867342
12,915026.0,,10,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 915026 (Biodiversity Areas And Corridor)  SCHMITZ PARK - SEATTLE STANDS OF CONIFER, DECIDUOUS, AND MIXED CONIFER-DECIDUOUS WITH DIAMETERS RANGING  FROM 15 TO OVER 30 INCHES. SNAGS, DOWNED LOGS, SEEPS, AND WETLANDS PRESENT. ",2680061.41946978,9187.40201925287,2680061.45771521
13,915027.0,,11,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 915027 (Biodiversity Areas And Corridor)  ME KWA MOOK PARK AND ENVIRONS - SEATTLE STANDS OF DECIDUOUS AND MIXED CONIFER-DECIDUOUS WITH DIAMETERS RANGING FROM 15 T O OVER 30 INCHES.  SNAGS, DOWNED LOGS, AND SEEPS PRESENT. ",1119169.52834651,10196.3646401624,1119169.49767569
14,915028.0,,12,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 915028 (Biodiversity Areas And Corridor)  DUWAMISH HEAD GREENBELT - SEATTLE STANDS OF DECIDUOUS AND MIXED CONIFER-DECIDUOUS WITH DIAMETERS RANGING FROM 5 TO  20 INCHES. SNAGS, DOWNED LOGS, SEEPS, AND WETLANDS PRESENT.  ALSO NESTING BALD  EAGLE PRESENT.",3351318.33982745,30684.692766411,-3351699.14776391
15,915030.0,,13,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 915030 (Biodiversity Areas And Corridor)  CAMP LONG-LONGFELLOW CREEK GREENSPACE - SEATTLE STANDS OF CINIFER, DECIDUOUS, BROADLEAF EVERGREEN, AND MIXED CONIFER-DECIDUOUS.  DIAMETERS RANGE FROM 5 TO 30 INCHES. SNAGS, DOWNED LOGS, SEEPS, AND WETLANDS PRE SENT. ALSO COHO SPAWNING AND RESIDENT COASTAL CUTTHROAT IN LONGFELLOW CREEK.",6750706.07087674,49458.3986947136,6750706.0930444
16,915023.0,,14,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 915023 (Biodiversity Areas And Corridor)  WEST DUWAMISH GREENBELT - SEATTLE STANDS OF CONIFER, DECIDUOUS, BROADLEAF EVERGREEN, AND MIXED CONIFER-DECIDUOUS T REES. SNAGS, DOWNED LOGS, SEEPS, WETLANDS, AND SHRUBS PRESENT. NESTING BALD EAGL E ALSO PRESENT.",19303031.1228172,76417.3314413382,-19303296.8966481
17,915037.0,,15,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 915037 (Biodiversity Areas And Corridor)  LLANDOVER WOODS GREENSPACE - SEATTLE STANDS OF CONIFER AND MIXED CONIFER-DECIDUOUS TREES WITH DIAMETERS RANGING FROM  20 TO 0VER 30 INCHES. SNAGS, DOWNED LOGS, AND SEEPS PRESENT. NEAR THE SOUTHERN E DGE OF THE HEAVILY WOODED SEATTLE COUNTRY CLUB.",366198.20359359,3067.00746332379,366198.205005431
18,915034.0,,16,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 915034 (Biodiversity Areas And Corridor)  WEST QUEEN ANNE GREENBELT-KINNEAR PARK - SEATTLE STANDS OF DECIDUOUS AND MIXED DECIDUOUS-BROADLEAF EVERGREEN TREES. DIAMETERS RAN GE FROM 15 TO 20 INCHES. SNAGS, DOWNED LOGS, AND SEEPS PRESENT. STEEP WEST-SOUTH WEST FACING SLOPES.",1821172.83348205,13018.7954554847,1821172.87641263
19,915014.0,,17,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 915014 (Cliffs/bluffs)  DISCOVERY PARK - SEATTLE SPARESLY VEGETATED CLIFFS SITUATED ON THE BLUFFS IN DISCOVERY PARK. HEIGHT OF TH E CLIFFS RANGE FROM 20 FEET ON THE NORTH BLUFF TO 240 FEET ON THE SOUTH BLUFF. A LSO CONTAINS SNAGS, DOWNED LOGS, AND SEEPS. BLUFFS ARE MADE UP OF GLACIAL TILL.",3789.70535672,465.544149948758,3789.70720919174
20,915015.0,,18,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 915015 (Biodiversity Areas And Corridor)  DISCOVERY PARK - SEATTLE STANDS OF CONIFERS, DECIDUOUS AND MIXED CONIFER AND DECIDUOUS INTERMIXED WITH PA TCHES OF SHRUBLAND, GRASSLAND, CLIFFS, AND WETLANDS UPON MAGNOLIA BLUFF. DIAMETE R OF TREES 5 TO 30 INCHES. NESTING PILEATED WOODPECKERS AND BALD EAGLE PRESENT.",12433180.4165889,61266.5836864587,-12434397.1541051
21,915035.0,,20,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 915035 (Biodiversity Areas And Corridor)  MADRONA PARK - SEATTLE STANDS OF DECIDUOUS AND MIXED CONIFER-DECIDUOUS TREES. DIAMETERS RANGE FROM 5 TO  OVER 30 INCHES. SNAGS, DOWNED LOGS, SEEPS, AND WETLANDS PRESENT. ",434929.31981495,3681.10248261911,434929.316759067
22,915031.0,,21,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 915031 (Biodiversity Areas And Corridor)  FRINK AND LESCHI PARKS - SEATTLE STANDS OF CONIFER, DECIDUOUS, AND MIXED DECIDUOUS-BROADLEAF EVERGREEN. DIAMETERS  RANGE FROM 15 TO 30 INCHES. SNAGS, DOWNED LOGS, SEEPS, AND WETLANDS PRESENT. ",1226446.2247416,7669.38325169708,1226446.21666001
23,915032.0,,22,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 915032 (Biodiversity Areas And Corridor)  MT BAKER PARK - SEATTLE STANDS OF DECIDUOUS, MIXED CONIFER-DECIDUOUS, AND MIXED DECIDUOUS-BROADLEAF EVER GREEN. DIAMETERS RANGE FROM 5 TO 30 INCHES. SNAGS, DOWNED LOGS, AND SEEPS ARE PR ESENT.",908177.6827578,10291.2427757159,908177.674853856
24,915024.0,,23,-1,-1,WDFW priority habitat and species,PHS-EOFORM: 915024 (Biodiversity Areas And Corridor)  CHEASTY GREENSPACE - SEATTLE STANDS OF DECIDUOUS TREES WITH DIAMETERS RANGING FROM 5 TO 30 INCHES. SNAGS AND  DOWNED LOGS PRESENT. ,3276466.2283653,26694.4354108629,3276466.21355971
25,915033.0,,24,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 915033 (Biodiversity Areas And Corridor)  DEARBORN PARK-MAPLE SCHOOL RAVINE - SEATTLE STANDS OF DECIDUOUS TREES WITH DIAMETERS RANGING FROM 5 TO 30 INCHES. SNAGS, DOW NED LOGS, AND SEEPS PRESENT. ",1090347.55846018,11616.1771529884,1090347.51952032
