Agency Number,OCP_AGNCY_NAME,Account - Major Class,Account Description - Major Class,Account - Sub-Class,Account Description - Sub-Class,Account,Account Description,Fiscal Year,Accounting Period,Amount
0,STATE OF OKLAHOMA,400600,LIC/PERMITS/TUITION/FEES/OTH,400000,CLEARING ACCOUNT TBD,400000,CLEARING ACCOUNT TBD,2008,1,$5.87
0,STATE OF OKLAHOMA,400600,LIC/PERMITS/TUITION/FEES/OTH,400000,CLEARING ACCOUNT TBD,400000,CLEARING ACCOUNT TBD,2008,3,$1682.59
0,STATE OF OKLAHOMA,400600,LIC/PERMITS/TUITION/FEES/OTH,400000,CLEARING ACCOUNT TBD,400000,CLEARING ACCOUNT TBD,2008,9,$-8756.48
0,STATE OF OKLAHOMA,400600,LIC/PERMITS/TUITION/FEES/OTH,400000,CLEARING ACCOUNT TBD,400000,CLEARING ACCOUNT TBD,2008,10,$-32600000.00
0,STATE OF OKLAHOMA,400600,LIC/PERMITS/TUITION/FEES/OTH,400000,CLEARING ACCOUNT TBD,400000,CLEARING ACCOUNT TBD,2008,11,$-81366599.36
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411101,ALCOHOL BEV EXCISE TAX,2008,1,$1423884.47
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411101,ALCOHOL BEV EXCISE TAX,2008,2,$2238662.35
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411101,ALCOHOL BEV EXCISE TAX,2008,3,$1719902.91
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411101,ALCOHOL BEV EXCISE TAX,2008,4,$1272719.05
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411101,ALCOHOL BEV EXCISE TAX,2008,5,$1029657.01
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411101,ALCOHOL BEV EXCISE TAX,2008,6,$2351259.27
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411101,ALCOHOL BEV EXCISE TAX,2008,7,$2129029.60
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411101,ALCOHOL BEV EXCISE TAX,2008,8,$1186215.53
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411101,ALCOHOL BEV EXCISE TAX,2008,9,$1180304.55
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411101,ALCOHOL BEV EXCISE TAX,2008,10,$1712451.12
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411101,ALCOHOL BEV EXCISE TAX,2008,11,$2122419.19
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411101,ALCOHOL BEV EXCISE TAX,2008,12,$1605912.42
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411102,MIXED BEVERAGE GROSS RECTS TAX,2008,1,$2427943.02
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411102,MIXED BEVERAGE GROSS RECTS TAX,2008,2,$2440364.50
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411102,MIXED BEVERAGE GROSS RECTS TAX,2008,3,$2342369.90
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411102,MIXED BEVERAGE GROSS RECTS TAX,2008,4,$2239029.89
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411102,MIXED BEVERAGE GROSS RECTS TAX,2008,5,$2685166.48
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411102,MIXED BEVERAGE GROSS RECTS TAX,2008,6,$2341417.86
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411102,MIXED BEVERAGE GROSS RECTS TAX,2008,7,$2271625.20
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411102,MIXED BEVERAGE GROSS RECTS TAX,2008,8,$2724177.67
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411102,MIXED BEVERAGE GROSS RECTS TAX,2008,9,$2326914.93
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411102,MIXED BEVERAGE GROSS RECTS TAX,2008,10,$2255029.43
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411102,MIXED BEVERAGE GROSS RECTS TAX,2008,11,$2901758.90
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411102,MIXED BEVERAGE GROSS RECTS TAX,2008,12,$2793395.01
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411107,BEVERAGE TAX,2008,1,$2558645.84
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411107,BEVERAGE TAX,2008,2,$2241245.87
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411107,BEVERAGE TAX,2008,3,$2260763.40
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411107,BEVERAGE TAX,2008,4,$2541265.79
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411107,BEVERAGE TAX,2008,5,$1904972.41
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411107,BEVERAGE TAX,2008,6,$2182211.21
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411107,BEVERAGE TAX,2008,7,$2059491.94
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411107,BEVERAGE TAX,2008,8,$1958053.57
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411107,BEVERAGE TAX,2008,9,$1854776.06
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411107,BEVERAGE TAX,2008,10,$1635359.82
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411107,BEVERAGE TAX,2008,11,$1979581.58
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411100,BEVERAGE TAXES                ,411107,BEVERAGE TAX,2008,12,$2161510.50
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411201,CIGARETTE TAX,2008,1,$3284970.20
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411201,CIGARETTE TAX,2008,2,$3102682.95
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411201,CIGARETTE TAX,2008,3,$4517687.83
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411201,CIGARETTE TAX,2008,4,$3395045.98
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411201,CIGARETTE TAX,2008,5,$3604538.06
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411201,CIGARETTE TAX,2008,6,$2774283.36
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411201,CIGARETTE TAX,2008,7,$3318298.79
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411201,CIGARETTE TAX,2008,8,$3198243.21
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411201,CIGARETTE TAX,2008,9,$2246125.13
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411201,CIGARETTE TAX,2008,10,$3095997.63
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411201,CIGARETTE TAX,2008,11,$3181368.84
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411201,CIGARETTE TAX,2008,12,$3307852.49
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411210,TOBACCO PRODUCTS TAX,2008,1,$1344279.45
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411210,TOBACCO PRODUCTS TAX,2008,2,$1171646.73
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411210,TOBACCO PRODUCTS TAX,2008,3,$1204960.28
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411210,TOBACCO PRODUCTS TAX,2008,4,$1282032.89
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411210,TOBACCO PRODUCTS TAX,2008,5,$971283.08
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411210,TOBACCO PRODUCTS TAX,2008,6,$1351588.41
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411210,TOBACCO PRODUCTS TAX,2008,7,$894888.95
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411210,TOBACCO PRODUCTS TAX,2008,8,$1061603.63
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411210,TOBACCO PRODUCTS TAX,2008,9,$1446406.42
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411210,TOBACCO PRODUCTS TAX,2008,10,$1445738.71
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411210,TOBACCO PRODUCTS TAX,2008,11,$1041431.18
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411210,TOBACCO PRODUCTS TAX,2008,12,$1101977.51
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411219,TRIBAL COMPACT INLIEU TAX PMTS,2008,1,$785634.91
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411219,TRIBAL COMPACT INLIEU TAX PMTS,2008,2,$618956.89
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411219,TRIBAL COMPACT INLIEU TAX PMTS,2008,3,$957927.71
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411219,TRIBAL COMPACT INLIEU TAX PMTS,2008,4,$776026.06
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411219,TRIBAL COMPACT INLIEU TAX PMTS,2008,5,$587287.03
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411219,TRIBAL COMPACT INLIEU TAX PMTS,2008,6,$847270.20
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411219,TRIBAL COMPACT INLIEU TAX PMTS,2008,7,$695432.21
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411219,TRIBAL COMPACT INLIEU TAX PMTS,2008,8,$656242.81
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411219,TRIBAL COMPACT INLIEU TAX PMTS,2008,9,$637349.43
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411219,TRIBAL COMPACT INLIEU TAX PMTS,2008,10,$828960.78
