OBJECTID,QUAD,SEGMENT,SRC_MAP,SRC_SCALE,SRC_YEAR,HELP_MAP,HELP_SCALE,HELP_DATE,FPR_TRAIL_,JUR,MAINT,MAINT2,CLASS,LONG_,LTS,AT_,ATS,ALTS,CAT,VAST,VAST_1,VAST_2,VAFD,SFT,LRP,PCT,ATV,OT,ID,NOTES,MILES,SHAPElen
1,216,1, ,0,0, ,0, ,0,MU,MU, ,RR, , , , , , , , , , , ,T, , , ,216001,Burlington Bike Path,0.714,1149.36662899499
2,216,2, ,0,0, ,0, ,0,MU,MU, ,RR, , , , , , , , , , , ,T, , , ,216002,Burlington Bike Path,0.457,735.873998847479
3,216,3, ,0,0, ,0, ,0,MU,MU, ,RR, , , , , , , , , , , ,T, , , ,216003,Burlington Bike Path,0.996,1603.13584853478
4,216,4, ,0,0, ,0, ,0,MU,MU, ,RR, , , , , , , , , , , ,T, , , ,216004,Burlington Bike Path,0.229,368.257430964809
5,216,5, ,0,0, ,0, ,0,MU,MU, ,TH, , , , , , , , , , , ,T, , , ,216005,Burlington Bike Path,1.064,1712.66845219307
6,216,6, ,0,0, ,0, ,0,MU,MU, ,RR, , , , , , , , , , , ,T, , , ,216006,Burlington Bike Path,0.397,639.01372970512
7,216,7, ,0,0, ,0, ,0,PC,MU, ,RO, , , , , , , , , , , ,T, , , ,216007,Burlington Bike Path,0.44,707.935992074595
8,213,1, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,213001,Secondary/Feeder Trails Ferrisburg,0.55,885.130413628697
9,213,2, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,213002,Secondary/Feeder Trails Ferrisburg,0.414,667.313141021983
10,213,3, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,213003,Secondary/Feeder Trails Little Otter Creek,1.387,2233.54235104846
11,212,1, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,212001,Secondary/Feeder Trail,0.732,1178.35937874902
12,212,3, ,0,0, ,0, ,0,ST,VA,ST,SF, , , , , , , , , ,T, , , , , ,212003,Secondary/Feeder Trail Dead Creek WMA,0.073,117.410273504836
13,212,4, ,0,0, ,0, ,0,MU,VA,MU,TH, , , , , , , , , ,T, , , , , ,212004,Secondary/Feeder Trail Town Road,0.647,1041.64927481283
14,212,5, ,0,0, ,0, ,0,MU,VA,MU,TH, , , , , , , , , ,T, , , , , ,212005,Secondary/Feeder Trail Town Road,0.219,352.718583692744
15,212,6, ,0,0, ,0, ,0,MU,VA,MU,TH, , , , , , , , , ,T, , , , , ,212006,Secondary/Feeder Trail Town Road,0.565,909.010213655749
16,212,7, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,212007,Secondary/Feeder Trail,0.556,894.59005356932
17,212,8, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,212008,Secondary/Feeder Trail,0.438,705.667206089243
18,212,9, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,212009,Secondary/Feeder Trail,1.064,1712.97704956915
19,212,10, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,212010,Secondary/Feeder Trail,1.087,1750.71747004695
20,212,11, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,212011,Secondary/Feeder Trail,0.248,398.850377266896
21,212,2, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,212002,Secondary/Feeder Trail,0.576,928.018220153885
22,211,1, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,211001,Secondary/Feeder Trails Trail ends,0.614,989.0951476116
23,211,2, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,211002,Secondary/Feeder Trails,1.085,1746.34813606671
24,211,3, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,211003,Secondary/Feeder Trails,0.185,297.284856178779
25,211,4, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,211004,Secondary/Feeder Trails,0.337,542.816595292843
26,211,5, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,211005,Secondary/Feeder Trails,0.77,1240.34561639704
27,211,6, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,211006,Secondary/Feeder Trails,0.11,176.635254630652
28,211,7, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,211007,Secondary/Feeder Trails,0.086,138.984134580178
29,211,8, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,211008,Secondary/Feeder Trails,0.174,280.742736078108
30,211,9, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,211009,Secondary/Feeder Trails,0.567,913.638816570124
31,211,10, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,211010,Secondary/Feeder Trails Bridport,0.481,774.708201568249
32,211,11, ,0,0, ,0, ,0,MU,VA,MU,TH, , , , , , , , , ,T, , , , , ,211011,Secondary/Feeder Trails Town road,0.265,426.884299780073
33,211,12, ,0,0, ,0, ,0,MU,VA,MU,TH, , , , , , , , , ,T, , , , , ,211012,Secondary/Feeder Trails Town road,0.419,674.999556311673
34,211,13, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,211013,Secondary/Feeder Trails,0.248,398.687206132614
35,211,14, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,211014,Secondary/Feeder Trails Bridport,0.686,1105.1519888015
36,211,15, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,211015,Secondary/Feeder Trails,0.474,763.726878079549
37,211,16, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,211016,Secondary/Feeder Trails,0.765,1231.10041629381
38,211,17, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,211017,Secondary/Feeder Trails,0.531,854.863485438517
39,211,18, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,211018,Secondary/Feeder Trails Crosses Rte. 22A,0.187,300.777209821956
40,211,19, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,211019,Secondary/Feeder Trails,0.601,967.237894669099
41,211,20, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,211020,Secondary/Feeder Trails Hemingway Hill,0.761,1225.83411430696
42,211,22, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,211022,Secondary/Feeder Trails,0.22,354.96923398858
43,211,23, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,211023,Secondary/Feeder Trails,0.055,88.792408041989
44,211,24, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,211024,Secondary/Feeder Trails,0.33,531.281729930331
45,211,25, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,211025,Secondary/Feeder Trails,0.081,129.736461674267
46,211,26, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,211026,Secondary/Feeder Trails,0.705,1135.26942115241
47,211,27, ,0,0, ,0, ,0,PV,VA,PV,WT, , , , , , , , , ,T, , , , , ,211027,Secondary/Feeder Trails Fair River Wetland,2.273,3660.13018395786
48,211,28, ,0,0, ,0, ,0,PV,VA,PV,WT, , , , , , , , , ,T, , , , , ,211028,Secondary/Feeder Trails Crosses Rte.125,0.657,1057.52066209163
49,211,29, ,0,0, ,0, ,0,PV,VA,PV,WT, , , , , , , , , ,T, , , , , ,211029,Secondary/Feeder Trails,0.374,602.517322051768
50,211,21, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,211021,Secondary/Feeder Trails Hemingway Hill,0.891,1434.01387324302
51,211,30,,0,0,,0, ,0,PV,VA,PV,OT,,,,,,,,,,T,,,, ,,211030,Secondary/Feeder Trails,0.72,1159.53701290766
52,211,31,,0,0,,0, ,0,PV,VA,PV,OT,,,,,,,,,,T,,,, ,,211031,Secondary/Feeder Trails/connect Rte 125,0.203,326.184899406021
53,207,1, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , , , , ,T, , , , , ,207001,feeder trail to NY line,0.072,116.313520800126
54,206,1, ,0,0, ,0, ,0,ST,VA,ST,RR, , , , , , , , , ,T, , , , , ,206001,D&H rail trail,0.58,933.929151935407
55,206,2, ,0,0, ,0, ,0,ST,VA,ST,RR, , , , , , , , , ,T, , , , , ,206002,D&H rail trail- W. Pawlet to NYS line,0.141,227.411630338356
56,206,3, ,0,0, ,0, ,0,ST,VA,ST,RR, , , , , , , , , ,T, , , , , ,206003,D&H rail trail- W. Pawlet to map edge,0.688,1107.19172017437
57,205,1, ,0,0, ,0, ,0,ST,VA,ST,RR, , , , , , , , , ,T, , , , , ,205001,D&H trail - NY line to map edge,0.476,766.077357909813
58,205,2, ,0,0, ,0, ,0,ST,VA,ST,RR, , , , , , , , , ,T, , , , , ,205002,D&H trail - NY line to map edge,0.257,413.028879756216
59,202,1, ,0,0, ,0, ,0,UK,OT, ,OT, , , , , , , , , , , , , , ,T,202001,"from bridge, along road to rd. intersection",0.073,117.272905198375
60,202,2, ,0,0, ,0, ,0,UK,OT, ,OT, , , , , , , , , , , , , , ,T,202002,"from road intersect., west to end of road",0.198,318.391439367941
61,202,3, ,0,0, ,0, ,0,UK,OT, ,OT, , , , , , , , , , , , , , ,T,202003,"end of road to, thru fields to reservoir",0.447,720.338412678776
62,202,4, ,0,0, ,0, ,0,UK,OT, ,OT, , , , , , , , , , , , , , ,T,202004,from reservoir to smaller reservoir,0.241,388.15179484754
63,202,5, ,0,0, ,0, ,0,UK,OT, ,OT, , , , , , , , , , , , , , ,T,202005,small reservoir to NYS line,0.452,727.304954385348
64,202,6, ,0,0, ,0, ,0,UK,OT, ,OT, , , , , , , , , , , , , , ,T,202006,"map edge, northwest to NY line",0.156,251.236675138686
65,201,1, ,0,0, ,0, ,0,UK,OT, ,OT, , , , , , , , , , , , , , ,T,201001,Taconic Crest Trail - NY line to map edge,0.292,470.031314376487
66,318,1, ,0,0, ,0, ,0,ST,ST,-,OT, , , , , , , , , , ,T, , , , ,318001,Knight Island S.P. Hiking Trails,0.198,318.197139459724
67,318,2, ,0,0, ,0, ,0,ST,ST,-,OT, , , , , , , , , , ,T, , , , ,318002,Knight Island S.P. Hiking Trails,0.125,201.132659581911
68,318,3, ,0,0, ,0, ,0,ST,ST,-,OT, , , , , , , , , , ,T, , , , ,318003,Knight Island S.P. Hiking Trails,0.17,273.941933293774
69,318,4, ,0,0, ,0, ,0,ST,ST,-,OT, , , , , , , , , , ,T, , , , ,318004,Knight Island S.P. Hiking Trails,0.197,316.607200454228
70,318,5, ,0,0, ,0, ,0,ST,ST,-,OT, , , , , , , , , , ,T, , , , ,318005,Knight Island S.P. Hiking Trails,0.127,204.116285608233
71,318,6, ,0,0, ,0, ,0,ST,ST,-,OT, , , , , , , , , , ,T, , , , ,318006,Burton Island S.P. Hiking Trails,0.277,445.64952297245
72,318,7, ,0,0, ,0, ,0,ST,ST,-,OT, , , , , , , , , , ,T, , , , ,318007,Burton Island S.P. Hiking Trails,0.262,421.886035645711
73,318,8, ,0,0, ,0, ,0,ST,ST,-,OT, , , , , , , , , , ,T, , , , ,318008,Burton Island S.P. Hiking Trails,0.583,938.454580351885
74,318,9, ,0,0, ,0, ,0,ST,ST,-,OT, , , , , , , , , , ,T, , , , ,318009,Woods Island S.P. Hiking Trails,1.061,1707.81454071814
75,318,10, ,0,0, ,0, ,0,ST,ST,-,OT, , , , , , , , , , ,T, , , , ,318010,Woods Island S.P. Hiking Trails,0.713,1147.68013265049
76,318,11, ,0,0, ,0, ,0,ST,ST,-,OT, , , , , , , , , , ,T, , , , ,318011,Woods Island S.P. Hiking Trails,0.224,360.647269505014
77,318,12,,0,0,,0, ,0,PV,VA,PV,OT,,,,,,,T,,,,,,, ,,318012,Rte. 7 Corr. St. Albans Bay,1.476,2377.10088588877
78,418,1, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,418001,Aldis Hill Trails St. Albans Town,0.437,703.530096108411
79,418,2, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,418002,Aldis Hill Trails St. Albans Town,0.212,341.724668760235
80,418,3, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,418003,Aldis Hill Trails St. Albans Town,0.142,229.023785276131
81,418,4, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,418004,Aldis Hill Trails St. Albans Town,0.154,248.407732786785
82,418,5, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,418005,Aldis Hill Trails St. Albans Town,0.398,641.197163403779
83,418,6, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,418006,Rte. 7 Corr.,1.494,2406.11379139572
84,418,7, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,418007,Rte. 7 Corr.,1.006,1620.17057934051
85,418,8, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,418008,Rte. 7 Corr.,0.649,1045.40328996198
86,418,9, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,418009,Rte. 7 Corr.,1.267,2040.05541724768
87,418,10, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,418010,Rte. 7 Corr.,0.725,1167.21967261128
88,418,11, ,0,0, ,0, ,0,ST,VA,-,OT, , , , , , ,T, , , , , , , , ,418011,Rte. 7 Corr. State Police Brks.,0.038,61.1527229820289
89,418,12, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,418012,Rte. 7 Corr.,0.735,1182.96743362515
90,418,13, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,418013,Rte. 7 Corr.,0.56,901.035328830488
91,418,14, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,418014,Rte. 7 Corr.,2.028,3264.86465290966
92,418,15, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,418015,Rte. 7 Corr.,0.618,994.999704456526
93,418,16, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,418016,Rte. 7 Corr.,0.049,78.1733277987835
94,418,17, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,418017,Rte. 7 Corr.,1.06,1706.75977360609
95,418,18, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,418018,Rte. 7 Corr.,0.713,1147.31807191422
96,418,19, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,418019,Rte. 7 Corr.,0.687,1106.18170529747
97,418,20, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,418020,Rte. 7 Corr.,0.04,65.0544664558398
98,418,21, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , , , , ,T, , , , , ,418021,Club Trail Feeder,0.476,766.998025779574
99,418,22, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,418022,Rte. 7 Corr.,0.842,1355.01851945586
100,418,23, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,418023,Rte. 7 Corr. Crosses I89,0.42,676.564750686337
101,418,24, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,418024,Rte. 7 Corr.,0.384,618.035131311653
102,418,25, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,418025,Rte. 7 Corr.,0.969,1559.43881616032
103,316,1, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,316001,Rte. 7 Corr.,1.46,2350.4842872887
104,316,2, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,316002,Rte. 7 Corr.,1.466,2360.22473566422
105,316,3, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,316003,Rte. 7 Corr.,0.486,781.983234493472
106,316,4, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,316004,Rte. 7 Corr.,1.251,2013.43488897434
107,316,5, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,316005,Rte. 7 Corr.,0.322,518.041994239133
108,316,6, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,316006,Rte. 7 Corr.,0.825,1328.55327293121
109,316,7, ,0,0, ,0, ,0,ST,VA,ST,WT, , , , , , ,T, , , , , , , , ,316007,Rte. 7 Corr. Mallets Bay,0.419,675.151211422609
110,316,8, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,316008,Rte. 7 Corr.,0.115,185.390234141385
111,316,9, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,316009,Rte. 7 Corr. Chimney Corner,1.009,1623.81599248486
112,316,10, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,316010,Rte. 7 Corr.,2.686,4324.25323251596
113,316,11, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,316011,Rte. 7 Corr. End,0.494,795.295207193604
114,316,12, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,316012,Rte. 15A Corr.,0.48,773.555746713109
115,316,13, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,316013,Rte. 15A Corr.,0.789,1269.84036604268
116,316,14, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,316014,Rte. 15A Corr.,0.342,550.786422872692
117,316,15, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,316015,Rte. 15A Corr.,0.144,231.492576993984
118,316,16, ,0,0, ,0, ,0,MU,MU,-,RR, , , , , , , , , , , ,T, , , ,316016,Burlington Bike Path,0.124,199.755575715496
119,316,17, ,0,0, ,0, ,0,MU,MU,-,RO, , , , , , , , , , , ,T, , , ,316017,Winooski Valley McCrea Farms Hike & Ski Trails,0.876,1409.58721564268
120,316,18, ,0,0, ,0, ,0,MU,MU,-,RO, , , , , , , , , , , ,T, , , ,316018,Winooski Valley McCrea Farms Hike & Ski Trails,0.286,459.697720991008
121,316,19, ,0,0, ,0, ,0,MU,MU,-,RO, , , , , , , , , , , ,T, , , ,316019,Winooski Valley McCrea Farms Hike & Ski Trails,0.054,87.21630665633
122,316,20, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316020,Winooski Valley McCrea Farms Hike & Ski Trails,0.398,640.931741288167
123,316,21, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316021,Winooski Valley McCrea Farms Hike & Ski Trails,0.159,256.57086595124
124,316,22, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316022,Winooski Valley McCrea Farms Hike & Ski Trails,0.789,1270.55076507713
125,316,23, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316023,Winooski Valley McCrea Farms Hike & Ski Trails,0.118,190.496732439983
126,316,24, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316024,Winooski Valley McCrea Farms Hike & Ski Trails,0.265,426.837275159924
127,316,25, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316025,Winooski Valley McCrea Farms Hike & Ski Trails,0.482,776.165189313824
128,316,26, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316026,Winooski Valley McCrea Farms Hike & Ski Trails,0.11,177.714110026575
129,316,27, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316027,Winooski Valley McCrea Farms Hike & Ski Trails,0.238,383.884644258735
130,316,28, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316028,Colchester Ski Trails,0.403,649.147550164457
131,316,29, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316029,Colchester Ski Trails,0.661,1064.92733480706
132,316,30, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316030,Colchester Ski Trails,0.255,410.240552043082
133,316,31, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316031,Colchester Ski Trails,0.207,333.977911325823
134,316,32, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316032,Colchester Ski Trails,0.042,67.2621801647591
135,316,33, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316033,Colchester Ski Trails,1.0,1610.5404749074
136,316,34, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316034,Colchester Ski Trails,0.228,367.586232825549
137,316,35, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316035,Colchester Ski Trails,0.186,299.416530996701
138,316,36, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316036,Colchester Ski Trails,0.135,217.022979801464
139,316,37, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316037,Colchester Ski Trails,0.052,83.9981346917493
140,316,38, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316038,Colchester Ski Trails,0.082,131.831135504822
141,316,39, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316039,Colchester Ski Trails,0.253,406.79257617251
142,316,40, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316040,Colchester Ski Trails,0.076,122.050999814293
143,316,41, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316041,Colchester Ski Trails,0.147,235.904192623675
144,316,42, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316042,Colchester Ski Trails,0.403,649.386726817023
145,316,43, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316043,Colchester Ski Trails,0.183,295.004034387128
146,316,44, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316044,Colchester Ski Trails,0.19,306.034191675933
147,316,45, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316045,Colchester Ski Trails,0.078,125.983408235523
148,316,46, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316046,Colchester Ski Trails,0.197,317.772976576138
149,316,47, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316047,Colchester Ski Trails,0.202,325.336528417102
150,316,48, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316048,Colchester Ski Trails,0.05,80.169283543292
151,316,49, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316049,Colchester Ski Trails,0.076,122.269168801228
152,316,50, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316050,Colchester Ski Trails,0.125,201.660276768717
153,316,51, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316051,Colchester Ski Trails,0.07,112.158270167191
154,316,52, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316052,Colchester Ski Trails,0.057,92.1567446783774
155,316,53, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316053,Colchester Ski Trails,0.129,208.181941012242
156,316,54, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316054,Colchester Ski Trails,0.067,108.59059881449
157,316,55, ,0,0, ,0, ,0,MU,MU,-,TT, , , , , , , , , , , ,T, , , ,316055,Colchester Ski Trails,0.411,662.396076438616
158,417,2, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,417002,Rte. 104 Corr.,1.34,2157.7551456141
159,417,4, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,417004,Rte. 104 Corr.,0.333,535.629297134775
160,417,5, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,417005,Rte. 104 Corr.,1.269,2043.70282033251
161,417,6, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,417006,Rte. 104 Corr.,1.273,2048.92619812263
162,417,7, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,417007,Rte. 104 Corr.,0.971,1563.15426863127
163,417,8, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,417008,Rte. 104 Corr. Fairfax Village,0.368,592.550506909383
164,417,9, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,417009,Rte. 104 Corr. Fairfax Village,0.488,784.893423146205
165,417,10, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,417010,Rte. 104 Corr,0.436,702.521140279469
166,417,3, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,417003,Rte. 104 Corr.,0.958,1542.3743983229
167,416,1, ,0,0, ,0, ,0,MU,VA,MU,OT, , , , , , ,T, , , , , , , , ,416001,Rte. 7 Corr.,0.069,110.442988521223
168,416,2, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,416002,Rte. 7 Corr.,1.811,2914.86437974286
169,416,3, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,416003,Rte. 7 Corr.,0.325,523.545949838758
170,416,4, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,416004,Rte. 7 Corr.,0.194,312.5051171553
171,416,5, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,416005,Rte. 7 Corr.,0.779,1254.33363334187
172,416,6, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,416006,Rte. 7 Corr.,1.552,2498.24070533439
173,416,7, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,416007,Rte. 2/7 Corr.,1.062,1709.62220148165
174,416,8, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,416008,Rte. 2/7 Corr.,1.251,2013.59242258018
175,416,9, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,416009,Rte. 2/7 Corr.,0.128,205.30504166577
176,416,10, ,0,0, ,0, ,0,PV,VA,PV,OT, , , , , , ,T, , , , , , , , ,416010,Rte. 15 Corr. Browns River Drainage,1.826,2940.57786710196
