SECTION_NUMBER,ON_STREET,FROM_STREET,TO_STREET,LENGTH,COUNT_,CURRENT_PQI,MEASURED_PQI,PQI_DATE,CLASS,YEAR,ObjectId
13460,JEANINE DR,JEANINE DR,HAZELTON LN,379,2.0,34.8,42.2,2021/03/20 07:00:00+00,Local,2021.0,1163
11660,JEANINE DR,ASH AV,WARNER RANCH DR,486,2.0,21.7,27.7,2021/03/18 07:00:00+00,Local,2021.0,1164
12430,BONARDEN LN,MYRNA LN,CAROLINE LN,319,2.0,19.7,25.3,2021/03/18 07:00:00+00,Local,2021.0,1165
12950,MYRNA LN,WILLOW DR,ALDER DR,903,2.0,27.0,33.7,2021/03/20 07:00:00+00,Local,2021.0,1166
13470,JEANINE DR,HAZELTON LN,END,394,2.0,27.6,34.3,2021/03/20 07:00:00+00,Local,2021.0,1167
11670,ASH AV,JEANINE DR,MYRNA LN,273,2.0,37.4,45.0,2021/03/18 07:00:00+00,Local,2021.0,1168
12440,BONARDEN LN,CAROLINE LN,LA VIEVE LN,318,2.0,32.3,39.6,2021/03/18 07:00:00+00,Local,2021.0,1169
12960,ALDER DR,MYRNA LN,CAROLINE LN,326,2.0,23.0,29.1,2021/03/20 07:00:00+00,Local,2021.0,1170
13480,KACHINA DR,JEANINE DR,CAROLINE DR,667,2.0,23.5,29.6,2021/03/20 07:00:00+00,Local,2021.0,1171
11680,ASH AV,MYRNA LN,CAROLINE LN,291,2.0,25.7,32.2,2021/03/18 07:00:00+00,Local,2021.0,1172
12450,LA VIEVE LN,BONARDEN LN,RURAL RD,629,2.0,33.3,40.7,2021/03/18 07:00:00+00,Local,2021.0,1173
12970,JEANINE DR,WILLOW DR,ALDER DR,900,2.0,34.8,42.1,2021/03/20 07:00:00+00,Local,2021.0,1174
13490,KACHINA DR,CAROLINE DR,KACHINA DR,345,2.0,26.0,32.6,2021/03/20 07:00:00+00,Local,2021.0,1175
11690,ASH AV,CAROLINE LN,DAWN DR,253,2.0,31.6,38.7,2021/03/18 07:00:00+00,Local,2021.0,1176
12460,CAROLINE LN,BONARDEN LN,END,431,2.0,23.0,29.2,2021/03/18 07:00:00+00,Local,2021.0,1177
12980,JEANINE DR,ALDER DR,MCCLINTOCK DR,249,2.0,26.4,33.0,2021/03/20 07:00:00+00,Local,2021.0,1178
13500,KACHINA DR,KACHINA DR,LA VIEVE LN,448,2.0,24.2,30.5,2021/03/20 07:00:00+00,Local,2021.0,1179
11700,ASH AV,DAWN DR,LA VIEVE DR,310,2.0,38.8,46.4,2021/03/18 07:00:00+00,Local,2021.0,1180
12470,CALLE DE ARCOS DR,BONARDEN LN,END,438,2.0,40.6,48.3,2021/03/18 07:00:00+00,Local,2021.0,1181
12990,ALDER DR,JEANINE DR,KNOX RD,330,2.0,22.3,28.4,2021/03/20 07:00:00+00,Local,2021.0,1182
11710,MYRNA LN,END,ASH AV,318,2.0,30.2,37.2,2021/03/18 07:00:00+00,Local,2021.0,1183
12480,RANCH RD,END,BONARDEN LN,472,2.0,50.3,57.8,2021/03/18 07:00:00+00,Local,2021.0,1184
13000,KNOX RD,ALDER DR,WILLOW DR,866,2.0,48.7,56.3,2021/03/20 07:00:00+00,Local,2021.0,1185
11720,MYRNA LN,ASH AV,END,461,2.0,38.7,46.4,2021/03/18 07:00:00+00,Local,2021.0,1186
12490,GREENTREE DR,END,BONARDEN LN,448,2.0,43.9,51.7,2021/03/18 07:00:00+00,Local,2021.0,1187
13010,WILLOW DR,KNOX RD,JEANINE DR,311,2.0,44.8,52.5,2021/03/20 07:00:00+00,Local,2021.0,1188
11730,DAWN DR,END,ASH AV,318,2.0,33.3,40.6,2021/03/18 07:00:00+00,Local,2021.0,1189
12500,BONARDEN LN,GREENTREE DR,RANCH RD,313,2.0,48.0,55.7,2021/03/18 07:00:00+00,Local,2021.0,1190
13020,WILLOW DR,JEANINE DR,MYRNA LN,345,2.0,45.6,53.3,2021/03/20 07:00:00+00,Local,2021.0,1191
11740,DAWN DR,ASH AV,END,286,2.0,25.6,32.1,2021/03/18 07:00:00+00,Local,2021.0,1192
12510,BONARDEN LN,RANCH RD,CALLE DE ARCOS DR,235,2.0,49.7,57.2,2021/03/18 07:00:00+00,Local,2021.0,1193
12520,BONARDEN LN,CALLE DE ARCOS DR,WARNER RD,422,2.0,58.9,65.9,2021/03/18 07:00:00+00,Local,2021.0,1194
10690,KNOX RD,RITA LN,STANLEY PL,971,2.0,27.6,36.1,2021/03/18 07:00:00+00,Collector,2021.0,1195
10700,KNOX RD,STANLEY PL,KENNETH PL,374,2.0,57.8,66.8,2021/03/18 07:00:00+00,Collector,2021.0,1196
10710,KNOX RD,END,LAKESHORE DR,253,2.0,43.2,54.5,2021/03/20 07:00:00+00,Collector,2021.0,1197
10720,KNOX RD,LAKESHORE DR,OAK ST,297,2.0,32.7,42.2,2021/03/20 07:00:00+00,Collector,2021.0,1198
10730,KNOX RD,OAK ST,POPLAR ST,303,2.0,41.3,52.1,2021/03/20 07:00:00+00,Collector,2021.0,1199
10740,KNOX RD,POPLAR ST,JUNIPER ST,335,2.0,44.9,56.4,2021/03/20 07:00:00+00,Collector,2021.0,1200
16830,VINEDO LN,OAK ST,JUNIPER ST,964,2.0,29.6,36.6,2021/03/20 07:00:00+00,Local,2021.0,1201
16840,JUNIPER ST,VINEDO LN,LOUIS WY,280,2.0,27.7,34.4,2021/03/20 07:00:00+00,Local,2021.0,1202
16850,JUNIPER ST,LOUIS WY,KRISTA WY,266,2.0,45.8,53.4,2021/03/20 07:00:00+00,Local,2021.0,1203
16860,JUNIPER ST,KRISTA WY,SUNBURST LN,270,2.0,42.5,50.3,2021/03/20 07:00:00+00,Local,2021.0,1204
16870,JUNIPER ST,SUNBURST LN,ELLIOT RD,205,2.0,25.2,31.7,2021/03/20 07:00:00+00,Local,2021.0,1205
16880,BONARDEN LN,VINEDO LN,END,126,2.0,29.3,36.1,2021/03/20 07:00:00+00,Local,2021.0,1206
16890,LOUIS WY,END,TERRACE RD,224,2.0,20.6,26.3,2021/03/20 07:00:00+00,Local,2021.0,1207
16900,LOUIS WY,TERRACE RD,LAKESHORE DR,1068,2.0,23.8,30.1,2021/03/20 07:00:00+00,Local,2021.0,1208
16910,KRISTA LN,TERRACE RD,LAKESHORE DR,827,2.0,20.8,26.4,2021/03/20 07:00:00+00,Local,2021.0,1209
16920,SUNBURST LN,END,TERRACE RD,491,2.0,32.7,40.0,2021/03/20 07:00:00+00,Local,2021.0,1210
16930,SUNBURST LN,TERRACE RD,LAKESHORE DR,735,2.0,31.6,38.7,2021/03/20 07:00:00+00,Local,2021.0,1211
16940,SECRETARIAT DR,LAKESHORE DR,CITATION LN,804,2.0,40.4,48.8,2021/03/20 07:00:00+00,Collector,2021.0,1212
16950,SECRETARIAT DR,CITATION LN,JUNIPER ST,630,2.0,46.9,55.4,2021/03/20 07:00:00+00,Collector,2021.0,1213
16960,SECRETARIAT DR,JUNIPER ST,MCCLINTOCK DR,1443,2.0,45.0,53.5,2021/03/20 07:00:00+00,Collector,2021.0,1214
16970,SECRETARIAT DR,MCCLINTOCK DR,LOS FELIZ DR,1713,2.0,66.2,73.0,2021/03/20 07:00:00+00,Collector,2021.0,1215
16980,SECRETARIAT DR,LOS FELIZ DR,KENWOOD LN,984,2.0,69.0,74.8,2021/03/20 07:00:00+00,Local,2021.0,1216
16990,KENWOOD LN,SECRETARIAT DR,VINEDO LN,265,2.0,53.6,60.9,2021/03/20 07:00:00+00,Local,2021.0,1217
17000,KENWOOD LN,VINEDO LN,KRISTA WY,289,2.0,51.1,58.7,2021/03/20 07:00:00+00,Local,2021.0,1218
17010,KENWOOD LN,KRISTA WY,SUNBURST LN,296,2.0,60.5,67.4,2021/03/20 07:00:00+00,Local,2021.0,1219
17020,SUNBURST LN,HOLBROOK LN,KENWOOD LN,649,2.0,64.0,70.5,2021/03/20 07:00:00+00,Local,2021.0,1220
17030,HOLBROOK LN,KRISTA WY,SUNBURST LN,281,2.0,41.2,48.8,2021/03/20 07:00:00+00,Local,2021.0,1221
17040,JUNIPER ST,SECRETARIAT DR,END,505,2.0,44.4,52.1,2021/03/20 07:00:00+00,Local,2021.0,1222
15860,MILL AV,CARVER RD,CITATION LN,295,2.0,54.8,62.1,2021/03/19 07:00:00+00,Local,2021.0,1223
17050,CITATION LN,SECRETARIAT DR,WILLOW DR,1102,2.0,55.4,63.4,2021/03/20 07:00:00+00,Collector,2021.0,1224
17060,CITATION LN,WILLOW DR,MCCLINTOCK DR,822,2.0,52.0,60.3,2021/03/20 07:00:00+00,Collector,2021.0,1225
17070,CITATION LN,MCCLINTOCK DR,KACHINA DR,299,2.0,47.1,55.6,2021/03/20 07:00:00+00,Collector,2021.0,1226
17080,CITATION LN,KACHINA DR,CITATION LN,286,2.0,65.6,72.5,2021/03/20 07:00:00+00,Collector,2021.0,1227
17090,CITATION LN,CITATION LN,TAYLOR DR,438,2.0,64.5,71.4,2021/03/20 07:00:00+00,Collector,2021.0,1228
17100,CITATION LN,TAYLOR DR,LOS FELIZ DR,971,2.0,68.7,75.3,2021/03/20 07:00:00+00,Collector,2021.0,1229
17110,CITATION LN,LOS FELIZ DR,HAZELTON LN,424,2.0,68.0,73.7,2021/03/20 07:00:00+00,Local,2021.0,1230
17120,CITATION LN,HAZELTON LN,KENWOOD LN,296,2.0,70.0,75.7,2021/03/20 07:00:00+00,Local,2021.0,1231
17130,CITATION LN,KENWOOD LN,END,164,2.0,71.8,77.3,2021/03/20 07:00:00+00,Local,2021.0,1232
17140,KENWOOD LN,CITATION LN,END,288,2.0,55.6,62.5,2021/03/20 07:00:00+00,Local,2021.0,1233
17150,HAZELTON LN,CITATION LN,END,285,2.0,45.1,52.7,2021/03/20 07:00:00+00,Local,2021.0,1234
17160,CITATION LN,END,CITATION LN,244,2.0,25.5,31.9,2021/03/20 07:00:00+00,Local,2021.0,1235
17170,WILLOW DR,END,CITATION LN,345,2.0,62.5,68.8,2021/03/20 07:00:00+00,Local,2021.0,1236
17180,KNIGHT LN,LAKESHORE DR,END,616,2.0,58.7,65.6,2021/03/20 07:00:00+00,Local,2021.0,1237
17190,OAK ST,VINEDO LN,LOUIS WY,299,2.0,28.3,35.0,2021/03/20 07:00:00+00,Local,2021.0,1238
17200,OAK ST,LOUIS WY,KRISTA WY,271,2.0,25.5,32.0,2021/03/20 07:00:00+00,Local,2021.0,1239
17210,OAK ST,KRISTA WY,SUNBURST LN,264,2.0,29.0,35.9,2021/03/20 07:00:00+00,Local,2021.0,1240
17220,SUNBURST LN,OAK ST,JUNIPER ST,831,2.0,23.0,29.1,2021/03/20 07:00:00+00,Local,2021.0,1241
17230,LOUIS WY,OAK ST,JUNIPER ST,911,2.0,24.2,30.6,2021/03/20 07:00:00+00,Local,2021.0,1242
17240,KRISTA WY,OAK ST,JUNIPER ST,830,2.0,27.1,33.7,2021/03/20 07:00:00+00,Local,2021.0,1243
17250,WILLOW DR,LOUIS WY,ELLIOT RD,972,2.0,38.2,45.8,2021/03/20 07:00:00+00,Local,2021.0,1244
17260,WILLOW DR,ELLIOT RD,END,539,2.0,25.8,32.3,2021/03/20 07:00:00+00,Local,2021.0,1245
17270,LOUIS WY,END,WILLOW DR,200,2.0,22.7,28.9,2021/03/20 07:00:00+00,Local,2021.0,1246
17280,LOUIS WY,WILLOW DR,BUTTE AV,408,2.0,36.5,44.1,2021/03/20 07:00:00+00,Local,2021.0,1247
17290,LOUIS WY,BUTTE AV,ALDER DR,401,2.0,32.0,39.1,2021/03/20 07:00:00+00,Local,2021.0,1248
17300,LOUIS WY,ALDER DR,MCCLINTOCK DR,340,2.0,23.3,29.5,2021/03/20 07:00:00+00,Local,2021.0,1249
17310,LOUIS WY,MCCLINTOCK DR,LOS FELIZ DR,1507,2.0,29.0,35.9,2021/03/20 07:00:00+00,Local,2021.0,1250
17320,KRISTA WY,LOS FELIZ DR,HOLBROOK LN,574,2.0,39.3,47.0,2021/03/20 07:00:00+00,Local,2021.0,1251
14690,STEPHANIE LN,CALLE MONTE VISTA,BOLERO DR,139,2.0,76.6,78.0,2021/06/25 07:00:00+00,Local,2021.0,1252
16330,CALLE MONTE VISTA DR CDS,END,CALLE MONTE VISTA DR,223,2.0,32.7,39.8,2021/03/20 07:00:00+00,Local,2021.0,1253
15870,MILL AV,CITATION LN,SECRETARIAT DR,318,2.0,63.7,70.3,2021/03/19 07:00:00+00,Local,2021.0,1254
16340,CALLE MONTE VISTA DR CDS,CALLE MONTE VISTA DR,END,145,2.0,33.5,40.7,2021/03/20 07:00:00+00,Local,2021.0,1255
15880,MILL AV,SECRETARIAT DR,SECRETARIAT DR,146,2.0,50.7,58.3,2021/03/19 07:00:00+00,Local,2021.0,1256
14700,STEPHANIE LN,BOLERO DR,COLT RD,248,2.0,71.8,72.9,2021/06/25 07:00:00+00,Local,2021.0,1257
15190,ASH AV,CALLE DE CABALOS,PECAN PL,243,2.0,32.0,39.2,2021/03/19 07:00:00+00,Local,2021.0,1258
16350,CALLE MONTE VISTA DR CDS,END,CALLE MONTE VISTA DR,222,2.0,54.1,61.0,2021/03/20 07:00:00+00,Local,2021.0,1259
15890,MILL AV,SECRETARIAT DR,KNIGHT LN,166,2.0,50.1,57.7,2021/03/19 07:00:00+00,Local,2021.0,1260
14710,COLT RD,STEPHANIE LN,DROMEDARY DR,470,2.0,80.3,81.3,2021/06/25 07:00:00+00,Local,2021.0,1261
15200,ASH AV,PECAN PL,BUENA VISTA DR,251,2.0,40.7,48.2,2021/03/19 07:00:00+00,Local,2021.0,1262
16360,NEWBERRY LN,STANLEY PL,CALLE MONTE VISTA DR,1045,2.0,40.7,48.4,2021/03/20 07:00:00+00,Local,2021.0,1263
15900,MILL AV,KNIGHT LN,VERDE LN,327,2.0,57.1,64.2,2021/03/19 07:00:00+00,Local,2021.0,1264
14720,COLT RD,DROMEDARY DR,POPLAR DR,426,2.0,82.5,83.6,2021/06/25 07:00:00+00,Local,2021.0,1265
17330,KRISTA WY,HOLBROOK LN,KENWOOD LN,663,2.0,55.7,63.0,2021/03/20 07:00:00+00,Local,2021.0,1266
15210,BUENA VISTA DR,ASH AV,MILL AV,785,2.0,52.0,59.3,2021/03/19 07:00:00+00,Local,2021.0,1267
16370,NEWBERRY LN,END,STANLEY PL,379,2.0,38.4,46.0,2021/03/20 07:00:00+00,Local,2021.0,1268
3361,RIO SALADO PARKWAY,MCCLINTOCK DR,SCOTTSDALE RD,5443,2.0,33.5,40.7,2021/03/19 07:00:00+00,Local,2021.0,1269
14730,BOLERO DR,STEPHANIE LN,POPLAR DR,838,2.0,79.9,81.0,2021/06/25 07:00:00+00,Local,2021.0,1270
17340,ALDER DR,LOUIS WY,END,394,2.0,36.9,44.4,2021/03/20 07:00:00+00,Local,2021.0,1271
15220,BUENA VISTA DR,MILL AV,CARVER RD,277,2.0,36.1,43.5,2021/03/19 07:00:00+00,Local,2021.0,1272
16380,STANLEY PL,WARNER RD,NEWBERRY LN,1313,2.0,22.3,28.4,2021/03/20 07:00:00+00,Local,2021.0,1273
15910,MILL AV,VERDE LN,VINEDO LN,337,2.0,60.1,66.9,2021/03/19 07:00:00+00,Local,2021.0,1274
14740,DROMEDARY DR,COLT RD,PALOMINO DR,283,2.0,77.1,78.3,2021/06/25 07:00:00+00,Local,2021.0,1275
17350,BUTTE AV,LOUIS WY,END,352,2.0,45.6,53.3,2021/03/20 07:00:00+00,Local,2021.0,1276
15230,PECAN PL,ASH AV,END,370,2.0,43.9,51.6,2021/03/19 07:00:00+00,Local,2021.0,1277
16390,STANLEY PL,NEWBERRY LN,TERRACE RD,517,2.0,35.6,43.0,2021/03/20 07:00:00+00,Local,2021.0,1278
3371,RIO SALADO PARKWAY,INDUSTRIAL DR,MCCLINTOCK DR,903,2.0,32.6,39.8,2021/03/19 07:00:00+00,Local,2021.0,1279
14750,DROMEDARY DR,PALOMINO DR,EL FREDA RD,260,2.0,81.4,82.2,2021/06/25 07:00:00+00,Local,2021.0,1280
17360,CALLE DE CABALLOS,CALLE DE CABALLOS,CALLE DE CABALLOS,2632,2.0,58.3,65.4,2021/03/20 07:00:00+00,Local,2021.0,1281
17370,CALLE DE CABALLOS,CALLE DE CABALLOS,MCCLINTOCK DR,1498,2.0,54.1,61.6,2021/03/20 07:00:00+00,Local,2021.0,1282
17380,CALLE DE CABALLOS,MCCLINTOCK DR,KACHINA DR,349,2.0,28.0,34.6,2021/03/20 07:00:00+00,Local,2021.0,1283
17390,CALLE DE CABALLOS,KACHINA DR,TAYLOR DR,595,2.0,32.6,39.8,2021/03/20 07:00:00+00,Local,2021.0,1284
17400,CALLE DE CABALLOS,TAYLOR DR,CALLE DE CABALLOS DR,444,2.0,31.6,38.8,2021/03/20 07:00:00+00,Local,2021.0,1285
17410,CALLE DE CABALLOS,CALLE DE CABALLOS DR,LOS FELIZ DR,315,2.0,51.5,59.0,2021/03/20 07:00:00+00,Local,2021.0,1286
17420,CALLE DE CABALLOS,LOS FELIZ DR,CALLE DE CABALLOS DR,253,2.0,40.0,48.5,2021/03/20 07:00:00+00,Collector,2021.0,1287
17430,CALLE DE CABALLOS,CALLE DE CABALLOS DR,HAZELTON LN,283,2.0,36.4,44.7,2021/03/20 07:00:00+00,Collector,2021.0,1288
17440,HAZELTON LN,CALLE DE CABALLOS,BUENA VISTA DR,154,2.0,32.9,41.0,2021/03/20 07:00:00+00,Collector,2021.0,1289
17450,HAZELTON LN,BUENA VISTA DR,BUENA VISTA DR,93,2.0,58.8,66.5,2021/03/20 07:00:00+00,Collector,2021.0,1290
17460,HAZELTON LN,BUENA VISTA DR,CARVER RD,265,2.0,51.4,59.3,2021/03/20 07:00:00+00,Collector,2021.0,1291
17470,LOS FELIZ DR,CARVER RD,KENTUCKY LN,286,2.0,41.7,50.1,2021/03/20 07:00:00+00,Collector,2021.0,1292
17480,LOS FELIZ DR,KENTUCKY LN,LOS FELIZ CR,275,2.0,55.7,63.5,2021/03/20 07:00:00+00,Collector,2021.0,1293
17490,LOS FELIZ DR,LOS FELIZ CR,BELMONT DR,332,2.0,56.6,64.2,2021/03/20 07:00:00+00,Collector,2021.0,1294
17500,LOS FELIZ DR,BELMONT DR,BELMONT DR,291,2.0,30.6,38.4,2021/03/20 07:00:00+00,Collector,2021.0,1295
17510,LOS FELIZ DR,BELMONT DR,VELVET DR,286,2.0,51.1,59.4,2021/03/20 07:00:00+00,Collector,2021.0,1296
17520,LOS FELIZ DR,VELVET DR,SECRETARIAT DR,289,2.0,54.4,62.5,2021/03/20 07:00:00+00,Collector,2021.0,1297
17530,LOS FELIZ DR,SECRETARIAT DR,VINEDO LN,288,2.0,65.9,72.8,2021/03/20 07:00:00+00,Collector,2021.0,1298
17540,LOS FELIZ DR,VINEDO LN,KRISTA WY,375,2.0,57.3,65.3,2021/03/20 07:00:00+00,Collector,2021.0,1299
17550,LOS FELIZ DR,KRISTA WY,SUNBURST LN,360,2.0,51.6,60.1,2021/03/20 07:00:00+00,Collector,2021.0,1300
17560,LOS FELIZ DR,SUNBURST LN,ELLIOT RD,189,2.0,26.9,34.4,2021/03/20 07:00:00+00,Collector,2021.0,1301
17570,S LOS FELIZ DR,ELLIOT RD,ANOZIRA PKWY S,703,2.0,67.9,74.1,2021/03/20 07:00:00+00,Local,2021.0,1302
3391,RIO SALADO PARKWAY,SMITH RD,PERRY LN,1356,2.0,57.4,75.5,2018/02/14 07:00:00+00,Collector,2018.0,1303
17580,PALOMINO DR,MCCLINTOCK DR,KACHINA DR,323,2.0,29.1,36.0,2021/03/20 07:00:00+00,Local,2021.0,1304
17590,PALOMINO DR,KACHINA DR,KACHINA DR,335,2.0,35.1,42.4,2021/03/20 07:00:00+00,Local,2021.0,1305
17600,PALOMINO DR,KACHINA DR,TAYLOR DR,270,2.0,30.9,37.9,2021/03/20 07:00:00+00,Local,2021.0,1306
17610,PALOMINO DR,TAYLOR DR,PALOMINO DR,370,2.0,36.1,43.5,2021/03/20 07:00:00+00,Local,2021.0,1307
17620,PALOMINO DR,PALOMINO DR,LOS FELIZ DR,355,2.0,35.2,42.6,2021/03/20 07:00:00+00,Local,2021.0,1308
17630,PALOMINO DR,LOS FELIZ DR,KENWOOD LN,867,2.0,33.2,40.5,2021/03/20 07:00:00+00,Local,2021.0,1309
17640,PALOMINO DR,END,PALOMINO DR,124,2.0,21.7,27.5,2021/03/20 07:00:00+00,Local,2021.0,1310
17650,PALOMINO DR,PALOMINO DR,END,132,2.0,19.5,25.0,2021/03/20 07:00:00+00,Local,2021.0,1311
17660,COLT DR,KACHINA DR,TAYLOR DR,279,2.0,28.5,35.3,2021/03/20 07:00:00+00,Local,2021.0,1312
17670,COLT DR,TAYLOR DR,LOS FELIZ DR,558,2.0,35.0,42.4,2021/03/20 07:00:00+00,Local,2021.0,1313
17680,TAYLOR DR,COLT DR,END,211,2.0,22.7,28.8,2021/03/20 07:00:00+00,Local,2021.0,1314
17690,KACHINA DR,PALOMINO DR,COLT DR,440,2.0,34.9,42.3,2021/03/20 07:00:00+00,Local,2021.0,1315
17700,KACHINA DR,PALOMINO DR,EL FREDA RD,261,2.0,25.7,32.2,2021/03/20 07:00:00+00,Local,2021.0,1316
17710,KACHINA DR,EL FREDA RD,CALLE DE CABALLOS,350,2.0,33.1,40.3,2021/03/20 07:00:00+00,Local,2021.0,1317
17720,KACHINA DR,CALLE DE CABALLOS,BUENA VISTA DR,348,2.0,34.6,42.0,2021/03/20 07:00:00+00,Local,2021.0,1318
17730,KACHINA DR,BUENA VISTA DR,CARVER RD,339,2.0,29.9,37.0,2021/03/20 07:00:00+00,Local,2021.0,1319
17740,KACHINA DR,CARVER RD,CITATION LN,464,2.0,30.4,37.4,2021/03/20 07:00:00+00,Local,2021.0,1320
17750,BUENA VISTA DR,KACHINA DR,END,253,2.0,21.8,27.8,2021/03/20 07:00:00+00,Local,2021.0,1321
17760,EL FREDA RD,KACHINA DR,END,308,2.0,28.0,34.7,2021/03/20 07:00:00+00,Local,2021.0,1322
17770,LOS ARBOLES DR,LOS FELIZ DR,END,418,2.0,26.7,33.3,2021/03/20 07:00:00+00,Local,2021.0,1323
17780,CALLE MONTE VISTA DR,LOS FELIZ DR,HOLBROOK LN,299,2.0,22.8,29.0,2021/03/20 07:00:00+00,Local,2021.0,1324
17790,CALLE MONTE VISTA DR,HOLBROOK LN,KENWOOD LN,436,2.0,33.0,40.2,2021/03/20 07:00:00+00,Local,2021.0,1325
17800,LOS ARBOLES DR,KENWOOD LN,END,427,2.0,37.1,44.6,2021/03/20 07:00:00+00,Local,2021.0,1326
17810,HOLBROOK LN,CALLE MONTE VISTA DR,MORGAN DR,381,2.0,29.1,36.0,2021/03/20 07:00:00+00,Local,2021.0,1327
15240,MAPLE AV CDS,MAPLE AV,END,166,2.0,22.8,28.9,2021/03/19 07:00:00+00,Local,2021.0,1328
15920,MILL AV,VINEDO LN,LOUIS WY,307,2.0,61.5,68.3,2021/03/19 07:00:00+00,Local,2021.0,1329
15250,LOS ARBOLES DR,END,MILL AV,246,2.0,29.7,36.6,2021/03/18 07:00:00+00,Local,2021.0,1330
3381,RIO SALADO PARKWAY,PERRY LN,INDUSTRIAL DR,449,2.0,29.9,36.9,2021/03/19 07:00:00+00,Local,2021.0,1331
15930,MILL AV,LOUIS WY,KRISTA LN,323,2.0,59.6,66.6,2021/03/19 07:00:00+00,Local,2021.0,1332
15940,MILL AV,KRISTA LN,ELLIOT RD,400,2.0,59.0,66.0,2021/03/19 07:00:00+00,Local,2021.0,1333
15950,CITATION LN,ASH AV,MILL AV,716,2.0,36.4,43.9,2021/03/19 07:00:00+00,Local,2021.0,1334
15960,ASH AV,CITATION LN,SECRETARIAT DR,285,2.0,32.4,39.6,2021/03/19 07:00:00+00,Local,2021.0,1335
15970,SECRETARIAT DR,ASH AV,MILL AV,683,2.0,29.1,35.9,2021/03/19 07:00:00+00,Local,2021.0,1336
15980,KNIGHT LN,ASH AV,MILL AV,576,2.0,35.9,43.4,2021/03/19 07:00:00+00,Local,2021.0,1337
15990,ASH AV,KNIGHT LN,VERDE LN,311,2.0,31.9,39.1,2021/03/19 07:00:00+00,Local,2021.0,1338
16000,VERDE LN,ASH AV,MILL AV,554,2.0,25.5,32.0,2021/03/19 07:00:00+00,Local,2021.0,1339
16010,VINEDO LN,MAPLE AV,MILL AV,422,2.0,24.7,31.2,2021/03/19 07:00:00+00,Local,2021.0,1340
16020,MAPLE AV,VINEDO LN,LOUIS WY,293,2.0,30.5,37.5,2021/03/19 07:00:00+00,Local,2021.0,1341
16030,LOUIS WY,MAPLE AV,MILL AV,392,2.0,33.9,41.3,2021/03/19 07:00:00+00,Local,2021.0,1342
16040,KRISTA LN,END,MILL AV,434,2.0,28.6,35.5,2021/03/19 07:00:00+00,Local,2021.0,1343
16050,SECRETARIAT DR,MILL AV,GRANDVIEW AV,423,2.0,72.4,73.6,2021/08/06 07:00:00+00,Local,2021.0,1344
16060,SECRETARIAT DR,GRANDVIEW AV,SECRETARIAT DR,341,2.0,74.0,75.0,2021/08/06 07:00:00+00,Local,2021.0,1345
16070,SECRETARIAT DR,SECRETARIAT DR,COLLEGE AV,370,2.0,79.4,80.4,2021/08/06 07:00:00+00,Local,2021.0,1346
16080,COLLEGE AV,CARVER RD,CITATION LN,554,2.0,70.6,71.7,2021/08/06 07:00:00+00,Local,2021.0,1347
16090,COLLEGE AV,CITATION LN,SECRETARIAT DR,278,2.0,80.9,82.1,2021/08/06 07:00:00+00,Local,2021.0,1348
16100,COLLEGE AV,SECRETARIAT DR,END,232,2.0,77.7,78.8,2021/08/06 07:00:00+00,Local,2021.0,1349
16110,SECRETARIAT DR,SECRETARIAT DR,END,215,2.0,79.9,81.3,2021/08/06 07:00:00+00,Local,2021.0,1350
16120,GRANDVIEW AV,END,SECRETARIAT DR,220,2.0,61.6,62.6,2021/08/06 07:00:00+00,Local,2021.0,1351
16130,GRANDVIEW AV,SECRETARIAT DR,CITATION LN,339,2.0,80.3,81.6,2021/08/06 07:00:00+00,Local,2021.0,1352
16140,CITATION LN,GRANDVIEW AV,COLLEGE AV,808,2.0,85.4,86.4,2021/08/06 07:00:00+00,Local,2021.0,1353
16150,SECRETARIAT DR,COLLEGE AV,MCALLISTER DR,344,2.0,67.8,69.0,2021/08/06 07:00:00+00,Local,2021.0,1354
16160,SECRETARIAT DR,MCALLISTER DR,LA ROSA DR,590,2.0,83.4,84.6,2021/08/06 07:00:00+00,Local,2021.0,1355
16170,SECRETARIAT DR,LA ROSA DR,PALM DR,356,2.0,82.8,84.1,2021/08/06 07:00:00+00,Local,2021.0,1356
16180,SECRETARIAT DR,PALM DR,RURAL RD,213,2.0,83.0,84.2,2021/08/06 07:00:00+00,Local,2021.0,1357
16190,MCALLISTER DR,END,SECRETARIAT DR,237,2.0,71.7,72.9,2021/08/06 07:00:00+00,Local,2021.0,1358
16200,MCALLISTER DR,SECRETARIAT DR,CITATION LN,286,2.0,79.7,81.0,2021/08/06 07:00:00+00,Local,2021.0,1359
16210,CITATION LN,MCALLISTER DR,LA ROSA DR,454,2.0,84.7,85.8,2021/08/06 07:00:00+00,Local,2021.0,1360
16220,CITATION LN,LA ROSA DR,PALM DR,355,2.0,85.9,87.0,2021/08/06 07:00:00+00,Local,2021.0,1361
16230,PALM DR,CITATION LN,SECRETARIAT DR,449,2.0,87.4,88.5,2021/08/06 07:00:00+00,Local,2021.0,1362
16240,LA ROSA DR,CITATION LN,SECRETARIAT DR,473,2.0,84.6,85.7,2021/08/06 07:00:00+00,Local,2021.0,1363
16250,EL FREDA DR,RURAL RD,CALLE MONTE VISTA DR,378,2.0,55.8,62.5,2021/03/20 07:00:00+00,Local,2021.0,1364
