OBJECTID,DEF_FEATURE,COORD_SRC,ACCURACY_FT,SHAPE_Length
1,ROAD_OFFSET,SOURCEL,,0.0306553596900493
2,ROAD_OFFSET,SOURCEL,,0.0017477309485829
3,ROAD_OFFSET,SOURCEL,,5.06966257627876e-05
4,ROAD_OFFSET,SOURCEL,,0.0046699832380948
5,ROAD_OFFSET,SOURCEL,,0.0250993330795873
6,ROAD_OFFSET,SOURCEL,,0.0338548197336679
7,ROAD_OFFSET,SOURCEL,,0.0054246092351414
8,ROAD_OFFSET,SOURCEL,,1.64809279016532e-05
9,ROAD_OFFSET,IMG,40.0,0.0032525662154124
10,ROAD_OFFSET,SOURCEL,40.0,0.0040260355777457
11,ROAD_OFFSET,SOURCEL,40.0,0.0005575934821804
12,SUBDIVISION,CADNSDI,0.0,0.0098747378362641
13,POWERLINE,SOURCEL,0.0,0.0013844411763211
14,POWERLINE,SOURCEL,0.0,0.0380847057745355
15,POWERLINE,SOURCEL,0.0,0.0030259301388625
16,POWERLINE,SOURCEL,0.0,0.00277628942062
17,ROAD_OFFSET,SOURCEL,40.0,0.017072743209765
18,RIDGE,MAP,100.0,0.0031853763478194
19,ROAD_OFFSET,SOURCEL,40.0,0.0028555710569615
20,POWERLINE,SOURCEL,0.0,0.0233747822814089
21,ROAD_OFFSET,SOURCEL,0.0,0.0157080663353134
22,PARKING_AREA,DOQ,20.0,0.0035815909301759
23,FENCE,GPS,3.0,0.0041576286206831
24,POWERLINE,SOURCEL,0.0,0.0002338242409177
25,POWERLINE,SOURCEL,0.0,0.0028940683787558
26,POWERLINE,SOURCEL,0.0,0.0051965590133576
27,ROAD_OFFSET,SOURCEL,40.0,0.0007736329103967
28,ROAD_OFFSET,SOURCEL,40.0,0.0005132096973745
29,ROAD_OFFSET,SOURCEL,40.0,0.0033459298137524
30,UNKNOWN,UNK,,0.125439208395854
31,ROAD_OFFSET,SOURCEL,40.0,0.0259540076915873
32,POWERLINE,SOURCEL,0.0,0.0007051699035273
33,ROAD_OFFSET,SOURCEL,40.0,0.0014931213747964
34,ROAD_OFFSET,SOURCEL,40.0,0.0052236096803515
35,POWERLINE,SOURCEL,0.0,0.0057542225170128
36,ROAD_OFFSET,SOURCEL,0.0,0.0042821788581125
37,ROAD_OFFSET,SOURCEL,,0.0246860714528654
38,ROAD_OFFSET,SOURCEL,,0.0176411374247146
39,ROAD_OFFSET,SOURCEL,,0.0001982100319891
40,ROAD_OFFSET,SOURCEL,,0.0038148445756809
41,ROAD_OFFSET,SOURCEL,,0.0235641340648709
