Agency: Online Service,Online Service Launch Date,Average Paper/Envelopes Saved per Transaction,Number of Transactions,Total Amount of Paper Saved
Agency: Online Service,Online Service Launch Date,,,
Agency: Online Service,Online Service Launch Date,,,
Oklahoma Accountancy Board: Professional Licensing,4/17/2002,3.0,29852.0,89556.0
Oklahoma Alcoholic Beverage Laws Enforcement Commission: Professional Licensing,10/14/2003,1.0,87256.0,87256.0
Oklahoma Board of Medical Licensure and Supervision: Professional Licensing,12/2/2005,12.0,63580.0,762960.0
Oklahoma Board of Nursing: Professional Licensing,1/14/2002,1.0,124571.0,124571.0
Oklahoma Board of Psychologists Examiners: Professional Licensing,9/6/2003,19.0,1136.0,21584.0
Oklahoma Bureau of Narcotics and Dangerous Drug Control: Professional Licensing,4/30/2004,2.0,15614.0,31228.0
Oklahoma Department of Human Services: Child Support Services,5/30/2001,3.0,44496.0,133488.0
Oklahoma Department of Human Services: Commodity Distribution DF-8 Application,1/5/2002,,,4856.0
Oklahoma Department of Labor: Injury and Illness Survey,1/10/2003,3.0,3988.0,11964.0
Oklahoma Department of Wildlife: Hunting and Fishing License Sales,12/31/1998,8.0,2543512.0,20348096.0
Oklahoma Ethics Commission: Campaign Reporting System,1/2/2002,3.0,15303.0,61212.0
Oklahoma Ethics Commission: Lobbyist Reporting System,12/19/2003,4.0,373.0,1492.0
Oklahoma Office of Personnel Management: Online State Job Center  ,1/22/2004,4.0,143688.0,574752.0
Oklahoma Public Employees Retirement System: Online Enrollment,10/8/2003,2.0,6752.0,13504.0
Oklahoma Real Estate Commission: Professional Licensing,6/27/2003,1.0,4299.0,4299.0
Oklahoma Registration Board for Licensed Social Workers: Professional Licensing,5/7/2002,2.0,4821.0,9642.0
Oklahoma State Board of Chiropractic Examiners: Professional Licensing,8/28/2003,1.0,1483.0,1483.0
Oklahoma State Board of Examiners for Long Term Care Administrators: Complaint Form Filing,5/10/2002,6.0,102.0,612.0
Oklahoma State Board of Examiners for Long Term Care Administrators: Professional Licensing,10/14/2002,2.0,2888.0,5776.0
Oklahoma State Board of Licensed Alcohol and Drug Counselors: Professional Licensing,4/24/2003,5.0,2287.0,11435.0
Oklahoma State Board of Licensure for Professional Engineers & Land Surveyor: Professional Licensing,7/12/2000,3.0,22136.0,66408.0
Oklahoma State Board of Medical Licensure and Supervision Paperless Meetings,1/2012,777.0,45.0,34965.0
Oklahoma State Board of Osteopathic Examiners: Professional Licensing,4/20/2005,4.0,4733.0,18932.0
Oklahoma State Board of Pharmacy: Professional Licensing,1/31/2006,2.0,8680.0,17360.0
Oklahoma State Board of Speech-Language Pathology and Audiology: Professional Licensing,12/31/1999,2.0,5268.0,10536.0
Oklahoma State Board of Veterinary Medical Examiners: Professional Licensing,4/30/2004,2.0,1046.0,2092.0
Oklahoma State Election Board: Election Results and Statistics,1996,14.0,1154.0,16156.0
Oklahoma Tax Commission: eFile Option,1994,9.0,2735944.0,23384061.0
Oklahoma Turnpike Authority: Online Pikepass Statements and Notices,9/25/2004,1.05,315985.0,331784.0
Oklahoma Water Resources Board: Well Drillers' Online Reporting System,6/29/2001,1.0,8724.0,8724.0
Oklahoma Water Resources Board: Well Drillers' Professional Licensing,7/29/2004,5.0,18.0,90.0
