Permit_Number,Effective_Date,Expiration_Date,Permit_Type,Applicant,Street_Address,City,State,ZIP_Code,Permit_Subtype,Permit_Description,Permit_Type_Code,Subtype_Code,ID,OBJECTID
24401,2004/05/31 00:00:00,2008/05/31 00:00:00,APCD Gasoline Dispense Permit,Rohm And Haas Chemicals LLC,4300 CAMP GROUND RD,LOUISVILLE,KY,40216,Gas Dispen Facility Stage I,ROHM & HAAS CO LOUISVILLE,GAS,STG1,906,0
24402,2019/05/01 00:00:00,2024/05/01 00:00:00,APCD Gasoline Dispense Permit,AXIS INVESTMENTS,3002 RIVER RD,LOUISVILLE,KY,40207,Gas Dispen Facility Stage I,RIVER RD SHELL,GAS,STG1,907,1
24403,2011/07/01 00:00:00,2016/07/01 00:00:00,APCD Gasoline Dispense Permit,AXTON CANDY & TOBACCO,1001 LOGAN ST,LOUISVILLE,KY,40204,Gas Dispen Facility Stage I,AXTON CANDY & TOBACCO,GAS,STG1,908,2
24405,2008/08/31 00:00:00,2013/10/01 00:00:00,APCD Gasoline Dispense Permit,ROLLER DIE & FORMING,1172 INDUSTRIAL BLVD,LOUISVILLE,KY,40219,Gas Dispen Facility Stage I,ROLLER DIE/FORMING CO,GAS,STG1,909,3
24406,2014/06/01 10:38:00,2019/08/01 00:00:00,APCD Gasoline Dispense Permit,A&M OIL CO,4630 JENNINGS LN,LOUISVILLE,KY,40218,Gas Dispen Facility Stage I,EASY FUEL,GAS,STG1,910,4
24407,2008/07/31 00:00:00,2013/07/31 00:00:00,APCD Gasoline Dispense Permit,ROUCK PLUMBING CO.,930 W MAIN ST,LOUISVILLE,KY,40202,Gas Dispen Facility Stage I,ROUCK PLUMBING,GAS,STG1,911,5
24408,2018/06/01 00:00:00,2023/06/01 00:00:00,APCD Gasoline Dispense Permit,KEYSTOPS LLC,1420 W BROADWAY,LOUISVILLE,KY,40203,Gas Dispen Facility Stage I,EXPRESSWAY FOOD MART,GAS,STG1,912,6
24410,2017/07/01 10:35:00,2022/07/01 00:00:00,APCD Gasoline Dispense Permit,SAM'S EAST INC,1401 ALLIANT AVE,JEFFERSONTOWN,KY,40299,Gas Dispen Facility Stage I,SAM'S CLUB #8111,GAS,STG1,913,7
24412,2019/05/01 11:18:00,2024/05/01 00:00:00,APCD Gasoline Dispense Permit,"BADER'S FOOD MART, INC",300 S 1ST ST,LOUISVILLE,KY,40202,Gas Dispen Facility Stage I,BADER'S FOOD MART #1,GAS,STG1,914,8
24413,2017/07/01 10:45:00,2022/07/01 00:00:00,APCD Gasoline Dispense Permit,SAM'S CLUB (#8276),6622 PRESTON HWY,LOUISVILLE,KY,40219,Gas Dispen Facility Stage I,SAM'S CLUB FUEL PRESTON HWY,GAS,STG1,915,9
24414,2016/03/31 00:00:00,2021/03/31 00:00:00,APCD Gasoline Dispense Permit,LOUISVILLE FIRE DEPARTMENT,1025 RUBEL AVE,LOUISVILLE,KY,40204,Gas Dispen Facility Stage I,LFD ENGINE 11,GAS,STG1,916,10
24415,2011/05/01 00:00:00,2016/05/01 00:00:00,APCD Gasoline Dispense Permit,"BADER'S FOOD MART, INC",1244 E BROADWAY,LOUISVILLE,KY,40204,Gas Dispen Facility Stage II,BADER'S FOOD MART #2,GAS,STG2,917,11
24416,2016/03/31 00:00:00,2021/03/31 00:00:00,APCD Gasoline Dispense Permit,LOUISVILLE FIRE DEPARTMENT,4535 MANSLICK RD,LOUISVILLE,KY,40216,Gas Dispen Facility Stage I,LFD ENGINE 12,GAS,STG1,918,12
24417,2019/05/01 00:00:00,2024/05/01 00:00:00,APCD Gasoline Dispense Permit,VASUDEC LLC,4060 CANE RUN RD,LOUISVILLE,KY,40216,Gas Dispen Facility Stage I,SAM'S KWIKMART,GAS,STG1,919,13
24419,2016/03/31 00:00:00,2021/03/31 00:00:00,APCD Gasoline Dispense Permit,LOUISVILLE FIRE DEPARTMENT,3511 FINCASTLE RD,LOUISVILLE,KY,40213,Gas Dispen Facility Stage I,LFD ENGINE 14,GAS,STG1,920,14
24421,2016/03/31 00:00:00,2021/03/31 00:00:00,APCD Gasoline Dispense Permit,LOUISVILLE FIRE DEPARTMENT,1500 S 6TH ST,LOUISVILLE,KY,40208,Gas Dispen Facility Stage I,LFD ENGINE 16,GAS,STG1,921,15
24423,2019/01/01 00:00:00,2024/01/01 00:00:00,APCD Gasoline Dispense Permit,"KEYSTOPS INC, DBA KEY OIL CO",11701 WESTPORT RD,LOUISVILLE,KY,40245,Gas Dispen Facility Stage I,Ink Enterpsises,GAS,STG1,922,16
24424,2011/08/31 00:00:00,2016/08/31 00:00:00,APCD Gasoline Dispense Permit,BALE EQUIPMENT RENTALS,1234 OLD FERN VALLEY RD,LOUISVILLE,KY,40219,Gas Dispen Facility Stage I,BALE EQUIPMENT LEASING,GAS,STG1,923,17
24426,2019/05/01 00:00:00,2024/05/01 00:00:00,APCD Gasoline Dispense Permit,"KEYSTOPS INC, DBA KEY OIL CO",1401 LEXINGTON RD,LOUISVILLE,KY,40206,Gas Dispen Facility Stage I,DON GAR 534,GAS,STG1,924,18
24427,2015/03/31 00:00:00,2017/03/31 00:00:00,APCD Gasoline Dispense Permit,ASHUDEV INC.,9200 BLUE LICK RD,LOUISVILLE,KY,40229,Gas Dispen Facility Stage II,BEST STOP FOOD MART,GAS,STG2,925,19
24428,2016/03/31 00:00:00,2021/03/31 00:00:00,APCD Gasoline Dispense Permit,LOUISVILLE FIRE DEPARTMENT,1135 W JEFFERSON ST,LOUISVILLE,KY,40203,Gas Dispen Facility Stage I,LFD ENGINE 2,GAS,STG1,926,20
24429,2019/01/01 00:00:00,2024/01/01 00:00:00,APCD Gasoline Dispense Permit,"KEYSTOPS INC, DBA KEY OIL CO",3110 ROCKFORD LN,LOUISVILLE,KY,40216,Gas Dispen Facility Stage I,GRAB-N-GO,GAS,STG1,927,21
24430,2016/03/31 00:00:00,2021/03/31 00:00:00,APCD Gasoline Dispense Permit,LOUISVILLE FIRE DEPARTMENT,3228 RIVER PARK DR,LOUISVILLE,KY,40211,Gas Dispen Facility Stage I,LFD ENGINE 22,GAS,STG1,928,22
24431,2019/05/01 00:00:00,2021/05/01 00:00:00,APCD Gasoline Dispense Permit,BETTER WAY FOOD MART,4001 CANE RUN RD,SHIVELY,KY,40216,Gas Dispen Facility Stage I,BETTER WAY FOOD MART #4,GAS,STG1,929,23
24432,2016/03/31 00:00:00,2021/03/31 00:00:00,APCD Gasoline Dispense Permit,LOUISVILLE FIRE DEPARTMENT,3401 DUTCHMANS LN,LOUISVILLE,KY,40205,Gas Dispen Facility Stage I,LFD ENGINE 3,GAS,STG1,930,24
24433,2019/04/01 00:00:00,2024/04/01 00:00:00,APCD Gasoline Dispense Permit,EVERGREEN CEMETERY,4623 PRESTON HWY,LOUISVILLE,KY,40213,Gas Dispen Facility Stage I,EVERGREEN CEMETERY,GAS,STG1,931,25
24434,2012/01/31 00:00:00,2017/01/31 00:00:00,APCD Gasoline Dispense Permit,MAC'S CONVENIENCE STORES LLC,5929 NEW CUT RD,LOUISVILLE,KY,40214,Gas Dispen Facility Stage II,CIRCLE K #3315,GAS,STG2,932,26
24434,2012/01/31 00:00:00,2017/01/31 00:00:00,APCD Gasoline Dispense Permit,"MAC'S CONVENIENCE STORES, LLC",5929 NEW CUT RD,LOUISVILLE,KY,40214,Gas Dispen Facility Stage II,CIRCLE K #3315,GAS,STG2,933,27
24435,2018/12/15 00:00:00,2023/12/15 00:00:00,APCD Gasoline Dispense Permit,"BULLOCK OIL CO, INC",4220 BARDSTOWN RD,LOUISVILLE,KY,40218,Gas Dispen Facility Stage I,BILL COLLINS FORD,GAS,STG1,934,28
24435,2018/12/15 00:00:00,2023/12/15 00:00:00,APCD Gasoline Dispense Permit,BILL COLLINS FORD,4220 BARDSTOWN RD,LOUISVILLE,KY,40218,Gas Dispen Facility Stage I,BILL COLLINS FORD,GAS,STG1,935,29
24436,2019/01/01 00:00:00,2024/01/01 00:00:00,APCD Gasoline Dispense Permit,"KEYSTOPS INC, DBA KEY OIL CO",9260 SMYRNA PKY,LOUISVILLE,KY,40229,Gas Dispen Facility Stage I,SAV-A-STEP #0050,GAS,STG1,936,30
24437,2019/05/01 00:00:00,2024/05/01 00:00:00,APCD Gasoline Dispense Permit,F & Y FOOD MART,3801 W MARKET ST,LOUISVILLE,KY,40212,Gas Dispen Facility Stage I,F&Y FOOD MART (BP),GAS,STG1,937,31
24438,2016/11/30 00:00:00,2021/11/30 00:00:00,APCD Gasoline Dispense Permit,JCPS,13075 MIDDLETOWN INDUSTRIAL BLVD,MIDDLETOWN,KY,40223,Gas Dispen Facility Stage I,JCPS BLANKENBAKER GARAGE,GAS,STG1,938,32
24439,2016/01/02 00:00:00,2018/01/02 00:00:00,APCD Gasoline Dispense Permit,"KEYSTOPS, LLC",9410 TAYLORSVILLE RD,JEFFERSONTOWN,KY,40299,Gas Dispen Facility Stage II,AAA FOOD MART MARATHON,GAS,STG2,939,33
24524,2017/07/01 15:47:00,2022/07/01 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,12102 SHELBYVILLE RD,MIDDLETOWN,KY,40243,Gas Dispen Facility Stage I,SPEEDWAY #9643,GAS,STG1,940,34
24526,2018/12/01 00:00:00,2023/12/01 00:00:00,APCD Gasoline Dispense Permit,JASUI R SINGH,3039 TAYLOR BLVD,LOUISVILLE,KY,40208,Gas Dispen Facility Stage I,TAYLOR BP,GAS,STG1,941,35
24527,2019/01/01 00:00:00,2024/01/01 00:00:00,APCD Gasoline Dispense Permit,DBA SPEEDYMART #25 ALISHA MALHOTRA/LLC,1054 BARRET AVE,LOUISVILLE,KY,40204,Gas Dispen Facility Stage I,SPEEDYMART #25.,GAS,STG1,942,36
24528,2019/03/01 00:00:00,2024/03/01 00:00:00,APCD Gasoline Dispense Permit,HORTON FRUIT,4701 JENNINGS LN,WATTERSON PARK,KY,40218,Gas Dispen Facility Stage I,HORTON FRUIT CO INC,GAS,STG1,943,37
24529,2017/07/01 00:00:00,2022/07/01 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,7400 3RD STREET RD,LOUISVILLE,KY,40214,Gas Dispen Facility Stage I,SPEEDWAY #9645,GAS,STG1,944,38
24530,2015/06/30 00:00:00,2017/06/30 00:00:00,APCD Gasoline Dispense Permit,BURBANK CHEVRON,1001 BRECKENRIDGE LN,ST MATTHEWS,KY,40207,Gas Dispen Facility Stage II,K & V OIL CO,GAS,STG2,945,39
24530,2015/06/30 00:00:00,2017/06/30 00:00:00,APCD Gasoline Dispense Permit,K & V OIL INC,1001 BRECKENRIDGE LN,ST MATTHEWS,KY,40207,Gas Dispen Facility Stage II,K & V OIL CO,GAS,STG2,946,40
24531,2006/11/01 00:00:00,2015/11/01 00:00:00,APCD Gasoline Dispense Permit,HUNT TRACTOR INC.,1000 E MARKET ST,LOUISVILLE,KY,40206,Gas Dispen Facility Stage I,HUNT TRACTOR INC MARKET ST,GAS,STG1,947,41
24532,2017/07/01 00:00:00,2022/07/01 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,3915 DIXIE HWY,SHIVELY,KY,40216,Gas Dispen Facility Stage I,SPEEDWAY #9646,GAS,STG1,948,42
24533,2014/05/30 00:00:00,2019/05/30 00:00:00,APCD Gasoline Dispense Permit,HURSTBOURNE COUNTRY CLUB,9000 HURSTBOURNE CLUB LN,HURSTBOURNE,KY,40222,Gas Dispen Facility Stage I,HURSTBOURNE COUNTRY CLUB,GAS,STG1,949,43
24534,2017/10/01 00:00:00,2022/10/01 00:00:00,APCD Gasoline Dispense Permit,JEFFERSON COUNTY PUBLIC SCHOOL,3001 CRITTENDEN DR,LOUISVILLE,KY,40209,Gas Dispen Facility Stage I,JCPS C B YOUNG SERVICE CENTER,GAS,STG1,950,44
24535,2018/12/01 00:00:00,2023/12/01 00:00:00,APCD Gasoline Dispense Permit,STOP N GO FOOD MART #1,5401 INDIAN OAKS CIR,LOUISVILLE,KY,40213,Gas Dispen Facility Stage I,STOP N GO FOOD MART #1,GAS,STG1,951,45
24536,2014/04/02 00:00:00,2019/04/02 00:00:00,APCD Gasoline Dispense Permit,METRO PARKS,10207 MARY DELL LN,LOUISVILLE,KY,40299,Gas Dispen Facility Stage I,METRO PARKS-C VETTINER PARK,GAS,STG1,952,46
24537,2017/07/01 00:00:00,2022/07/01 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,2112 DUNCAN ST,LOUISVILLE,KY,40212,Gas Dispen Facility Stage I,SPEEDWAY #9648,GAS,STG1,953,47
24538,2017/02/28 00:00:00,2022/02/28 00:00:00,APCD Gasoline Dispense Permit,"INNER PLANT SYSTEMS, INC.",3500 BELLS LN,LOUISVILLE,KY,40211,Gas Dispen Facility Stage I,INNER PLANT SYSTEMS,GAS,STG1,954,48
24539,2018/12/01 00:00:00,2023/12/01 00:00:00,APCD Gasoline Dispense Permit,CATHOLIC CEMETERIES,1600 NEWBURG RD,LOUISVILLE,KY,40205,Gas Dispen Facility Stage I,CALVARY CEMETERY,GAS,STG1,955,49
24540,2014/03/30 00:00:00,2019/03/30 00:00:00,APCD Gasoline Dispense Permit,METRO PARKS,1501 RUNDILL RD,LOUISVILLE,KY,40214,Gas Dispen Facility Stage I,METRO PARKS-IROQUOIS PARK GOLF,GAS,STG1,956,50
24541,2019/04/01 00:00:00,2024/04/01 00:00:00,APCD Gasoline Dispense Permit,GANSHYAM FOOD MART,1506 S SHELBY ST,LOUISVILLE,KY,40217,Gas Dispen Facility Stage I,CAPS FOOD MART & Deli,GAS,STG1,957,51
24541,2019/04/01 00:00:00,2024/04/01 00:00:00,APCD Gasoline Dispense Permit,Ganshyam Food Inc,1506 S SHELBY ST,LOUISVILLE,KY,40217,Gas Dispen Facility Stage I,CAPS FOOD MART & Deli,GAS,STG1,958,52
24542,2018/12/01 00:00:00,2023/12/01 00:00:00,APCD Gasoline Dispense Permit,Narendra Patel,8003 SHEPHERDSVILLE RD,LOUISVILLE,KY,40219,Gas Dispen Facility Stage I,NEIGHBORHOOD MART,GAS,STG1,959,53
