NDC1,NDC2,NDC3,Labeler Name,Labeler Status,FDA Name,COD Status,FDA Application Number/OTC Monograph Number,Drug Category,Drug Type,Line Extension,FDA Approval Date,Market Date,Unit Type,Units Per Package Size,Therapeutic Equivalent Code,5i Indicator,Purchased Product Date,Coverage Effective Date,Drug Termination Date,Drug Reactivation Date,Date Reported to CMS
143,9152,1,HIKMA PHARMACEUTICALS USA INC.,Active,Vancomycin HCl Intravenous Solution Reconstituted (IP),1,217489,N,1,N,6/26/2023,8/16/2023,EA,1.0,AP,Y,,8/16/2023,,,10/31/2023
143,9152,10,HIKMA PHARMACEUTICALS USA INC.,Active,Vancomycin HCl Intravenous Solution Reconstituted 1.25g,1,217489,N,1,N,6/26/2023,8/16/2023,EA,10.0,AP,Y,,8/16/2023,,,10/31/2023
143,9153,1,HIKMA PHARMACEUTICALS USA INC.,Active,Vancomycin Hydrochloride for Injection 1.5g (IP),1,217489,N,1,N,6/29/2023,8/16/2023,EA,1.0,AP,Y,,8/16/2023,,,10/31/2023
143,9153,10,HIKMA PHARMACEUTICALS USA INC.,Active,Vancomycin HCl Intravenous Solution Reconstituted 1.5g,1,217489,N,1,N,6/29/2023,8/16/2023,EA,10.0,AP,Y,,8/16/2023,,,10/31/2023
23155,620,31,"HERITAGE PHARMACEUTICALS, INC.",Active,Phenylephrine HCL 10mg/1ml (inner vial),1,209968,N,1,N,2/28/2023,9/1/2023,ML,1.0,AP,Y,,9/1/2023,,,10/30/2023
23155,620,41,"HERITAGE PHARMACEUTICALS, INC.",Active,"Phenylephrine HCL 10mg/1ml, 25ct",1,209968,N,1,N,2/28/2023,9/1/2023,ML,25.0,AP,Y,,9/1/2023,,,10/30/2023
23155,857,5,"HERITAGE PHARMACEUTICALS, INC.",Active,"Anastrozole tabs 1mg, 500ct",1,206037,N,1,N,11/9/2018,8/22/2023,TAB,1.0,AB,N,,8/22/2023,,,10/30/2023
23155,857,9,"HERITAGE PHARMACEUTICALS, INC.",Active,"Anastrozole tabs 1mg, 90ct",1,206037,N,1,N,11/9/2018,8/22/2023,TAB,1.0,AB,N,,8/22/2023,,,10/30/2023
23155,874,1,"HERITAGE PHARMACEUTICALS, INC.",Active,"Torsemide Tabs 100mg, 100ct",1,76894,N,1,N,5/31/2005,9/27/2023,TAB,1.0,AB,N,,9/27/2023,,,10/30/2023
25021,150,10,"SAGENT PHARMACEUTICALS, INC.",Active,VANCOMYCIN HCI INJECTION 500MG 1X10,1,205694,N,1,N,1/21/2016,9/15/2017,EA,10.0,AP,Y,9/22/2023,9/22/2023,,,10/30/2023
25021,151,20,"SAGENT PHARMACEUTICALS, INC.",Active,VANCOMYCIN HCI INJECTION 1GM 1X10,1,205694,N,1,N,1/21/2016,9/15/2017,EA,10.0,AP,Y,9/19/2023,9/19/2023,,,10/30/2023
25021,193,2,"SAGENT PHARMACEUTICALS, INC.",Active,LINCOMYCIN INJECTION 300MG/ML 10X2ML,1,215657,N,1,N,9/26/2022,9/26/2023,ML,20.0,AP,Y,,9/26/2023,,,10/30/2023
25021,193,10,"SAGENT PHARMACEUTICALS, INC.",Active,LINCOMYCIN INECTION 300MG/ML 10X10ML,1,215657,N,1,N,9/26/2022,9/26/2023,ML,100.0,AP,Y,,9/26/2023,,,10/30/2023
25021,195,10,"SAGENT PHARMACEUTICALS, INC.",Active,Caspofungin Acetate Injection 70mg 1x1,1,207092,N,1,N,9/29/2017,10/4/2017,EA,1.0,AP,Y,9/11/2023,9/11/2023,,,10/30/2023
25021,250,20,"SAGENT PHARMACEUTICALS, INC.",Active,Mitomycin Injection 5mg 1x1,1,215687,N,1,N,10/20/2021,1/15/2023,EA,1.0,AP,Y,9/8/2023,9/8/2023,,,10/30/2023
25021,251,50,"SAGENT PHARMACEUTICALS, INC.",Active,Mitomycin Injection 20mg 1x1,1,215687,N,1,N,10/20/2021,1/15/2023,EA,1.0,AP,Y,9/6/2023,9/6/2023,,,10/30/2023
25021,252,51,"SAGENT PHARMACEUTICALS, INC.",Active,Mitomycin Injection 40Mg 1x1,1,216648,N,1,N,11/22/2022,1/15/2023,EA,1.0,AP,Y,9/6/2023,9/6/2023,,,10/30/2023
25021,415,10,"SAGENT PHARMACEUTICALS, INC.",Active,Tranexamic Acid Injection 100mg/ml 10x10ml,1,207239,N,1,N,2/13/2017,3/27/2017,ML,100.0,AP,Y,9/11/2023,9/11/2023,,,10/30/2023
