ENROLLMENT ID - BUYER,ENROLLMENT STATE - BUYER,PROVIDER TYPE CODE - BUYER,PROVIDER TYPE TEXT - BUYER,NPI - BUYER,MULTIPLE NPI FLAG - BUYER,CCN - BUYER,ASSOCIATE ID - BUYER,ORGANIZATION NAME - BUYER,DOING BUSINESS AS NAME - BUYER,CHOW TYPE CODE,CHOW TYPE TEXT,EFFECTIVE DATE,ENROLLMENT ID - SELLER,ENROLLMENT STATE - SELLER,PROVIDER TYPE CODE - SELLER,PROVIDER TYPE TEXT - SELLER,NPI - SELLER,MULTIPLE NPI FLAG - SELLER,CCN - SELLER,ASSOCIATE ID - SELLER,ORGANIZATION NAME - SELLER,DOING BUSINESS AS NAME - SELLER
O20090909000346,OK,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1649267733,N,375243,4981759388,JAN FRANCES CARE CENTER LLC,JAN FRANCES CARE CENTER,CH,CHANGE OF OWNERSHIP,12/29/2020,O20170810002771,OK,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1649267733.0,N,375243,7618248808.0,CITY OF HUGO,JAN FRANCES CARE CENTER
O20110815000746,OK,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1467730036,N,375492,6103095807,HOMESTEAD OF HUGO LLC,HOMESTEAD OF HUGO,CH,CHANGE OF OWNERSHIP,12/28/2020,O20170818000174,OK,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1467730036.0,N,375492,7618248808.0,CITY OF HUGO,HOMESTEAD OF HUGO
O20150522000413,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1396753224,N,335700,2567375421,LONG ISLAND JEWISH MEDICAL CENTER,NORTH SHORE-LIJ ORZAC CENTER FOR REHABILITATION,CH,CHANGE OF OWNERSHIP,01/14/2016,O20050804000242,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1396753224.0,N,335700,941192116.0,FRANKLIN MEDICAL CENTER PSYCHIATRIC UNIT,ORZAC NURSING HOME
O20150703000036,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1184014680,N,555682,9739491705,MELON HOLDINGS LLC,MARYSVILLE POST-ACUTE,CH,CHANGE OF OWNERSHIP,04/01/2016,O20100724000276,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1912086976.0,N,555682,5890607832.0,MARYSVILLE NURSING & REHAB LLC,MARYSVILLE CARE CENTER
O20150828001794,WA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1225414212,N,505526,244546752,SOUTH HILL OPERATIONS LLC,LIFE CARE CENTER OF SOUTH HILL,CH,CHANGE OF OWNERSHIP,01/01/2016,O20140826002548,WA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1396150215.0,N,505526,8820076839.0,"VALLEY TERRACE OPERATIONS, LLC",LIFE CARE CENTER OF SOUTH HILL
O20151020001712,WA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1881060507,N,505386,8921317611,MARYSVILLE OPERATIONS LLC,MARYSVILLE CARE CENTER,CH,CHANGE OF OWNERSHIP,02/01/2016,O20040824001247,WA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1023062247.0,N,505386,2365425204.0,CASCADE MEDICAL INVESTORS LIMITED PARTNERSHIP,MARYSVILLE CARE CENTER
O20151116000284,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1093101743,N,335691,1254641616,1 BETHESDA DRIVE OPERATING COMPANY LLC,ELDERWOOD AT HORNELL,CH,CHANGE OF OWNERSHIP,04/12/2016,O20100121000269,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1205803889.0,N,335691,345154480.0,ST JAMES HOSPITAL,MCAULEY MANOR AT MERCYCARE
O20151222000157,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1619348257,N,105738,6901107721,SOLARIS HEALTHCARE IMPERIAL LLC,SOLARIS HEALTHCARE IMPERIAL,CH,CHANGE OF OWNERSHIP,01/01/2016,O20101103001453,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1457660771.0,N,105738,1254525165.0,IMPERIAL REHAB LLC,IMPERIAL HEALTH CARE CENTER
O20151222002250,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1679944268,N,105701,4789985458,SOLARIS HEALTHCARE MERRITT ISLAND LLC,SOLARIS HEALTHCARE MERRITT ISLAND,CH,CHANGE OF OWNERSHIP,01/01/2016,O20101104000181,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1821307968.0,N,105701,4688868508.0,MERRITT ISLAND REHAB LLC,THE HEALTH CENTER OF MERRITT ISLAND
O20151222002839,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1912378514,N,105960,244531945,SOLARIS HEALTHCARE WINDERMERE LLC,SOLARIS HEALTHCARE WINDERMERE,CH,CHANGE OF OWNERSHIP,01/01/2016,O20101104001020,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1952610016.0,N,105960,6002000999.0,WINDERMERE REHAB LLC,THE HEALTH CENTER OF WINDERMERE
