HCPCS_Cd,HCPCS_Desc,Brnd_Name,Gnrc_Name,Tot_Spndng_2017,Tot_Dsg_Unts_2017,Tot_Clms_2017,Tot_Benes_2017,Avg_Spndng_Per_Dsg_Unt_2017,Avg_Spndng_Per_Clm_2017,Avg_Spndng_Per_Bene_2017,Outlier_Flag_2017,Tot_Spndng_2018,Tot_Dsg_Unts_2018,Tot_Clms_2018,Tot_Benes_2018,Avg_Spndng_Per_Dsg_Unt_2018,Avg_Spndng_Per_Clm_2018,Avg_Spndng_Per_Bene_2018,Outlier_Flag_2018,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Tot_Benes_2019,Avg_Spndng_Per_Dsg_Unt_2019,Avg_Spndng_Per_Clm_2019,Avg_Spndng_Per_Bene_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spndng_Per_Dsg_Unt_2020,Avg_Spndng_Per_Clm_2020,Avg_Spndng_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spndng_Per_Dsg_Unt_2021,Avg_Spndng_Per_Clm_2021,Avg_Spndng_Per_Bene_2021,Outlier_Flag_2021,Avg_DY21_ASP_Price,Chg_Avg_Spndng_Per_Dsg_Unt_20_21,CAGR_Avg_Spnd_Per_Dsg_Unt_17_21
J9271,Inj pembrolizumab,Keytruda,Pembrolizumab,1033716692.7,22526012.0,109885.0,21816.0,45.889911303,9407.259341,47383.42009,0.0,1813727266.8,41818943.0,201492.0,35491.0,43.370949543,9001.485254,51103.864834,0.0,2673427541.0,60934811.0,293728.0,49743.0,43.873567458,9101.7115868,53744.799086,0.0,3500947569.2,77271995.6,355684.0,58699.0,45.306809304,9842.8593054,59642.371576,0.0,3966530837.1,85837941.0,373954,62830,46.209529153,10607.00203,63131.160864,0,51.59175,0.0199245955,0.0017366913
J0178,Aflibercept injection,Eylea,Aflibercept,2465832791.8,2566135.0,1162647.0,229369.0,960.913121,2120.8782991,10750.505917,0.0,2573938386.9,2730000.6,1228011.0,240910.0,942.83436674,2096.0222562,10684.232232,0.0,2911408262.2,3123465.0,1391256.0,268296.0,932.1084956,2092.647408,10851.47845,0.0,3013081886.1,3269214.0,1435329.0,284454.0,921.65330446,2099.2273451,10592.510164,0.0,3415890772.0,3758278.0,1635603,309699,908.89784418,2088.4595908,11029.711985,0,918.74375,-0.01383976,-0.013816488
J0897,Denosumab injection,Prolia*,Denosumab*,1238722483.2,74787572.9,952934.0,470360.0,16.563212779,1299.9037532,2633.5625546,0.0,1416968972.8,84040684.1,1078076.0,533286.0,16.860512119,1314.3497979,2657.0526373,0.0,1605208840.2,91759929.0,1192252.0,589684.0,17.493571079,1346.3670769,2722.1509151,0.0,1626844122.8,88865339.3,1161150.0,588171.0,18.306846467,1401.0628453,2765.9373257,0.0,1780811014.6,92793533.6,1241745,629724,19.191111121,1434.1197385,2827.9230498,0,20.5905,0.0483024018,0.0375018619
J9299,"Injection, nivolumab",Opdivo,Nivolumab,1470525369.1,57093050.0,221210.0,29076.0,25.756644094,6647.6441803,50575.229368,0.0,1715907187.9,69929329.0,239434.0,32846.0,24.537732772,7166.5143126,52240.978747,0.0,1782346827.6,71949143.0,212722.0,29910.0,24.772314906,8378.7611417,59590.331915,0.0,1586591103.3,62072115.0,175292.0,25352.0,25.560448574,9051.1324152,62582.482776,0.0,1573611852.5,60628423.0,173365,25426,25.955018697,9076.8716439,61889.870705,0,28.6965,0.0154367449,0.0019199339
J9144,"Daratumumab, hyaluronidase",Darzalex Faspro,Daratumumab-Hyaluronidase-Fihj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1046702029.9,23552901.0,121256,12490,44.44047168,8632.166902,83803.204953,0,44.45875,,
J2778,Ranibizumab injection,Lucentis,Ranibizumab,1037747583.7,2787520.4,524318.0,105197.0,372.28340417,1979.2331823,9864.8020733,0.0,1215701656.3,3300831.3,618921.0,123389.0,368.30166278,1964.2275126,9852.5934754,0.0,1266791097.4,3602289.6,673557.0,130748.0,351.66275842,1880.7481733,9688.7990438,0.0,1113026179.7,3336914.0,611396.0,120647.0,333.54955499,1820.4668983,9225.4774651,0.0,1044929993.3,3331899.0,604786,114432,313.61394608,1727.7681582,9131.4491868,0,315.129,-0.059768057,-0.041967102
J0129,"Injection, abatacept, 10 mg",Orencia*,Abatacept*,700099533.24,15128695.0,201046.0,24409.0,46.276267268,3482.285314,28682.024386,0.0,799286086.56,16664951.0,219711.0,26726.0,47.962102412,3637.8974496,29906.68587,0.0,920274114.78,18334361.0,241954.0,29031.0,50.193956298,3803.5085792,31699.704274,0.0,1023001524.0,19061371.0,251054.0,29764.0,53.66883232,4074.8266269,34370.431528,0.0,988943741.63,20110414.6,265060,31429,49.175701312,3731.0184171,31465.962698,0,51.3225,-0.08371956,0.0153085897
J9312,"Inj., rituximab, 10 mg",Rituxan,Rituximab,,,,,,,,,,,,,,,,,1738104061.4,20078216.2,243181.0,70203.0,86.566657319,7147.367851,24758.259068,0.0,1295821132.6,15169179.8,180696.0,56467.0,85.424601046,7171.2773532,22948.290729,0.0,765560205.64,9456541.3,110130,36383,80.955624404,6951.4229151,21041.700949,0,88.92225,-0.052314867,-0.032951647
J9022,"Inj, atezolizumab,10 mg",Tecentriq,Atezolizumab,,,,,,,,,240758211.62,3234972.0,25775.0,4896.0,74.423584383,9340.7647573,49174.471328,0.0,463581621.68,6509453.0,53252.0,9952.0,71.216678526,8705.4311891,46581.75459,0.0,624194083.89,8710906.0,71233.0,12416.0,71.656620321,8762.709473,50273.363715,0.0,656074898.54,9137003.0,73736,12580,71.804168012,8897.6198674,52152.21769,0,78.9675,0.0020590936,-0.011872414
J1300,Eculizumab injection,Soliris,Eculizumab,311737717.75,1413310.0,11662.0,776.0,220.57278145,26731.068234,401723.86308,0.0,395796137.25,1980607.0,16063.0,1161.0,199.83577623,24640.237642,340909.67894,0.0,534927999.87,2683148.0,21014.0,1585.0,199.3658195,25455.791371,337494.00623,0.0,610425467.6,3001668.0,22954.0,1651.0,203.36208655,26593.424571,369730.74961,0.0,642451165.87,3123579.0,24343,1645,205.67789893,26391.618365,390547.8212,0,229.8445,0.0113876309,-0.017327219
