NDC1,NDC2,NDC3,Labeler Name,Labeler Status,FDA Name,COD Status,FDA Application Number/OTC Monograph Number,Drug Category,Drug Type,Line Extension,FDA Approval Date,Market Date,Unit Type,Units Per Package Size,Therapeutic Equivalent Code,5i Indicator,Purchased Product Date,Coverage Effective Date,Drug Termination Date,Drug Reactivation Date,Date Reported to CMS
713,886,18,"COSETTE PHARMACEUTICALS, INC.",Active,Dapsone Gel 5% 90g tube,1,210178,N,1,N,3/31/2022,5/8/2023,GM,90,AB,N,,5/8/2023,,,7/17/2023
713,886,60,"COSETTE PHARMACEUTICALS, INC.",Active,Dapsone Gel 5% 60g tube,1,210178,N,1,N,3/31/2022,5/8/2023,GM,60,AB,N,,5/8/2023,,,7/17/2023
832,8304,30,"UPSHER-SMITH LABORATORIES, LLC.",Active,Isotretinoin 40mg Cpsl UD - 30 (3x10),1,76485,N,1,N,1/19/2012,6/28/2023,CAP,30,AB,N,6/28/2023,6/28/2023,,,7/18/2023
35573,463,30,BUREL PHARMACEUTICALS,Active,"Tadalafil Tablets, 20mg, 30",1,215556,N,1,N,11/4/2021,6/20/2023,TAB,30,A1,N,6/20/2023,6/20/2023,,,7/18/2023
46122,743,27,AMERISOURCE BERGEN,Active,GNP COOL AND HEAT PAIN RLF ROLL-ON 2.5OZ,9,PART348,N,2,N,3/15/2023,6/29/2023,ML,74,NR,N,,6/29/2023,,,7/18/2023
50228,192,60,"SCIEGEN PHARMACEUTICALS, INC.",Active,LACOSAMIDE TABLET 50 MG 60,1,205237,N,1,N,3/17/2022,6/30/2023,TAB,1,AB,N,,6/30/2023,,,7/20/2023
50228,193,60,"SCIEGEN PHARMACEUTICALS, INC.",Active,LACOSAMIDE TABLET 100MG 60,1,205237,N,1,N,3/17/2022,6/9/2023,TAB,1,AB,N,,6/9/2023,,,7/20/2023
50228,194,60,"SCIEGEN PHARMACEUTICALS, INC.",Active,LACOSAMIDE TABLET 150MG 60,1,205237,N,1,N,3/17/2022,6/9/2023,TAB,1,AB,N,,6/9/2023,,,7/20/2023
50228,195,60,"SCIEGEN PHARMACEUTICALS, INC.",Active,LACOSAMIDE TABLET 200MG 60,1,205237,N,1,N,3/17/2022,6/9/2023,TAB,1,AB,N,,6/9/2023,,,7/20/2023
50474,980,79,"UCB, INC.",Active,Rystiggo 140 mg/mL 2mL Vial,2,761286,S,1,N,6/26/2023,7/20/2023,ML,1,NR,Y,,7/20/2023,,,7/21/2023
51672,1409,9,"TARO PHARMACEUTICALS USA,  INC.",Active,IBUPROFEN DF BE 100MG/5ML SUS 473ML TARO,1,209204,N,1,N,6/23/2017,6/20/2023,ML,473,AB,N,6/20/2023,6/20/2023,,,7/17/2023
55150,116,1,Eugia US LLC,Active,Ampicillin & Sulbactam for Injection 1.5g - PREMIERProRx,1,90349,N,1,N,2/10/2012,9/13/2012,EA,1,AP,Y,,9/13/2012,,,7/19/2023
55150,117,1,Eugia US LLC,Active,Ampicillin & Sulbactam for Injection 3g - PREMIERProRx,1,90349,N,1,N,2/10/2012,9/13/2012,EA,1,AP,Y,,9/13/2012,,,7/19/2023
59651,381,1,"AUROBINDO PHARMA USA, INC.",Active,Clomipramine Hydrochloride Capsules USP 25mg-100/Bottle,1,216440,N,1,N,3/20/2023,6/14/2023,CAP,100,AB,N,,6/14/2023,,,7/20/2023
59651,381,30,"AUROBINDO PHARMA USA, INC.",Active,Clomipramine Hydrochloride Capsules USP 25mg-30/Bottle,1,216440,N,1,N,3/20/2023,6/14/2023,CAP,30,AB,N,,6/14/2023,,,7/20/2023
59651,382,1,"AUROBINDO PHARMA USA, INC.",Active,Clomipramine Hydrochloride Capsules USP 50mg-100/Bottle,1,216440,N,1,N,3/20/2023,6/14/2023,CAP,100,AB,N,,6/14/2023,,,7/20/2023
59651,382,30,"AUROBINDO PHARMA USA, INC.",Active,Clomipramine Hydrochloride Capsules USP 50mg-30/Bottle,1,216440,N,1,N,3/20/2023,6/14/2023,CAP,30,AB,N,,6/14/2023,,,7/20/2023
59651,382,90,"AUROBINDO PHARMA USA, INC.",Active,Clomipramine Hydrochloride Capsules USP 50mg-90/Bottle,1,216440,N,1,N,3/20/2023,6/14/2023,CAP,90,AB,N,,6/14/2023,,,7/20/2023
59651,383,1,"AUROBINDO PHARMA USA, INC.",Active,Clomipramine Hydrochloride Capsules USP 75mg-100/Bottle,1,216440,N,1,N,3/20/2023,6/14/2023,CAP,100,AB,N,,6/14/2023,,,7/20/2023
59651,383,30,"AUROBINDO PHARMA USA, INC.",Active,Clomipramine Hydrochloride Capsules USP 75mg-30/Bottle,1,216440,N,1,N,3/20/2023,6/14/2023,CAP,30,AB,N,,6/14/2023,,,7/20/2023
59651,456,1,"AUROBINDO PHARMA USA, INC.",Active,Carbidopa and Levodopa Tablets USP 10 mg/100 mg - 100/Bottle,1,216537,N,1,N,11/28/2022,6/14/2023,TAB,100,AB,N,,6/14/2023,,,7/20/2023
59651,457,5,"AUROBINDO PHARMA USA, INC.",Active,Carbidopa and Levodopa Tablets USP 25 mg/100 mg - 500/Bottle,1,216537,N,1,N,11/28/2022,5/4/2023,TAB,500,AB,N,,5/4/2023,,,7/20/2023
60505,405,4,APOTEX CORP.,Active,LACOSAMIDE O/SLN 10MG/ML 200ML ,1,206355,N,1,N,9/26/2022,6/14/2023,ML,200,AA,N,,6/14/2023,,,7/20/2023
60505,6095,0,APOTEX CORP.,Active,BENDAMUSTINE 25MG / 10mL,1,204230,N,1,N,6/5/2023,6/19/2023,ML,1,AP,Y,,6/19/2023,,,7/18/2023
60505,6096,0,APOTEX CORP.,Active,BENDAMUSTINE 100MG / 20mL,1,204230,N,1,N,6/5/2023,6/19/2023,ML,1,AP,Y,,6/19/2023,,,7/18/2023
60687,714,44,AMERICAN HEALTH PACKAGING,Active,Chlorhexidine Gluconate Oral Rinse,1,75561,N,1,N,1/20/2023,6/21/2023,ML,15,AT,N,,6/21/2023,,,7/18/2023
60687,714,50,AMERICAN HEALTH PACKAGING,Active,Chlorhexidine Gluconate Oral Rinse,1,75561,N,1,N,1/20/2023,6/21/2023,ML,150,AT,N,,6/21/2023,,,7/18/2023
60687,714,64,AMERICAN HEALTH PACKAGING,Active,Chlorhexidine Gluconate Oral Rinse,1,75561,N,1,N,1/20/2023,6/21/2023,ML,600,AT,N,,6/21/2023,,,7/18/2023
60687,758,11,AMERICAN HEALTH PACKAGING,Active,Lurasidone Hydrochloride Tablet,1,212244,N,1,N,5/23/2023,7/3/2023,TAB,1,AB,N,,7/3/2023,,,7/18/2023
60687,758,21,AMERICAN HEALTH PACKAGING,Active,Lurasidone Hydrochloride Tablet,1,212244,N,1,N,5/23/2023,7/3/2023,TAB,30,AB,N,,7/3/2023,,,7/18/2023
63323,579,1,"FRESENIUS KABI USA, LLC",Active,Sincalide Inj 0.005mg 5ml,3,17697,I,1,N,9/30/1990,6/20/2023,EA,2,NR,Y,,6/20/2023,,,7/20/2023
63323,579,5,"FRESENIUS KABI USA, LLC",Active,Sincalide Inj 0.005mg 5ml,3,17697,I,1,N,9/30/1990,6/20/2023,EA,2,NR,Y,,6/20/2023,,,7/20/2023
