id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
music/Gold_Dust_Woman/sheryl_crow+Live_from_Central_Park+07-Gold_Dust_Womanmp3, G, major,128.775222778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
music/Lady/reo_speedwagon+Arch_Allies_Disc_1+04-Ladymp3, G, major,123.310401917,0.1621600562541901,0.1532037420145776,0.4756928290034663,0.4095045500505561,0.9253104821762728,0.0296452952089489,0.2415349652665538,0.0801543233869837,0.3096507804201937
music/Red_Red_Wine/neil_diamond+Hot_August_Night_Disc_1+10-Red_Red_Winemp3, C, major,129.898986816,0.2736968752526908,0.2765987508520738,0.2163540332332897,0.365015166835187,0.9401764195969396,0.0367102125422545,0.2855735698613038,0.1589586195186004,0.3191354559615424
music/Lodi/tesla+Five_Man_Acoustic_Jam+09-Lodimp3, C, major,129.092514038,0.2449305317577072,0.304611563242897,0.1986067513895596,0.3943377148634985,0.9728377006924208,0.0550060547888522,0.3672600053883546,0.0237888744936737,0.3201723995771205
music/Blue_Collar_Man/styx+Caught_In_The_Act_Disc_2_of_2_+02-Blue_Collar_Man_Long_Nights_mp3, D, minor,126.074867249,0.2016239610406612,0.2742776366439924,0.3603627531552752,0.4024266936299292,0.953327738397902,0.0472516740983035,0.3351941539861374,0.0704743672727042,0.3306173722781131
music/White_Room/sheryl_crow_+Live_from_Central_Park+12-White_Roommp3, G, major,106.896240234,0.1817908032642099,0.2087487189865892,0.6717972189979564,0.3822042467138524,0.9518851025795934,0.0237270559777173,0.2089414966653698,0.032420521717748,0.3326893956128796
music/Lodi/creedence_clearwater_revival+Live_in_Europe+08-Lodimp3, A#, major,132.643798828,0.2331311558993843,0.2041871436391907,0.6044612786784173,0.3670374115267947,0.945721275009362,0.0315431462625744,0.2552133681954264,0.0292809234067823,0.3338219628272416
music/Lady/styx+Return_To_Paradise_Disc_1_+05-Ladymp3, G, major,128.87399292,0.232812213109453,0.3554404615841192,0.1774061277408118,0.3559150657229524,0.9410040770104656,0.0399692330284258,0.3129563213071287,0.2595064688341161,0.3343762460421841
music/Maggie_s_Farm/bob_dylan+Live_at_Budokan_Disc_1+06-Maggie_s_Farmmp3, A, minor,126.578773499,0.2054054339790076,0.2994188923501316,0.3499220013741912,0.38422649140546,0.9654409930581443,0.0544456617376416,0.3783885952381354,0.092030774667751,0.3411598554763079
music/Tomorrow_Never_Knows/beatles+Revolver+14-Tomorrow_Never_Knowsmp3, F, major,127.962799072,0.2549321324598356,0.2549674571735802,0.2981154377393578,0.2568250758341759,0.9757316085874054,0.0644288265195784,0.4202159803632158,0.2121771014052308,0.3421742025102975
