ObjectId,IntakeType,IntakeSubtype,Number_of_Animals,YEAR,MONTH
1,CONFISCATE,NEGLECT,10,2005,10
2,CONFISCATE,NEGLECT,14,2007,1
3,STRAY,FIELD,1,2002,2
4,CONFISCATE,POLICE,1,2005,10
5,EUTH REQ,FIELD OWN,4,2007,1
6,EUTH REQ,OTC OWNED,47,2007,1
7,EUTH REQ,FIELD OWN,5,2005,10
8,OWNER SUR,OTC,1,2003,7
9,OUTSURGERY,,31,2007,1
10,EUTH REQ,OTC OWNED,31,2005,10
11,CONFISCATE,CRUELTY,1,2004,11
12,OWNER SUR,FIELD,33,2007,1
13,KHS,STRAY,78,2005,10
14,CONFISCATE,CRUELTY,1,2004,12
15,OWNER SUR,OTC,224,2007,1
16,OWNER SUR,FIELD,24,2005,10
17,STRAY,OTC,1,2004,12
18,QUARANTINE,MAS,2,2007,1
19,OWNER SUR,OTC,107,2005,10
20,CONFISCATE,CRUELTY,2,2005,1
21,QUARANTINE,OWNER,4,2007,1
22,RETURN,OTC,1,2005,10
23,STRAY,OTC,1,2005,1
24,QUARANTINE,STRAY,5,2007,1
25,STRAY,FIELD,308,2005,10
26,CONFISCATE,CRUELTY,2,2005,2
27,STRAY,FIELD,302,2007,1
28,STRAY,OTC,311,2005,10
29,CONFISCATE,HOSPITAL,1,2005,2
30,STRAY,OTC,311,2007,1
31,CONFISCATE,ABANDONED,1,2005,11
32,OWNER SUR,OTC,1,2005,2
33,CONFISCATE,ABANDONED,1,2007,2
34,CONFISCATE,BITE,2,2005,11
35,STRAY,FIELD,1,2005,2
36,CONFISCATE,DANGER DOG,1,2007,2
37,CONFISCATE,CRUELTY,15,2005,11
38,STRAY,OTC,10,2005,2
39,CONFISCATE,NEGLECT,8,2007,2
40,CONFISCATE,HOSPITAL,1,2005,11
41,CONFISCATE,BITE,6,2005,3
42,CONFISCATE,POTDANGER,1,2007,2
43,CONFISCATE,NEGLECT,21,2005,11
44,CONFISCATE,CRUELTY,21,2005,3
45,EUTH REQ,FIELD OWN,7,2007,2
46,CONFISCATE,POLICE,1,2005,11
47,EUTH REQ,FIELD OWN,2,2005,3
48,EUTH REQ,OTC OWNED,56,2007,2
49,EUTH REQ,FIELD OWN,1,2005,11
50,EUTH REQ,OTC OWNED,2,2005,3
51,OUTSURGERY,,54,2007,2
52,EUTH REQ,OTC OWNED,12,2005,11
53,OWNER SUR,FIELD,15,2005,3
54,OWNER SUR,FIELD,28,2007,2
55,KHS,,1,2005,11
56,OWNER SUR,OTC,54,2005,3
57,OWNER SUR,OTC,155,2007,2
58,KHS,STRAY,37,2005,11
59,RETURN,OTC,3,2005,3
60,QUARANTINE,MAS,2,2007,2
61,OWNER SUR,FIELD,32,2005,11
62,STRAY,,4,2005,3
63,QUARANTINE,OWNER,2,2007,2
64,OWNER SUR,OTC,128,2005,11
65,STRAY,FIELD,171,2005,3
66,STRAY,FIELD,285,2007,2
67,STRAY,FIELD,291,2005,11
68,STRAY,NIGHT,1,2005,3
69,STRAY,OTC,284,2007,2
70,STRAY,OTC,331,2005,11
71,STRAY,OTC,193,2005,3
72,CONFISCATE,BITE,1,2007,3
73,TRANSFER,AN CONTROL,1,2005,11
74,CONFISCATE,,1,2005,4
75,CONFISCATE,CRUELTY,1,2007,3
76,CONFISCATE,BITE,2,2005,12
77,CONFISCATE,BITE,2,2005,4
78,CONFISCATE,DANGER DOG,4,2007,3
79,CONFISCATE,CRUELTY,6,2005,12
80,CONFISCATE,CRUELTY,6,2005,4
81,CONFISCATE,NEGLECT,28,2007,3
82,CONFISCATE,NEGLECT,26,2005,12
83,CONFISCATE,POLICE,1,2005,4
84,CONFISCATE,POTDANGER,9,2007,3
85,EUTH REQ,FIELD OWN,2,2005,12
86,EUTH REQ,FIELD OWN,2,2005,4
87,CONFISCATE,BITE,1,2006,6
88,EUTH REQ,FIELD OWN,7,2007,3
89,EUTH REQ,OTC OWNED,9,2005,12
90,EUTH REQ,OTC OWNED,26,2005,4
91,EUTH REQ,OTC OWNED,43,2007,3
92,CONFISCATE,NEGLECT,40,2006,6
93,KHS,,1,2005,12
94,OWNER SUR,FIELD,33,2005,4
95,OUTSURGERY,,70,2007,3
96,EUTH REQ,FIELD OWN,8,2006,6
97,KHS,STRAY,13,2005,12
98,OWNER SUR,OTC,78,2005,4
99,OWNER SUR,FIELD,39,2007,3
100,EUTH REQ,OTC OWNED,69,2006,6
101,OWNER SUR,FIELD,25,2005,12
102,RETURN,OTC,1,2005,4
103,OWNER SUR,OTC,156,2007,3
104,KHS,OWNER SUR,3,2006,6
105,OWNER SUR,OTC,174,2005,12
106,QUARANTINE,MAS,6,2007,3
107,STRAY,,1,2005,4
108,KHS,STRAY,39,2006,6
109,STRAY,,1,2005,12
110,QUARANTINE,OWNER,4,2007,3
111,STRAY,FIELD,237,2005,4
112,OWNER SUR,FIELD,50,2006,6
113,STRAY,FIELD,291,2005,12
114,STRAY,OTC,286,2005,4
115,QUARANTINE,STRAY,4,2007,3
116,OWNER SUR,OTC,258,2006,6
117,STRAY,OTC,312,2005,12
118,CONFISCATE,ABANDONED,14,2006,1
119,CONFISCATE,BITE,1,2006,1
120,CONFISCATE,NEGLECT,11,2006,1
121,EUTH REQ,,1,2006,1
122,EUTH REQ,FIELD OWN,2,2006,1
123,EUTH REQ,OTC OWNED,8,2006,1
124,KHS,OWNER SUR,1,2006,1
