OBJECTID,ID305B,CYCLE,NAME,LOCATION,MILES,NHD_BASIN,AQUATIC_LIFE,RECREATION,FISH_CONSUMPTION,DRINKING_WATER_SUPPLY,IMPAIRED,Shape__Length
11,CT3500-00_03,2012,Moosup River-03,"From Brunswick Mill Dam #1 (first impoundment in Almyville, parallel to Route 14), Plainfield, US to Rhode Island border.",7.36,1100001,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,38843.8145446399
13,CT3503-00_01,2012,Ekonk Brook-01,"From mouth at confluence with Moosup River (DS of River Street crossing), US to headwaters at Lockes Meadow Pond outlet dam, Plainfield.",4.5,1100001,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,23741.2492635511
22,CT3700-00_01,2012,Quinebaug River-01,"From mouth at confluence with Shetucket River, at Lisbon/Norwich border, US to Aspinook Pond outlet dam (US of River Road (Route 12) crossing), Lisbon/Griswold border.",7.46,1100001,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,39405.3170209153
25,CT3700-00_04,2012,Quinebaug River-04,"From confluence with Moosup River (river forms town boundary for Canterbury and Plainfield), US to Putnum POTW (parallel to Kennedy Drive near I-395), Putnam.",17.61,1100001,Not Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,93004.1998788036
26,CT3700-00_05,2012,Quinebaug River-05,"From just US of Putnum POTW (just DS of Railroad crossing), US to confluence with French River, Thompson.",3.32,1100001,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,17506.6397491418
28,CT3700-00_07,2012,Quinebaug River-07,"From inlet to West Thompson Lake (Reservoir) just DS of  Blain Road crossing, US to Massachusetts border (US of Route 197 crossing), Thompson.",6.4,1100001,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,33778.6222700516
29,CT3708-00_01,2012,Little River (Putnam)-01,"From mouth at confluence with Quinebaug River (just DS of Route 44 crossing), Putnum, US to drinking water watershed boundary (outlet of marsh, parallel to Peake Brook Road, DS of Shepherds Pond), Woodstock (southeast corner).",2.64,1100001,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,13938.2937328827
31,CT3708-01_01,2012,Muddy Brook (Woodstock)-01,"From mouth at inlet to Roseland Lake, US to Route 197 crossing, Woodstock.",5.44,1100001,Not Assessed,Not Supporting,Fully Supporting,Not Assessed,Yes,28718.2142258139
32,CT3708-01_02,2012,Muddy Brook (Woodstock)-02,"From Route 197 crossing, US to confluence with Moss Brook (just DS of Route 169 crossing, Sherman corner area), Woodstock.",1.98,1100001,Not Supporting,Not Assessed,Fully Supporting,Not Assessed,Yes,10464.8008916584
36,CT3709-00_01,2012,Wappaquoia Brook-01,"From mouth at confluence with Mashamoquet Brook (east of Route 169), US to Hollow Pond outlet dam (just US of Brayman Hollow Road (Route 244) crossing), Pomfret.",3.23,1100001,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,17029.3945241858
37,CT3710-00_01,2012,Mashamoquet Brook-01,"From mouth at confluence with Quinebaug River (parallel to Route 101 on north side), US to confluence with Wolf Den Brook (US of Route 101 crossing), Pomfret.",3.06,1100001,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,16157.2321595711
38,CT3710-00_02,2012,Mashamoquet Brook-02,"From confluence with Wolf Den Brook (just US of Route 101 crossing), US to Taft Pond outlet dam (US of Taft Pond Road crossing), Pomfret.  Includes diversion to swimming pond in Mashamoquet State Park.",4.36,1100001,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,23035.1012423666
