OBJECTID,ADMIN_ST,NLCS_ID,NLCS_NAME,CASEFILE_NO,WSA_RCMND,ROD_DATE,WSA_AUTH,WSA_TYPE,WSA_NUMBER,WSA_SUITABILITY,WSA_VALUES,GlobalID,Shape__Area,Shape__Length
1,UT,NLCS000956,West Cold Springs,UNK,No recommendation,1980/12/31 00:00:00+00,603,WSA,UT-080-103,4,Wilderness Study Area,{62376763-4F55-4B18-89F8-57DEF40E19F5},13286158.8006657,16275.7492000514
2,UT,NLCS000897,Diamond Breaks,UNK,No recommendation,1980/12/31 00:00:00+00,603,WSA,UT-080-113,4,Wilderness Study Area,{ECBA88B0-78CF-431B-BB8F-3B41657A7C55},15888926.8734153,18882.0905926647
3,UT,NLCS000932,North Stansbury Mountains,UNK,No recommendation,1980/12/31 00:00:00+00,603,WSA,UT-020-089,4,Wilderness Study Area,{D2B39D3A-7E73-4041-9D52-F664BBAA048F},43650430.8403208,44512.26212738
4,UT,NLCS000890,Daniels Canyon,UNK,No recommendation,1980/12/31 00:00:00+00,603,WSA,UT-080-414,4,Wilderness Study Area,{A0CA6126-6C0C-4B56-840C-3CCCC48B05EF},10183726.5517208,20841.1010966343
5,UT,NLCS000879,Bull Canyon,UNK,No recommendation,1980/12/31 00:00:00+00,603,WSA,UT-080-419,4,Wilderness Study Area,{65EC1CE8-9FDD-44BB-A37C-BB6240D8C0AC},2223884.36650281,8689.79037592948
6,UT,NLCS000879,Bull Canyon,UNK,No recommendation,1980/12/31 00:00:00+00,603,WSA,UT-080-419,4,Wilderness Study Area,{1EF0F455-7486-4E32-9A70-8E5778B75769},199158.72964741,1794.14977950988
7,UT,NLCS000904,Fish Springs,UNK,No recommendation,1980/12/31 00:00:00+00,603,WSA,UT-050-127,4,Wilderness Study Area,{2CC7F7B6-885A-468E-A9FF-0D580C751DCA},209739847.961928,117207.999095822
8,UT,NLCS000904,Fish Springs,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-127,0,Acquired Lands Managed as WSA,{4009C47B-6B81-42F1-9936-1F79CD6C5DC7},2584550.9992853,6430.93946852905
9,UT,NLCS000904,Fish Springs,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-127,0,Acquired Lands Managed as WSA,{864A3A44-2CED-41AA-A3BD-BABF49DF8252},2587949.08045691,6434.77297094768
10,UT,NLCS000904,Fish Springs,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-127,0,Acquired Lands Managed as WSA,{5C0D3033-E3EB-4D71-B861-FD50CDF38692},2589570.85165168,6436.7557160546
11,UT,NLCS000904,Fish Springs,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-127,0,Acquired Lands Managed as WSA,{505FCDAC-7DEF-4B33-AABA-918A13C4B2B3},2589659.26132422,6436.71898319328
12,UT,NLCS000904,Fish Springs,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-127,0,Acquired Lands Managed as WSA,{910F1EA9-1FB5-48EB-893C-A8DE48584D27},593795.324912215,3994.50743775947
13,UT,NLCS000904,Fish Springs,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-127,0,Acquired Lands Managed as WSA,{FD2CF4FB-A985-4A35-BC81-D8626BB90638},1260780.61602375,4947.07360744152
14,UT,NLCS000939,Rockwell,UNK,No recommendation,1980/06/18 00:00:00+00,603,WSA,UT-050-186,4,Wilderness Study Area,{3F51B642-979B-45B2-8033-DE3B508E8E0B},37804619.9787767,34437.0663168079
15,UT,NLCS000904,Fish Springs,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-127,0,Acquired Lands Managed as WSA,{03E56111-9D0A-4674-A543-63C609F74D6F},2590101.24163413,6437.09041197912
16,UT,NLCS000904,Fish Springs,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-127,0,Acquired Lands Managed as WSA,{A7D7C415-7C9E-4ECC-8256-E6BA0F3D8628},2591773.84346086,6439.30107027159
