Co,Agency Name,Cabinet Code,Cabinet,Merit Classification,FY 2014 Emp Count,Average Age,Average Years of Service,Total Turnover
40,"Agriculture, Food & Forestry Department (0040) ",300,Agriculture,Merit,361,48,15.3,11.1%
39,Boll Weevil Eradication (0039) ,300,Agriculture,Non-Merit,6,51,14.9,16.7%
645,Conservation Commission (0645) ,300,Agriculture,Merit,48,47,15.5,20.8%
117,Oklahoma State Board of Commercial Pet Breeders (0117) ,300,Agriculture,0,1,44,3.1,0%
535,Peanut Commission (0535) ,300,Agriculture,Merit,1,66,27.1,0%
875,Wheat Commission (0875) ,300,Agriculture,Non-Merit,3,48,11.6,33.3%
160,Commerce Department (0160) ,400,Commerce,Merit,120,46,12.1,25.8%
290,Employment Security Commission (0290) ,400,Commerce,Merit,594,50,12.5,16.8%
370,Industrial Finance Authority (0370) ,400,Commerce,Non-Merit,5,48,18.3,20%
405,Labor Department (0405) ,400,Commerce,Merit,68,45,9.4,38.2%
619,Physician Manpower Training Commission (0619) ,500,Education (excl. Higher Education),Merit,6,56,15.3,16.7%
606,Ardmore Higher Education Center (0606) ,500,Education and Workforce Development (excl. Higher Education),0,15,45,9.3,13.3%
55,Arts Council (0055) ,500,Education and Workforce Development (excl. Higher Education),Non-Merit,11,40,6.3,27.3%
800,Career and Technology Education (0800) ,500,Education and Workforce Development (excl. Higher Education),Non-Merit,251,51,15.0,8.8%
265,Education Department (0265) ,500,Education and Workforce Development (excl. Higher Education),Merit,285,48,8.8,16.8%
266,Educational Television Authority (0266) ,500,Education and Workforce Development (excl. Higher Education),Non-Merit,53,49,11.8,15.1%
430,Libraries Department (0430) ,500,Education and Workforce Development (excl. Higher Education),Merit,44,54,17.8,6.8%
563,Private Vocational Schools Board (0563) ,500,Education and Workforce Development (excl. Higher Education),Non-Merit,2,55,2.0,0%
620,Quartz Mountain Arts & Conference Center & Nature Park (0620) ,500,Education and Workforce Development (excl. Higher Education),Non-Merit,13,54,0.7,7.7%
610,Regional University System of Oklahoma (0610) ,500,Education and Workforce Development (excl. Higher Education),0,7,51,17.8,0%
629,School of Science & Mathematics (0629) ,500,Education and Workforce Development (excl. Higher Education),Merit,54,50,11.2,5.6%
269,Teacher Preparation Commission (0269) ,500,Education and Workforce Development (excl. Higher Education),Non-Merit,6,53,13.9,16.7%
185,Corporation Commission (0185) ,600,Energy and Environment,Merit,460,52,12.8,11.3%
292,Environmental Quality Department (0292) ,600,Energy and Environment,Merit,494,46,13.7,9.5%
980,Grand River Dam Authority (0980) ,600,Energy and Environment,Merit,516,53,13.8,5.8%
307,Interstate Oil Compact Commission (0307) ,600,Energy and Environment,Non-Merit,4,29,4.1,50%
445,Liquefied Petroleum Gas Board (0445) ,600,Energy and Environment,Merit,8,59,14.8,12.5%
125,Mines Department (0125) ,600,Energy and Environment,Non-Merit,31,54,21.5,3.2%
835,Water Resources Board (0835) ,600,Energy and Environment,Merit,85,42,13.0,30.6%
320,Wildlife Conservation (0320) ,600,Energy and Environment,Non-Merit,322,44,16.1,10.2%
22,Abstractors Board (0022) ,800,"Finance, Administration and Information Technology",Non-Merit,3,57,5.5,0%
20,Accountancy Board (0020) ,800,"Finance, Administration and Information Technology",Non-Merit,10,41,10.6,0%
45,Architects Board (0045) ,800,"Finance, Administration and Information Technology",Non-Merit,3,51,19.1,0%
300,Auditor and Inspector (0300) ,800,"Finance, Administration and Information Technology",Non-Merit,124,42,10.3,16.1%
65,Banking Department (0065) ,800,"Finance, Administration and Information Technology",Non-Merit,38,52,21.2,5.3%
582,Bond Advisor (0582) ,800,"Finance, Administration and Information Technology",Non-Merit,2,46,12.3,50%
145,Chiropractic Examiners (0145) ,800,"Finance, Administration and Information Technology",Non-Merit,2,35,12.4,0%
390,CompSource Oklahoma (0390) ,800,"Finance, Administration and Information Technology",Merit,330,47,9.7,17.9%
635,Consumer Credit Department (0635) ,800,"Finance, Administration and Information Technology",Merit,28,47,4.9,14.3%
190,Cosmetology Board (0190) ,800,"Finance, Administration and Information Technology",Merit,12,54,13.9,16.7%
215,Dentistry Board (0215) ,800,"Finance, Administration and Information Technology",Merit,3,53,10.0,0%
315,Firefighters Pension & Retirement (0315) ,800,"Finance, Administration and Information Technology",Non-Merit,10,48,13.5,0%
285,Funeral Board (0285) ,800,"Finance, Administration and Information Technology",Merit,2,33,7.1,50%
353,Horse Racing Commission (0353) ,800,"Finance, Administration and Information Technology",Non-Merit,35,57,13.4,8.6%
385,Insurance Department (0385) ,800,"Finance, Administration and Information Technology",Non-Merit,124,45,7.4,12.9%
410,"Land Office, Commissioners of the (0410) ",800,"Finance, Administration and Information Technology",Merit,48,52,14.9,14.6%
416,Law Enforcement Retirement System (0416) ,800,"Finance, Administration and Information Technology",Non-Merit,5,54,27.0,0%
622,Licensed Social Workers Board (0622) ,800,"Finance, Administration and Information Technology",Non-Merit,1,46,22.0,0%
435,Lottery Commission (0435) ,800,"Finance, Administration and Information Technology",Non-Merit,25,46,10.9,12%
90,"Management and Enterprise Services, Office of (0090) ",800,"Finance, Administration and Information Technology",Merit,1305,48,12.5,15.3%
450,Medical Licensure and Supervision Board (0450) ,800,"Finance, Administration and Information Technology",Merit,20,49,13.6,5%
298,Merit Protection Commission (0298) ,800,"Finance, Administration and Information Technology",Merit,3,52,8.5,33.3%
475,Motor Vehicle Commission (0475) ,800,"Finance, Administration and Information Technology",Non-Merit,4,49,16.7,0%
510,"Nursing, Oklahoma Board of (0510) ",800,"Finance, Administration and Information Technology",Non-Merit,27,52,7.8,3.7%
525,Osteopathic Examiners Board (0525) ,800,"Finance, Administration and Information Technology",Merit,5,56,16.3,20%
560,Pharmacy Board (0560) ,800,"Finance, Administration and Information Technology",Merit,10,48,14.2,0%
557,Police Pension and Retirement System (0557) ,800,"Finance, Administration and Information Technology",Non-Merit,10,46,15.1,10%
570,Professional Engineers & Land Surveyors Licensure Board (0570) ,800,"Finance, Administration and Information Technology",Merit,8,54,11.0,12.5%
575,Psychologists Examiners Board (0575) ,800,"Finance, Administration and Information Technology",Non-Merit,1,42,22.0,0%
515,Public Employees Retirement System (0515) ,800,"Finance, Administration and Information Technology",Merit,53,47,12.4,15.1%
588,Real Estate Commission (0588) ,800,"Finance, Administration and Information Technology",Merit,14,48,14.0,7.1%
630,Securities Commission (0630) ,800,"Finance, Administration and Information Technology",Merit,26,53,20.2,7.7%
632,Speech-Language Pathology & Audiology Board (0632) ,800,"Finance, Administration and Information Technology",Non-Merit,2,35,6.3,50%
740,State Treasurer (0740) ,800,"Finance, Administration and Information Technology",Non-Merit,39,49,13.2,10.3%
695,Tax Commission (0695) ,800,"Finance, Administration and Information Technology",Merit,729,51,14.0,15.1%
715,Teachers' Retirement System (0715) ,800,"Finance, Administration and Information Technology",Merit,30,49,11.6,30%
92,Tobacco Settlement Endowment Trust (0092) ,800,"Finance, Administration and Information Technology",Non-Merit,20,48,11.1,0%
755,Used Motor Vehicle and Parts Commission (0755) ,800,"Finance, Administration and Information Technology",Non-Merit,10,46,8.9,10%
790,Veterinary Medical Examiners Board (0790) ,800,"Finance, Administration and Information Technology",Non-Merit,3,47,13.6,33.3%
305,Governor (0305) ,100,Governor,Non-Merit,25,43,5.9,24%
448,Alcohol and Drug Counselors Board (0448) ,900,Health & Human Services,0,2,57,7.2,0%
127,Children & Youth Commission (0127) ,900,Health & Human Services,Merit,24,43,12.1,16.7%
170,Construction Industries Board (0170) ,900,Health & Human Services,Non-Merit,28,55,11.8,14.3%
452,Department of Mental Health and Substance Abuse Services (0452) ,900,Health & Human Services,Merit,1645,46,8.7,27.5%
326,Disability Concerns (0326) ,900,Health & Human Services,Merit,6,54,14.5,0%
807,Health Care Authority (0807) ,900,Health & Human Services,Merit,538,44,9.8,13.4%
340,Health Department (0340) ,900,Health & Human Services,Merit,2028,48,11.5,13.5%
830,Human Services Department - OKDHS (0830) ,900,Health & Human Services,Merit,7026,44,10.8,17.5%
670,J.D. McCarty Center (0670) ,900,Health & Human Services,Merit,223,41,7.2,38.1%
509,Long Term Care Administrators Board (0509) ,900,Health & Human Services,Non-Merit,3,57,19.4,0%
400,Office of Juvenile Affairs (0400) ,900,Health & Human Services,Merit,691,44,9.8,28.5%
805,Rehabilitation Services (0805) ,900,Health & Human Services,Merit,964,49,12.3,9.1%
753,Uniform Building Code Commission (0753) ,900,Health & Human Services,0,3,49,7.6,0%
199,Criminal Appeals Court (0199) ,1800,Judiciary,Non-Merit,26,58,19.4,3.8%
219,District Courts (0219) ,1800,Judiciary,Non-Merit,620,52,13.3,6.9%
677,Supreme Court (0677) ,1800,Judiciary,Non-Merit,186,50,13.5,8.1%
422,House of Representatives (0422) ,1900,Legislature,Non-Merit,216,49,8.2,9.7%
423,Legislative Service Bureau (0423) ,1900,Legislature,Non-Merit,7,48,14.0,0%
421,State Senate (0421) ,1900,Legislature,Non-Merit,153,51,12.0,8.5%
440,Lieutenant Governor (0440) ,200,Lieutenant Governor,Non-Merit,4,38,6.0,0%
25,"Military Department, Oklahoma (0025) ",1200,Military,Merit,329,47,9.0,19.8%
49,Attorney General (0049) ,1300,Safety and Security,Non-Merit,170,47,11.2,7.1%
772,Board of Tests for Alcohol and Drug Influence (0772) ,1300,Safety and Security,Non-Merit,6,39,5.7,0%
308,Bureau of Investigation - OSBI (0308) ,1300,Safety and Security,Merit,299,45,12.8,7.4%
131,Corrections Department (0131) ,1300,Safety and Security,Merit,3917,45,11.0,22.1%
415,Council on Law Enforcement Education & Training - CLEET (0415) ,1300,Safety and Security,Non-Merit,42,47,6.0,4.8%
220,District Attorneys Council (0220) ,1300,Safety and Security,Non-Merit,1079,45,9.7,14.5%
309,Emergency Management (0309) ,1300,Safety and Security,Merit,29,55,12.2,0%
310,Fire Marshal (0310) ,1300,Safety and Security,Merit,18,52,12.1,33.3%
47,Indigent Defense System (0047) ,1300,Safety and Security,Non-Merit,107,49,12.6,8.4%
342,"Medicolegal Investigations, Board of (0342) ",1300,Safety and Security,Non-Merit,74,43,6.8,14.9%
477,Narcotics & Dangerous Drugs Control (0477) ,1300,Safety and Security,Merit,136,43,11.9,4.4%
306,Pardon and Parole Board (0306) ,1300,Safety and Security,Merit,22,47,15.1,50%
585,Public Safety Department (0585) ,1300,Safety and Security,Merit,1435,45,13.5,8%
30,Top ABLE Commission (0030) ,1300,Safety and Security,Merit,35,50,19.8,11.4%
628,Center for Advancement of Science & Technology - OCAST (0628) ,1400,Science and Technology,Merit,15,51,14.8,33.3%
270,Election Board (0270) ,1500,Secretary of State,Non-Merit,17,69,13.7,17.6%
296,Ethics Commission (0296) ,1500,Secretary of State,Merit,5,49,11.1,40%
678,"Judicial Complaints, Council on (0678) ",1500,Secretary of State,Non-Merit,4,56,24.8,25%
625,Secretary of State (0625) ,1500,Secretary of State,Merit,24,49,15.1,37.5%
350,Historical Society (0350) ,400,Tourism,Merit,134,49,12.0,9.7%
204,J.M. Davis Memorial Commission (0204) ,400,Tourism,Non-Merit,4,53,6.6,25%
