X,Y,OBJECTID,Loc_name,Status,Score,Match_type,Match_addr,User_fld,Addr_type,Side,ARC_Street,ARC_City,ARC_State,ARC_ZIP,Facility_Name,Notification_ID,Facility_Address,Abatement_Contractor,Demo_Contractor,DateStartActual,MonthStart,DayStart,YearStart,DateEndActual,MonthEnd,DayEnd,YearEnd,GEOID10_Tract,ZCTA5CE10,DRPS_ResStr,D3_SurveyParcelID
13476712.7263779,338268.520013124,1,ParcelLocator_,M,100.0,A,"17232 JUSTINE ST, DETROIT, MI, 48212",13018720.,StreetAddress,,17232 JUSTINE ST,Detroit,MI,482,,20133345,17232 JUSTINE,,JOY CONSTRUCTION LEA,2013/01/23 00:00:00+00,1,23,2013,2013/02/23 00:00:00+00,2.0,23,2013,26163506400.0,48212.0,1.0,13018720.21030
13476720.5590551,338036.095144361,2,ParcelLocator_,M,100.0,A,"17184 JUSTINE ST, DETROIT, MI, 48212",13018712.,StreetAddress,,17184 JUSTINE ST,Detroit,MI,482,,20133344,17184 JUSTINE,,JOY CONSTRUCTION LEA,2013/01/23 00:00:00+00,1,23,2013,2013/02/23 00:00:00+00,2.0,23,2013,26163506400.0,48212.0,,13018712.21030
13476716.3654856,338156.033792645,3,ParcelLocator_,M,100.0,A,"17208 JUSTINE ST, DETROIT, MI, 48212",13018716.,StreetAddress,,17208 JUSTINE ST,Detroit,MI,482,,20133342,17208 JUSTINE,,JOY CONSTRUCTION LEA,2013/01/23 00:00:00+00,1,23,2013,2013/02/23 00:00:00+00,2.0,23,2013,26163506400.0,48212.0,1.0,13018716.21030
13492975.1351706,346351.853346452,4,ParcelLocator_,M,100.0,A,"12513 E STATE FAIR, DETROIT, MI, 48205",21024251-2,StreetAddress,,12513 E. STATE FAIR,DETROIT,MI,482,RESIDENTIAL STRUCTURE,20133333,12513 E. STATE,PROFESSIONAL ABATEME,ABLE DEMOLITION INC,2013/01/29 00:00:00+00,1,29,2013,2013/01/30 00:00:00+00,1.0,30,2013,26163503200.0,48205.0,1.0,21024251-2
13499362.1958661,339710.212270334,5,ParcelLocator_,M,100.0,A,"14446 YOUNG ST, DETROIT, MI, 48205",21015494.,StreetAddress,,14446 YOUNG ST,Detroit,MI,482,RESIDENTIAL STRUCTURE,20133330,14446 YOUNG,PROFESSIONAL ABATEME,ABLE DEMOLITION INC,2013/01/29 00:00:00+00,1,29,2013,2013/01/30 00:00:00+00,1.0,30,2013,26163500500.0,48205.0,,21015494.21969
13500890.4819554,341656.203412071,6,ParcelLocator_,M,100.0,A,"14900 MAPLERIDGE ST, DETROIT, MI, 48205",21017428.,StreetAddress,,14900 MAPLERIDGE ST,DETROIT,MI,482,RESIDENTIAL STRUCTURE,20133328,14900 MAPLERIDG,PROFESSIONAL ABATEME,ABLE DEMOLITION INC,2013/01/29 00:00:00+00,1,29,2013,2013/01/30 00:00:00+00,1.0,30,2013,26163500600.0,48205.0,1.0,21017428.23397
13497099.3097113,346265.366469815,7,ParcelLocator_,M,100.0,A,"13847 TACOMA ST, DETROIT, MI, 48205",21023769.,StreetAddress,,13847 TACOMA ST,Detroit,MI,482,RESIDENTIAL STRUCTURE,20133327,13847 TACOMA,PROFESSIONAL ABATEME,ABLE DEMOLITION INC,2013/01/29 00:00:00+00,1,29,2013,2013/01/30 00:00:00+00,1.0,30,2013,26163503400.0,48205.0,1.0,21023769.26308
13509283.4776903,338400.855971128,8,ParcelLocator_,M,100.0,A,"10131 LANARK ST, DETROIT, MI, 48224",21068599.,StreetAddress,,10131 LANARK ST,Detroit,MI,482,RESIDENTIAL STRUCTURE,20133326,10131 LANARK,PROFESSIONAL ABATEME,ABLE DEMOLITION INC,2013/01/29 00:00:00+00,1,29,2013,2013/01/30 00:00:00+00,1.0,30,2013,26163500900.0,48224.0,1.0,21068599.21269
13490368.0416667,321505.329724416,9,ParcelLocator_,M,100.0,A,"4556 MAXWELL AVE, DETROIT, MI, 48214",17008287.,StreetAddress,,4556 MAXWELL AVE,Detroit,MI,482,RESIDENTIAL STRUCTURE,20133322,4556 MAXWELL,PROFESSIONAL ABATEME,ABLE DEMOLITION INC,2013/01/29 00:00:00+00,1,29,2013,2013/01/30 00:00:00+00,1.0,30,2013,26163516000.0,48214.0,1.0,17008287.10732
13463956.0646326,300607.198162735,10,ParcelLocator_,M,100.0,A,"2117 CAVALRY ST, DETROIT, MI, 48209",16015117.,StreetAddress,,2117 CAVALRY ST,Detroit,MI,482,ABANDONE/VACANT STRUCTURE,20133315,2117 CAVALRY,,"1 WAY SERVICE, INC.",2013/01/28 00:00:00+00,1,28,2013,2013/01/29 00:00:00+00,1.0,29,2013,26163523200.0,48209.0,1.0,16015117.1491
13503551.6961942,331479.362204731,11,ParcelLocator_,M,100.0,A,"5583 MANISTIQUE ST, DETROIT, MI, 48224",21061447.,StreetAddress,,5583 MANISTIQUE ST,Detroit,MI,482,ABANDONED RESIDENTIAL HOM,20133314,5583 MANISTIQUE,,JOY CONSTRUCTION LEA,2013/01/19 00:00:00+00,1,19,2013,2013/01/26 00:00:00+00,1.0,26,2013,26163512100.0,48224.0,,21061447.16624
13486479.3772966,313898.052493438,12,ParcelLocator_,M,100.0,A,"2524 ELMWOOD ST, DETROIT, MI, 48207",13010428.,StreetAddress,,2524 ELMWOOD ST,Detroit,MI,482,ABANDONED RESIDENTIAL HOM,20133313,2524 ELMWOOD,,JOY CONSTRUCTION LEA,2013/01/19 00:00:00+00,1,19,2013,2013/01/26 00:00:00+00,1.0,26,2013,26163516800.0,48207.0,1.0,13010428.5792
13489069.3664698,316658.259186357,13,ParcelLocator_,M,100.0,A,"3102 CANTON ST, DETROIT, MI, 48207",15010009.001,StreetAddress,,3102 CANTON ST,Detroit,MI,482,ABANDONED RESIDENTIAL HOM,20133312,3102 CANTON,,JOY CONSTRUCTION LEA,2013/01/17 00:00:00+00,1,17,2013,2013/01/26 00:00:00+00,1.0,26,2013,26163516300.0,48207.0,1.0,15010009.001
13507364.2572179,332573.013451442,14,ParcelLocator_,M,100.0,A,"5261 HAVERHILL ST, DETROIT, MI, 48224",21070225.,StreetAddress,,5261 HAVERHILL ST,Detroit,MI,482,ABANDONED RESIDENTIAL HOM,20133311,5261 HAVERHILL,,JOY CONSTRUCTION LEA,2013/01/19 00:00:00+00,1,19,2013,2013/01/26 00:00:00+00,1.0,26,2013,26163501300.0,48224.0,1.0,21070225.17295
13483307.0328084,321190.350065619,15,ParcelLocator_,M,100.0,A,"5518 MORAN RD, DETROIT, MI, 48211",13010254.,StreetAddress,,5518 MORAN RD,Detroit,MI,482,ABANDONED RESIDENTIAL HOM,20133309,5518 MORAN,,JOY CONSTRUCTION LEA,2013/01/19 00:00:00+00,1,19,2013,2013/01/26 00:00:00+00,1.0,26,2013,26163518500.0,48211.0,1.0,13010254.10518
