ObjectId,INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,CRIME_TYPE,UOR_DESC,LEOKA_APPLIES,OFFICER_KILLED,TYPE_OF_ASSIGNMENT,TYPE_OF_ACTIVITY,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,OFFENSE_CITY,OFFENSE_ZIP
1,80-14-008268,2014/02/02 12:30:00+00,2014/02/02 10:43:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)              ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,3RD DIVISION,331,HIGHWAY / ROAD / ALLEY                       ,7200 BLOCK RIVERPORT DR                                     ,LOUISVILLE,40258
2,80-12-039148,2012/05/17 18:33:59+00,2012/05/17 18:33:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,ALL OTHER                                              ,13A,PART I,COMPLETED,2ND DIVISION,223,HIGHWAY / ROAD / ALLEY                       ,1000 BLOCK S 32ND ST                                        ,LOUISVILLE,40211
3,80-14-095743,2014/12/12 23:00:00+00,2014/12/12 20:50:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,7TH DIVISION,736,PARKING LOT / GARAGE                         ,PRESTON HWY / ST RITA DR                                    ,LOUISVILLE,40219
4,80-14-015092,2014/03/03 09:17:00+00,2014/03/03 08:21:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY                       ,4400 BLOCK GATEWOOD AVE                                     ,LOUISVILLE,40215
5,80-15-018292,2015/03/14 17:42:59+00,2015/03/14 17:42:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,ALL OTHER                                              ,13A,PART I,COMPLETED,1ST DIVISION,112,OTHER RESIDENCE (APARTMENT/CONDO)            ,2600 BLOCK W CHESTNUT ST                                    ,LOUISVILLE,40211
6,80-12-050315,2012/06/25 03:56:00+00,2012/06/24 06:00:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,ALL OTHER                                              ,13A,PART I,COMPLETED,8TH DIVISION,823,HIGHWAY / ROAD / ALLEY                       ,EASTWOOD CUT OFF RD / SHELBYVILLE RD                        ,LOUISVILLE,40245
7,80-14-081035,2014/10/21 04:21:59+00,2014/10/21 04:21:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE       ,13A,PART I,COMPLETED,1ST DIVISION,135,HIGHWAY / ROAD / ALLEY                       ,400 BLOCK E MUHAMMAD ALI BLVD                               ,LOUISVILLE,40202
8,80-15-032555,2015/05/03 07:41:59+00,2015/05/03 07:37:00+00,ASSAULT,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,RESPONDING TO DISTURBANCE CALLS                        ,13B,PART II,COMPLETED,1ST DIVISION,112,PARKING LOT / GARAGE                         ,2600 BLOCK W BROADWAY                                       ,LOUISVILLE,40211
9,80-12-001994,2012/01/08 04:53:00+00,2012/01/07 05:19:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,8TH DIVISION,824,HIGHWAY / ROAD / ALLEY                       ,HERITAGE HILL TRL  / SHELBYVILLE RD                         ,LOUISVILLE,40243
10,80-15-005831,2015/01/23 03:37:59+00,2015/01/23 03:36:59+00,ASSAULT,MURDER - POLICE OFFICER ATTEMPTED,YES,NO,DETECTIVE OR SPECIAL ASSIGNMENT ASSISTED               ,ALL OTHER                                              ,13A,PART I,COMPLETED,2ND DIVISION,211,HIGHWAY / ROAD / ALLEY                       ,600 BLOCK S 35TH ST                                         ,LOUISVILLE,40211
