OBJECTID,CYCLE,NAME,LOCATION,MILES,NHD_BASIN,AQUATIC_LIFE,RECREATION,FISH_CONSUMPTION,DRINKING_WATER_SUPPLY,Shape__Length
1,2010,French River-01,"From mouth at confluence with Quinebaug River (just DS of West Thompson Flood Control dam), US to North Grosvenordale Pond outlet dam (just US of Buckley Hill Road crossing), Thompson.",4.61,1100001,Insufficient Information,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,24349.5341708811
11,2010,Moosup River-03,"From Brunswick Mill Dam #1 (first impoundment in Almyville, parallel to Route 14), Plainfield, US to Rhode Island border.",7.36,1100001,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,38843.8145446399
13,2010,Ekonk Brook-01,"From mouth at confluence with Moosup River (DS of River Street crossing), US to headwaters at Lockes Meadow Pond outlet dam, Plainfield.",4.5,1100001,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,23741.2492635511
22,2010,Quinebaug River-01,"From mouth at confluence with Shetucket River, at Lisbon/Norwich border, US to Aspinook Pond outlet dam (US of River Road (Route 12) crossing), Lisbon/Griswold border.",7.46,1100001,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,39405.3170209153
25,2010,Quinebaug River-04,"From confluence with Moosup River (river forms town boundary for Canterbury and Plainfield), US to Putnum POTW (parallel to Kennedy Drive near I-395), Putnam.",17.61,1100001,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,93004.1998788036
26,2010,Quinebaug River-05,"From just US of Putnum POTW (just DS of Railroad crossing), US to confluence with French River, Thompson.",3.32,1100001,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,17506.6397491418
28,2010,Quinebaug River-07,"From inlet to West Thompson Lake (Reservoir) just DS of  Blain Road crossing, US to Massachusetts border (US of Route 197 crossing), Thompson.",6.4,1100001,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,33778.6222700516
29,2010,Little River (Putnam)-01,"From mouth at confluence with Quinebaug River (just DS of Route 44 crossing), Putnum, US to drinking water watershed boundary (outlet of marsh, parallel to Peake Brook Road, DS of Shepherds Pond), Woodstock (southeast corner).",2.64,1100001,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,13938.2937328827
31,2010,Muddy Brook (Woodstock)-01,"From mouth at inlet to Roseland Lake, US to Route 197 crossing, Woodstock.",5.44,1100001,Not Assessed,Not Supporting,Fully Supporting,Not Assessed,28718.2142258139
32,2010,Muddy Brook (Woodstock)-02,"From Route 197 crossing, US to confluence with Moss Brook (just DS of Route 169 crossing, Sherman corner area), Woodstock.",1.98,1100001,Not Supporting,Not Assessed,Fully Supporting,Not Assessed,10464.8008916584
34,2010,North Running Brook-01,"From mouth at confluence with Muddy Brook, US to runoff ditch from farm field (300Ft US of farm road crossing) (farm road crossing is 900Ft US of Muddy Brook confluence, farm road is off of Child Hill Road), Woodstock.",0.19,1100001,Not Supporting,Not Assessed,Fully Supporting,Not Assessed,1027.41667673479
