OBJECTID_12_13,PIN,MAJOR,MINOR,ADDRESS,APT_CONV,B_COM_GRSSQF,B_OTH_GRSSQF,B_PRKG_GRSSQF,B_RES_GRSSQF,BLDG_AV,BLDG_DESC,COM_GRSSQF,EFF_YEAR_MAX,GRSS_SQFT,HOUSE,JURIS_NAME,KCA_AREA,LAND_AV,LEVY_CD,LOT_SQFT,LU_GEN_CAT,LU_GEN_DESC,LU_PLN_CAT,LU_PLN_DESC,NR_BLDGS,NR_STORIES_MAX,NR_UNITS,OTH_GRSSQF,PRES_USE,PRKG_GRSSQF,PROP_NAME,PROP_TYPE,PUB_OWN_CATEGORY,PUB_OWN_TYPE,PUC,RES_GRSSQF,ROLL_YR,STR_ZIP,SUBAREA,TAXPAYER,TAX_ADDRESS,TAX_ATTENTION,TAX_CITY,TAX_ZIP,TAX_STATUS,USE_CATEGORY,YR_BUILT_MAX,YR_RENOV_MAX,GEOM_AREA,GEOM_PERIMETER,BUFFER,TC_ID,OBJECTID,TC_ID_1,Total_A,Can_A,Grass_A,Soil_A,Water_A,Build_A,Road_A,Paved_A,Perv_A,Imperv_A,Can_P,Grass_P,Soil_P,Water_P,Build_P,Road_P,Paved_P,Perv_P,Imperv_P,OBJECTID_1,TC_E_A,TC_Pv_A,TC_Land_A,TC_Pi_A,TC_P_A,TC_E_P,TC_Pv_P,TC_P_P,TC_Pi_P,TC_Land_A_1,Gain,Loss,No_Change,TreeCanopy_2016_Area,TreeCanopy_2021_Area,Change_Area,Change_PercentChange,TreeCanopy_2016_Percent,TreeCanopy_2021_Percent,Change_Percent_AbsDiff,TC_ID_12,OBJECTID_12,TC_ID_12_13,Shape__Area,Shape__Length
1,6840701230,684070,1230,400   23RD AVE, ,0,0,0,0,23869700,GARFIELD HIGH SCHOOL,0,2000,225111,400,SEATTLE,25,50961400,10,424679,6,Major Institution And Public Facilities/Utilities,16,Schools,2,3,0,225111,School(Public),0,GARFIELD HIGH SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98122,45,SEATTLE SCHOOL DISTRICT NO,2445 3RD AVE S, ,SEATTLE  WA,98134,X,O,1900,2000,424637.86545008,2625.1528867,Y,1,1,,424617,11566,206127,0,0,141735,0,65189,217693,206924,2.7238664490588,48.5442174948247,0.0,0.0,33.3794925780174,0.0,15.3524234780991,51.2680839438835,48.7319160561165,,11566,206127,424617,65189,271316,2.7238664490588,48.5442174948247,63.8966409729238,15.3524234780991,,2059,182,9507,9689,11566,1877,19.3724842605016,2.28182102930406,2.7238664490588,0.442045419754744,,,,424635.71282959,2625.13382380302
2,2225039016,222503,9016,2550   34TH AVE W, ,0,0,0,0,5352300,storage building,432,2007,167996,2550,SEATTLE,20,40254100,10,670902,6,Major Institution And Public Facilities/Utilities,15,Public Facilities,4,1,0,167564,Governmental Service,0,community center,C,CITY OF SEATTLE,CITY OF SEATTLE,172,0,2019,98199,20,SEATTLE CITY OF DPR,800 MAYNARD AVE S 3RD FL,PROPERTY MANAGEMENT,SEATTLE  WA,98134,X,O,2007,2007,670905.15512811,4501.77559319,Y,2,2,,670906,142443,292463,41132,0,102244,1936,90688,476038,194868,21.2314392776335,43.5922469019505,6.13081415280233,0.0,15.2396908061636,0.288565015069175,13.5172438463809,70.9545003323863,29.0454996676136,,142443,292463,670906,131820,424283,21.2314392776335,43.5922469019505,63.2403049011337,19.6480579991832,,9758,8004,132685,140689,142443,1754,1.24672149208538,20.9700017588157,21.2314392776335,0.261437518817839,,,,670902.615112305,4501.7663444447
3,3416600240,341660,240,111   32ND AVE, ,0,0,0,0,4981500,LESCHI SCHOOL,0,1989,58654,111,SEATTLE,40,6450000,10,129000,6,Major Institution And Public Facilities/Utilities,16,Schools,1,3,0,58654,School(Public),0,LESCHI SCHOOL-EXEMPT,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98122,30,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 M/S 23-365, ,SEATTLE  WA,98124,X,O,1989,1989,128968.98814941,1539.78139265,Y,3,3,,128977,16059,28826,2304,0,34734,4003,43051,47189,81788,12.451057165231,22.3497212681331,1.78636501081588,0.0,26.9303829364926,3.10365413988541,33.3788194794421,36.58714344418,63.41285655582,,16059,28826,128977,45355,74181,12.451057165231,22.3497212681331,57.514905758391,35.1651844902579,,2060,407,13999,14406,16059,1653,11.4743856726364,11.1694333098149,12.451057165231,1.28162385541608,,,,128968.436676025,1539.77820285008
4,7821200700,782120,700,4400   INTERLAKE AVE N, ,0,15870,0,0,8607300,SCHOOL GYMNASIUM,18461,1959,248240,4400,SEATTLE,17,46676100,10,291726,6,Major Institution And Public Facilities/Utilities,16,Schools,4,4,0,213909,School(Public),0,LOWELL ELEMENTARY (formerly Lincoln HS),C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98103,10,SEATTLE PUBLIC SCHOOLS,PO BOX 34165,JOHN STANFORD CNT MS 23-365,SEATTLE  WA,98124,X,O,1959,1959,291487.04639287,2200.6196608,Y,4,4,,291482,38780,38618,0,0,117820,3984,92280,77398,214084,13.3044236007712,13.2488455547855,0.0,0.0,40.4210208520595,1.36680824201838,31.6589017503654,26.5532691555568,73.4467308444432,,38780,38618,291482,92280,130898,13.3044236007712,13.2488455547855,44.9077473051509,31.6589017503654,,791,6464,37989,44453,38780,-5673,-12.7617933547792,15.2506844333441,13.3044236007712,-1.94626083257285,,,,291485.866577148,2200.61563351796
5,688000090,68800,90,301   21ST AVE E, ,0,0,0,0,4473200,SCHOOL,0,1980,94620,301,SEATTLE,25,6699000,10,89321,6,Major Institution And Public Facilities/Utilities,16,Schools,1,1,0,94620,School(Public),0,Meany Middle School (primary parcel),C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98112,46,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 - M/S 23-365, ,SEATTLE  WA,98124,X,O,1902,1980,89014.39229536,1226.32653631,Y,5,5,,178578,15583,20887,0,0,134508,3374,4226,36470,142108,8.72615887735331,11.6962895765436,0.0,0.0,75.3217081611397,1.88937047116666,2.36647291379677,20.4224484538969,79.5775515461031,,15583,20887,178578,4226,25113,8.72615887735331,11.6962895765436,14.0627624903404,2.36647291379677,,1445,6183,14138,20321,15583,-4738,-23.3157817036563,11.3793412402424,8.72615887735331,-2.65318236288905,,,,178587.266784668,1847.18431478543
6,3517000005,351700,5,1700  N 90TH ST, ,0,0,0,0,21681000,DAY CARE CENTER,5509,2016,102890,1700,SEATTLE,19,23735600,10,339080,6,Major Institution And Public Facilities/Utilities,16,Schools,2,2,0,97381,School(Public),0,CASCADIA ELEMENTARY SCHOOL (WILSON PACIFIC ELEMENT,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98103,40,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 M/S 23-365, ,SEATTLE  WA,98124,X,O,2016,2016,339879.53139161,2476.85886378,Y,6,6,,339879,7554,2907,261771,0,66644,0,1003,272232,67647,2.22255567422524,0.855304387737989,77.018880248559,0.0,19.6081546668079,0.0,0.295105022669832,80.0967403105223,19.9032596894777,,7554,2907,339879,262774,265681,2.22255567422524,0.855304387737989,78.1692896589669,77.3139852712289,,2502,96,5052,5148,7554,2406,46.7365967365967,1.51465668664436,2.22255567422524,0.707898987580874,,,,339878.20123291,2476.85373618657
7,809000005,80900,5,201   GARFIELD ST, ,0,0,0,0,4393200,SCHOOL,9015,1989,50885,201,SEATTLE,20,21462000,10,138465,6,Major Institution And Public Facilities/Utilities,16,Schools,1,2,0,41870,School(Public),0,JOHN HAY ELEMENTARY SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98109,30,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 - M/S 23-365, ,SEATTLE  WA,98124,X,O,1989,1989,142215.80527481,1612.34548085,Y,7,7,,142217,30254,33307,0,0,38720,0,39936,63561,78656,21.2731248725539,23.4198443224087,0.0,0.0,27.2259997046767,0.0,28.0810311003607,44.6929691949626,55.3070308050374,,30254,33307,142217,39936,73243,21.2731248725539,23.4198443224087,51.5008754227694,28.0810311003607,,2973,1783,27281,29064,30254,1190,4.09441233140655,20.4363753981592,21.2731248725539,0.836749474394765,,,,142215.194702148,1612.3420953868
8,1703400755,170340,755,3528  S FERDINAND ST, ,0,1425,0,0,1207200,COLUMBIA SCHOOL,0,1965,27662,3528,SEATTLE,40,14040000,10,140400,6,Major Institution And Public Facilities/Utilities,16,Schools,1,1,0,26237,School(Public),0,COLUMBIA SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98118,60,SEATTLE PUBLIC SCHOOLS,PO BOX 34165-M/S 23-365, ,SEATTLE  WA,98124,X,O,1926,1965,140472.88779543,1668.93900218,Y,8,8,,140471,16640,51521,6267,0,34122,0,31921,74428,66043,11.8458614233543,36.6773212976344,4.46141908294239,0.0,24.2911348249817,0.0,22.7242633710873,52.9846018039311,47.0153981960689,,16640,51521,140471,38188,89709,11.8458614233543,36.6773212976344,63.8630037516641,27.1856824540297,,2029,1216,14611,15827,16640,813,5.13679155872875,11.2670942756868,11.8458614233543,0.57876714766749,,,,140472.38243103,1668.93611384468
9,2126049041,212604,9041,13018   20TH AVE NE, ,0,0,0,0,20765800,ELEMENTARY SCHOOL (PUBLIC),0,2017,94480,13018,SEATTLE,10,3957800,10,282704,6,Major Institution And Public Facilities/Utilities,16,Schools,1,1,0,94480,School(Public),0,OLYMPIC HILLS SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98125,30,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 M/S 23-365, ,SEATTLE  WA,98124,X,O,2017,2017,286344.23589876,2641.24801957,Y,9,9,,286344,10900,129043,0,0,74874,0,71527,139943,146401,3.80661023105076,45.0657251417875,0.0,0.0,26.1482692146509,0.0,24.9793954125108,48.8723353728383,51.1276646271617,,10900,129043,286344,71527,200570,3.80661023105076,45.0657251417875,70.0451205542983,24.9793954125108,,3309,1518,7591,9109,10900,1791,19.6618728729828,3.18113877015059,3.80661023105076,0.625471460900176,,,,286343.125762939,2641.24318632216
10,7129302300,712930,2300,9709   60TH AVE S, ,0,0,0,0,16147900,ELEM SCHOOL,0,2000,70640,9709,SEATTLE,36,1995700,10,79830,6,Major Institution And Public Facilities/Utilities,16,Schools,1,3,0,70640,School(Public),0,EMERSON ELEM SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98118,70,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 - M/S 23-365, ,SEATTLE  WA,98124,X,O,1909,2000,79889.50987897,1163.96851238,Y,10,10,,79889,8831,12864,0,0,42101,3,16090,21695,58194,11.0540875464707,16.1023419995243,0.0,0.0,52.6993703763972,0.0037552103543666,20.1404448672533,27.1564295459951,72.8435704540049,,8831,12864,79889,16090,28954,11.0540875464707,16.1023419995243,36.2427868667777,20.1404448672533,,959,901,7872,8773,8831,58,0.6611193434401,10.981486812953,11.0540875464707,0.0726007335177581,,,,79889.1887207031,1163.96597058466
