ObjectId,ID,Permit_Number,Permit_Subtype,Permit_Description,Street_Address,City,State,ZIP_Code,Date_Issued,Project_Start_Date,Project_End_Date,Permit_Type_Code,Subtype_Code
1,101,247547,H7CONVR,ABANDONED HOUSE 1104 S 17TH ST,1104 S 17TH ST,LOUISVILLE,KY,40210,,2009-04-27 00:00:00,2009-05-09 00:00:00,ASBESTOS,H7CONVR
2,102,247580,H7CONVR,HENRY VOGT OFFICE BUILDING,1000 W ORMSBY AVE,LOUISVILLE,KY,40210,,2009-03-25 00:00:00,2009-03-26 00:00:00,ASBESTOS,H7CONVR
3,103,247722,Regulated Abatement for Renov.,OLD BEARNOS MAIN ST,131 W MAIN ST,LOUISVILLE,KY,40202,,2009-04-14 00:00:00,2009-05-30 00:00:00,ASBESTOS,RENOABATE
4,104,247727,Regulated Abatement for Renov.,MSD DEWATERING BUILDING,4522 ALGONQUIN PKY,LOUISVILLE,KY,40211,,2009-04-15 00:00:00,2009-04-30 00:00:00,ASBESTOS,RENOABATE
5,105,247993,Long-Term Abatement,U OF L HOSPITAL,529 S JACKSON ST,LOUISVILLE,KY,40202,2009-12-09 17:10:00,2009-01-31 00:00:00,2009-12-31 00:00:00,ASBESTOS,LONGTERM
6,106,248027,Regulated Abatement for Demo,TARGET STORE # TO118,4174 WESTPORT RD,ST MATTHEWS,KY,40207,,2009-02-12 00:00:00,2009-02-13 00:00:00,ASBESTOS,DEMOABATE
7,107,247323,Regulated Abatement for Renov.,JCPS LINCOLN ELEMENTARY SCHOOL,930 E MAIN ST,LOUISVILLE,KY,40206,,2009-06-07 00:00:00,2009-06-07 00:00:00,ASBESTOS,RENOABATE
8,108,247332,Blanket Abatement,JCPS CROSBY MIDDLE SCHOOL,303 GATEHOUSE LN,DOUGLASS HILLS,KY,40243,,2009-03-31 00:00:00,2009-03-31 00:00:00,ASBESTOS,BLANKET
9,109,247419,Regulated Abatement for Renov.,REYNOLDS FLEXIBLE PACKAGING,1225 W BURNETT AVE,LOUISVILLE,KY,40210,,2009-06-22 00:00:00,2009-06-22 00:00:00,ASBESTOS,RENOABATE
10,110,247467,Regulated Abatement for Renov.,DAHLEM CENTER,810 EASTERN PKY,LOUISVILLE,KY,40217,,2009-05-07 00:00:00,2009-07-21 00:00:00,ASBESTOS,RENOABATE
11,111,247485,H7CONVR,ABANDONED HOUSE 1818 CROP ST,1818 CROP ST,LOUISVILLE,KY,40203,2011-06-07 10:22:31,2009-05-04 00:00:00,2009-05-13 00:00:00,ASBESTOS,H7CONVR
12,112,247734,Regulated Abatement for Renov.,NORTON HOSPITAL CARDIAC AREA,200 E CHESTNUT ST,LOUISVILLE,KY,40202,,2009-03-10 00:00:00,2009-03-11 00:00:00,ASBESTOS,RENOABATE
13,113,246305,Blanket Abatement,JCPS C B YOUNG SERVICE CENTER,3001 CRITTENDEN DR,LOUISVILLE,KY,40209,,2009-08-17 00:00:00,2009-08-17 00:00:00,ASBESTOS,BLANKET
14,114,246308,H7CONVR,TWO HOUSES 940 & 948 CLAY RD,940 W CLAY RD,LOUISVILLE,KY,40219,2010-04-12 09:47:00,2010-01-18 00:00:00,2010-03-18 00:00:00,ASBESTOS,H7CONVR
15,115,246373,Regulated Abatement for Renov.,TRINITY PRESBYTERIAN CHURCH,10200 SHELBYVILLE RD,BLUE RIDGE MANOR,KY,40223,,2009-08-20 00:00:00,2009-08-22 00:00:00,ASBESTOS,RENOABATE
16,116,246112,Regulated Abatement for Renov.,CHURCH-523 EVELYN AVENUE,523 W EVELYN AVE,LOUISVILLE,KY,40215,,2009-10-05 00:00:00,2009-10-06 00:00:00,ASBESTOS,RENOABATE
17,117,246137,H7CONVR,ST JAMES ACADEMY,4049 S 5TH ST,LOUISVILLE,KY,40214,,2009-10-08 00:00:00,2009-10-10 00:00:00,ASBESTOS,H7CONVR
18,118,246193,Regulated Abatement for Renov.,JCPS THOMAS JEFFERSON MIDDLE,1501 RANGELAND RD,LOUISVILLE,KY,40219,,2009-08-12 00:00:00,2009-08-12 00:00:00,ASBESTOS,RENOABATE
19,119,358147,H7CONVR,IPL HOUSE 1721 LYTLE ST.,1721 LYTLE ST,LOUISVILLE,KY,40203,2013-04-09 13:58:32,2013-04-08 00:00:00,2013-04-09 00:00:00,ASBESTOS,H7CONVR
20,120,246352,Regulated Abatement for Renov.,SPALDING UNIVERSITY LIBRARY,318 W BRECKINRIDGE ST,LOUISVILLE,KY,40203,,2009-08-07 00:00:00,2009-08-08 00:00:00,ASBESTOS,RENOABATE
21,121,246359,Regulated Abatement for Renov.,JCPS JEFFERSON CO HIGH SCHOOL,12400 SHELBYVILLE RD,MIDDLETOWN,KY,40243,,2008-07-21 00:00:00,2009-07-21 00:00:00,ASBESTOS,RENOABATE
22,122,246265,Blanket Abatement,JCPS MOORE TRAD HIGH SCHOOL,6415 OUTER LOOP,LOUISVILLE,KY,40228,,2009-08-19 00:00:00,2009-08-19 00:00:00,ASBESTOS,BLANKET
23,123,360706,Regulated Abatement Other,ABANDONED HOUSE IPL,220 N 18TH ST,LOUISVILLE,KY,40203,2013-05-08 11:36:18,2013-05-13 00:00:00,2013-05-31 00:00:00,ASBESTOS,OTHERABATE
24,124,361871,Regulated Abatement Other,HOUSE IPL 2810 DUNCAN ST.,2810 DUNCAN ST,LOUISVILLE,KY,40212,2013-05-15 15:26:02,2013-05-23 00:00:00,2013-06-14 00:00:00,ASBESTOS,OTHERABATE
25,125,361575,Long-Term Abatement,JCPS SHACKLETTE ES LTF,5310 MERCURY DR,LOUISVILLE,KY,40258,2013-05-13 12:38:00,2013-07-02 00:00:00,2014-07-02 00:00:00,ASBESTOS,LONGTERM
26,126,361769,Regulated Abatement Other,U OF L CHEMISTRY BUILDING,2320 S BROOK ST,LOUISVILLE,KY,40208,2013-05-13 12:09:00,2013-05-23 00:00:00,2013-05-31 00:00:00,ASBESTOS,OTHERABATE
27,127,359110,H7CONVR,KINDRED HEALTH,1313 ST ANTHONY PL,LOUISVILLE,KY,40204,2013-04-15 15:35:24,2013-04-29 00:00:00,2013-05-03 00:00:00,ASBESTOS,H7CONVR
28,128,361090,Regulated Abatement for Renov.,BELLARMINE UNIV PASTEUR HALL,2001 NEWBURG RD,LOUISVILLE,KY,40205,2013-05-06 15:38:23,2013-05-21 00:00:00,2013-06-15 00:00:00,ASBESTOS,RENOABATE
29,129,352804,H7CONVR,11201 MITCHELL ROAD,11201 MITCHELL HILL RD,LOUISVILLE,KY,40118,,2013-02-13 00:00:00,2013-05-13 00:00:00,ASBESTOS,H7CONVR
30,130,353682,H7CONVR,ABANDONED HOUSE IPL,2124 W MADISON ST,LOUISVILLE,KY,40211,2013-02-14 14:05:20,2013-02-11 00:00:00,2013-02-14 00:00:00,ASBESTOS,H7CONVR
31,131,353724,H7CONVR,ABANDONED HOUSE IPL,1517 GALLAGHER ST,LOUISVILLE,KY,40210,2013-02-14 14:03:26,2013-02-09 00:00:00,2013-02-13 00:00:00,ASBESTOS,H7CONVR
32,132,353969,Regulated Abatement for Renov.,JCPS MYERS MS,3741 PULLIAM DR,LOUISVILLE,KY,40218,2013-02-18 07:56:29,2013-02-26 00:00:00,2014-02-26 00:00:00,ASBESTOS,RENOABATE
33,133,354631,Regulated Abatement for Renov.,CHURCH,3309 E INDIAN TRL,LOUISVILLE,KY,40213,2013-02-26 12:24:00,2013-03-01 00:00:00,2013-03-08 00:00:00,ASBESTOS,RENOABATE
34,134,354642,Regulated Abatement for Renov.,KENESETH ISRAEL CONGREGATION,2531 TAYLORSVILLE RD,SENECA GARDENS,KY,40205,2013-02-26 12:15:42,2013-04-03 00:00:00,2013-04-05 00:00:00,ASBESTOS,RENOABATE
35,135,346818,H7CONVR,OFFICE BUILDING,11405 PARK RD,ANCHORAGE,KY,40223,2012-11-09 12:11:00,2012-12-03 00:00:00,2012-12-31 00:00:00,ASBESTOS,H7CONVR
36,136,348482,H7CONVR,IPL- RESIDENTIAL 2706 SLEVIN,2706 SLEVIN ST,LOUISVILLE,KY,40212,,2012-10-01 00:00:00,2012-11-01 00:00:00,ASBESTOS,H7CONVR
37,137,348918,Blanket Abatement,U OF L HEALTH SCIENCE NOFRBKT,500 S PRESTON ST,LOUISVILLE,KY,40202,2012-12-13 13:22:00,2013-01-01 00:00:00,2013-12-31 00:00:00,ASBESTOS,BLANKET
