NDC1,NDC2,NDC3,NDC-11,FDA Name(Product Name),COD Status,FDA Application Number/OTC Monograph Number,Drug Category,Drug Type,Unit Type,UPPS,Line Extension,TEC Code,FDA Approval Date,Market Date,Date Transferred From DDR to MDR,Termination Date
93,3422,10,93342210,CYCLOBENZAPRINE HCL 10MG TABLETS 1000,1,0071611,N,1,TAB,1.0,,AB,09/30/1990,09/30/1990,08/03/2021,
93,3427,1,93342701,LORAZEPAM 2MG TABLETS 100,1,0072928,N,1,TAB,1.0,,AB,10/31/1991,07/01/1998,08/03/2021,
93,3427,5,93342705,LORAZEPAM 2MG TABLETS 500,1,0072928,N,1,TAB,1.0,,AB,10/31/1991,07/01/1998,08/03/2021,
93,3427,10,93342710,LORAZEPAM 2MG TABLETS 1000,1,0072928,N,1,TAB,1.0,,AB,10/31/1991,07/01/1998,08/03/2021,
93,9222,1,93922201,DIFLUNISAL TABLETS 500MG 100,1,0073673,N,1,TAB,1.0,,AB,07/31/1992,11/01/1992,08/03/2021,
93,9222,6,93922206,DIFLUNISAL TABLETS 500MG 60,1,0073673,N,1,TAB,1.0,,AB,07/31/1992,11/01/1992,08/03/2021,
143,9374,1,143937401,Milrinone Inj 20 mg/20 mL Vial N+ (IP),1,0077966,N,1,ML ,20.0,,AP,12/03/2010,12/03/2010,08/03/2021,
143,9374,10,143937410,Milrinone Inj 20 mg/20 mL Vial N+ x 10,1,0077966,N,1,ML ,200.0,,AP,12/03/2010,12/03/2010,08/03/2021,
536,1309,7,536130907,GUAIFENESIN/PHENYLEPHRINE 400MG/10MG TABS,10,PART341,N,2,TAB,30.0,,NR,09/09/2020,05/27/2021,08/02/2021,
904,430,95,904043095,DOXYCYCLINE HYCLATE 100MG TAB,1,0065095,N,1,TAB,20.0,,AB,09/30/1990,09/30/1990,08/02/2021,
904,7016,61,904701661,BUMETANIDE 1MG TAB,1,0209724,N,1,TAB,100.0,,AB,10/18/2017,04/01/2020,08/02/2021,
904,7043,4,904704304,DULOXETINE DR 20MG CAP,1,0090778,N,1,CAP,30.0,,AB,12/11/2013,07/12/2021,08/02/2021,
904,7043,61,904704361,DULOXETINE DR 20MG CAP,1,0090778,N,1,CAP,100.0,,AB,12/11/2013,07/12/2021,08/02/2021,
904,7044,61,904704461,DULOXETINE DR 30MG CAP,1,0090778,N,1,CAP,100.0,,AB,12/11/2013,07/20/2021,08/02/2021,
904,7045,61,904704561,DULOXETINE DR 60MG CAP,1,0090778,N,1,CAP,100.0,,AB,12/11/2013,07/20/2021,08/02/2021,
904,7103,4,904710304,EZETIMIBE 10MG TAB,1,0209234,N,1,TAB,30.0,,AB,12/21/2017,07/19/2021,08/02/2021,
904,7105,61,904710561,CAPTOPRIL 12.5 MG TAB,1,0212809,N,1,TAB,100.0,,AB,12/13/2019,07/19/2021,08/02/2021,
904,7106,61,904710661,CAPTOPRIL 25MG TAB,1,0212809,N,1,TAB,100.0,,AB,12/13/2019,07/19/2021,08/02/2021,
904,7110,61,904711061,LABETALOL 200MG TAB,1,0207743,N,1,TAB,100.0,,AB,09/19/2017,07/19/2021,08/02/2021,
904,7111,61,904711161,LABETALOL 300MG TAB,1,0207743,N,1,TAB,100.0,,AB,09/19/2017,07/20/2021,08/02/2021,
904,7115,61,904711561,DOCUSATE SODIUM 100MG SOFTGEL CAPS,9,PART334,N,2,CAP,100.0,,NR,04/16/2021,07/15/2021,08/02/2021,
904,7119,6,904711906,CALCIUM ACETATE 667MG CAP,1,0077728,N,1,CAP,50.0,,AB,02/26/2008,07/21/2021,08/02/2021,
904,7119,61,904711961,CALCIUM ACETATE 667MG CAP,1,0077728,N,1,CAP,100.0,,AB,02/26/2008,07/21/2021,08/02/2021,
904,7120,4,904712004,COLCHICINE 0.6MG TAB,1,0210425,N,1,TAB,30.0,,AB,02/05/2020,07/14/2021,08/02/2021,
904,7130,61,904713061,CHLORPROMAZINE 25MG TAB,1,0213368,N,1,TAB,100.0,,AB,01/17/2020,07/14/2021,08/02/2021,
904,7131,61,904713161,CHLORPROMAZINE 50MG TAB,1,0213368,N,1,TAB,100.0,,AB,01/17/2020,07/20/2021,08/02/2021,
904,7141,10,904714110,METHOTREXATE 2.5MG TAB,1,0207812,N,1,TAB,20.0,,AB,01/13/2017,07/29/2021,08/02/2021,
51224,9,20,51224000920,"Cholestyramine for Oral Suspension USP, Light",1,0209599,N,1,GM ,4.8,,AB,11/12/2020,11/12/2020,08/03/2021,
59467,679,1,59467067901,"Kloxxado (Naloxone HCl) Nasal Spray, 8mg per 0.1mL Spray x 2",3,0212045,S,1,ML ,0.2,,NR,04/29/2021,08/03/2021,08/03/2021,
66993,195,44,66993019544,Tobramycin Inhalation Solution,4,0201820,I,1,ML ,4.0,,AN,10/12/2012,11/20/2013,08/03/2021,
68727,900,1,68727090001,RYLAZE (asparaginase erwinia chrysanthemi (recombinant)-rywn),2,0761179,S,1,ML ,0.5,,NR,06/30/2021,07/15/2021,08/04/2021,
68727,900,3,68727090003,RYLAZE (asparaginase erwinia chrysanthemi (recombinant)-rywn),2,0761179,S,1,ML ,1.5,,NR,06/30/2021,07/15/2021,08/04/2021,
69367,183,16,69367018316,"Chlophedianol HCl, Dexchlorpheniramine Maleate & PSE HCl 16oz",10,PART341,N,2,ML ,473.0,,NR,05/01/2008,06/30/2021,08/02/2021,
69367,321,16,69367032116,Potassium Citrate & Citric Acid Solution USP 1100mg-334mg/5mL,12,       ,N,1,ML ,473.0,,NR,09/30/1990,06/30/2021,08/02/2021,
69367,322,16,69367032216,"Potassium Citrate, Sodium Citrate & Citric Acid Oral Solution",12,       ,N,1,ML ,473.0,,NR,09/30/1990,06/30/2021,08/02/2021,
69784,180,1,69784018001,Polyethylene Glycol 3350 NF,1,0206105,N,2,EA ,1.0,,NR,10/28/2016,08/01/2018,08/03/2021,
70000,73,1,70000007301,LDR UGD SUNSCREEN AE 155GM SPF30,9,PART352,N,2,GM ,155.0,,NR,12/09/2020,07/14/2021,08/03/2021,
