County,District,School_Name,Program,Application_Number,Applicant,Preliminary_Grant_Application,Full_Grant_Application,Site_and_Design_Application,Site_Only_Application,Design_Only_Application,Environmental_Hardship_Application,Reduced_to_Costs_Incurred,Number_of_Elementary_School_Pupil_Grants_Requested,Number_of_Middle_School_Pupil_Grants_Requested,Number_of_High_School_Pupil_Grants_Requested,Number_of_Non_Severe_School_Pupil_Grants_Requested,Number_of_Severe_School_Pupil_Grants_Requested,Grade_Level_of_Project,State_Share_of_Funding,Site_Acquisition,Financial_Hardship,CSFA_Lease_Amount,CTEFP_Loan_Amount,Type_of_Joint_Use_Facility,Type_of_Joint_Use_Partner,Industry_Sector,Portables_Replaced,Last_SAB_Date,Status
Amador,Amador County Office Of Education,Amador County Community,New Construction,50/10033-00-001,,,1885002.0,,,126458.0,,,,25.0,20.0,,,MI,1905756.0,105704.0,2011460.0,,,,,,,7/25/2007,Closed
Amador,Amador County Office Of Education,Jackson Junior High,New Construction,50/10033-00-002,,,3628527.0,,,191261.0,,,,,,,18.0,MI,3819788.0,,3819788.0,,,,,,,4/24/2019,100% Completed
Amador,Amador County Office Of Education,Argonaut High,New Construction,50/10033-00-003,,,2263714.0,,,280386.0,,,,,,,18.0,HI,2544100.0,,2544100.0,,,,,,,10/24/2018,100% Completed
Amador,Amador County Office Of Education,Plymouth Elementary,New Construction,50/10033-00-004,,,1179788.0,,,184756.0,,,,,,26.0,,EL,1364544.0,,1364544.0,,,,,,,10/24/2018,100% Completed
Amador,Amador County Office Of Education,County Community School,New Construction,50/10033-00-005,,,,,,549547.0,,RCI,,,108.0,,,HI,59071.0,,59071.0,,,,,,,12/9/2019,Funds Released
Butte,Butte County Office Of Education,South County Educational Facility,New Construction,50/10041-98-001,,,1646890.0,,,,,,,,,,18.0,HI,3292040.0,,3292044.0,,,,,,,5/27/2015,Closed
Butte,Butte County Office Of Education,South County Educational Facility,New Construction,50/10041-99-001,,,3280632.0,432414.0,,416978.0,,,,27.0,81.0,,,HI,13274807.0,1172661.0,14447475.0,,,,,,,5/27/2015,Closed
Calaveras,Calaveras County Office Of Education,Mountain Ranch Community/independent Study,New Construction,50/10058-00-001,,,5650541.0,1010000.0,,1654639.0,,,,70.0,156.0,,,HI,40243824.0,7276032.0,47519880.0,,,,,,,4/20/2016,Closed
Calaveras,Calaveras County Office Of Education,Mountain Oaks,New Construction,50/10058-00-002,,,6659622.0,,,,,,143.0,27.0,108.0,,,EL,6659622.0,,6659622.0,,,,,,,12/15/2010,Closed
Colusa,Colusa County Office Of Education,Special Education,New Construction,50/10066-00-004,,,12541016.0,3527174.0,,863966.0,,,5.0,27.0,49.0,,63.0,HI,33512455.0,8847155.0,42273420.0,,,,,,,8/15/2018,Closed
Colusa,Colusa County Office Of Education,Pierce High,New Construction,50/10066-00-005,,,,,,165804.0,,RCI,,,,,18.0,HI,96992.0,,82050.0,,,,,,,11/25/2014,56% Completed
Contra Costa,Contra Costa County Office Of Education,Diablo Vista Elementary,New Construction,50/10074-98-001,,,1291424.0,,,,,,,,,,30.0,EL,1840161.0,,2034111.0,,,,,,,6/27/2001,Closed
Contra Costa,Contra Costa County Office Of Education,Krey Elementary,New Construction,50/10074-98-002,,,990794.0,,,215712.0,,,,,,,27.0,EL,2413012.0,,2413012.0,,,,,,,12/18/2002,Closed
Contra Costa,Contra Costa County Office Of Education,Heritage High,New Construction,50/10074-98-004,,,2318304.01,,,459421.0,,,,,,,36.0,HI,5982660.0,,5128240.04,,,,,,,11/3/2010,Closed
Contra Costa,Contra Costa County Office Of Education,Special Education Center,New Construction,50/10074-98-005,,,,,,353520.0,,RCI,,,,,36.0,HI,234832.36,,234832.38,,,,,,,9/26/2018,10% Completed
Contra Costa,Contra Costa County Office Of Education,Alternative Education Center East,New Construction,50/10074-99-001,,,2620524.0,372354.0,550000.0,,,,,,108.0,,,HI,8876028.0,1752606.0,10628634.0,,,,,,,12/15/2010,Closed
Contra Costa,Contra Costa County Office Of Education,Alternative Education Center Pal,New Construction,50/10074-99-003,,,,,,439269.0,,RCI,,,101.0,,,HI,2000.0,,2000.0,,,,,,,3/10/2010,Funds Released
Contra Costa,Contra Costa County Office Of Education,Alternative Education Center Pittsburg,New Construction,50/10074-99-004,,,,,,142805.0,,RCI,,,101.0,,,HI,142805.0,,142805.0,,,,,,,5/25/2011,10% Completed
Contra Costa,Contra Costa County Office Of Education,Community - East,New Construction,50/10074-99-005,,,2546412.0,,,474983.0,,,,,101.0,,,HI,15102920.0,,15102920.0,,,,,,,10/26/2022,Closed
Del Norte,Del Norte County Office Of Education,County Alternative Education Center,New Construction,50/10082-00-001,,,4795428.0,676600.0,,772049.0,,,,11.0,203.0,,,HI,127904760.0,15223500.0,137855205.0,,,,,,,10/27/2011,Closed
El Dorado,El Dorado County Office Of Education,Charter Comm. & Ext. Day,New Construction,50/10090-99-001,,,5523156.0,,,1054232.0,,,,19.0,127.0,,,HI,44638365.0,,44638365.0,,,,,,,10/26/2022,Closed
El Dorado,El Dorado County Office Of Education,Melendez School,New Construction,50/10090-99-002,,,,,,7918.24,,RCI,,153.0,56.0,,,MI,7918.24,,7918.24,,,,,,,1/25/2017,Funds Released
Fresno,Fresno County Office Of Education,Ramacher Educational Complex,New Construction,50/10108-00-001,,,2278871.5,,,362815.0,,RCI,,,54.0,,27.0,HI,6350467.5,253750.0,5013885.0,,,,,,,3/20/2013,Closed
Fresno,Fresno County Office Of Education,Kermit Koontz Education Complex,New Construction,50/10108-00-002,,,7955786.0,,,916212.0,,,,,54.0,52.0,54.0,HI,31613616.0,,31613624.0,,,,,,,2/24/2015,Closed
Fresno,Fresno County Office Of Education,Sanger High,New Construction,50/10108-00-003,,,383942.0,,,77670.0,,RCI,,,,,7.0,HI,923224.0,,405632.0,,,,,,,3/20/2013,Closed
Fresno,Fresno County Office Of Education,Selma High,New Construction,50/10108-00-004,,,406988.0,,,77670.0,,RCI,,,,,8.0,HI,969316.0,,575340.0,,,,,,,3/20/2013,Closed
Fresno,Fresno County Office Of Education,Jefferson Elementary,New Construction,50/10108-00-005,,,125707.0,,,,,,,,,,5.0,EL,125707.0,,,,,,,,,8/23/2006,Closed
Fresno,Fresno County Office Of Education,Teilman Educational Center,New Construction,50/10108-00-006,,,4255660.0,,,687416.0,,RCI,,81.0,108.0,,,HI,316035.0,,316035.0,,,,,,,3/20/2013,1% Completed
Fresno,Fresno County Office Of Education,Violet Heintz Education Academy,New Construction,50/10108-00-007,,,2948282.0,,,,,,,132.0,,,,HI,10764504.0,1028624.0,,,,,,,,2/22/2023,Closed
Fresno,Fresno County Office Of Education,Selma High,New Construction,50/10108-00-008,,,289837.0,,,,,,,,,,5.0,HI,289837.0,,,,,,,,,2/22/2023,Funds Released
Glenn,Glenn County Office Of Education,Willows Intermediate,New Construction,50/10116-00-001,,,721554.0,,,189742.0,,,,,,13.0,9.0,MI,3467216.0,,3467216.0,,,,,,,3/26/2014,Closed
Glenn,Glenn County Office Of Education,Willows High,New Construction,50/10116-00-002,,,821636.0,,,64714.0,,,,,,13.0,9.0,HI,3412800.0,,3412808.0,,,,,,,3/26/2014,Closed
Glenn,Glenn County Office Of Education,Princeton Elementary,New Construction,50/10116-00-003,,,350066.0,,,62514.0,,,,,,13.0,,EL,1487112.0,,1487120.0,,,,,,,3/26/2014,Closed
Glenn,Glenn County Office Of Education,Plaza Elementary,New Construction,50/10116-00-004,,,643614.0,,,127228.0,,,,,,13.0,9.0,EL,3072312.0,,3072320.0,,,,,,,3/26/2014,Closed
Glenn,Glenn County Office Of Education,Hamilton Elementary,New Construction,50/10116-00-005,,,495652.0,,,64714.0,,,,,,,9.0,EL,1120732.0,,1120732.0,,,,,,,2/23/2005,Closed
Glenn,Glenn County Office Of Education,Capay Joint Union Elementary,New Construction,50/10116-00-006,,,772300.0,,,127228.0,,,,,,13.0,9.0,EL,2248820.0,,2246975.0,,,,,,,9/23/2009,Closed
Glenn,Glenn County Office Of Education,Willows Community High,New Construction,50/10116-00-007,,,3190574.0,,,338946.0,,,,91.0,39.0,,,HI,19611708.0,1509000.0,21120720.0,,,,,,,3/26/2014,Closed
Glenn,Glenn County Office Of Education,Orland Community,New Construction,50/10116-00-008,,,3396905.0,,,333437.0,,,,90.0,38.0,,,HI,14506910.0,2402500.0,16909410.0,,,,,,,3/26/2014,Closed
Humboldt,Humboldt County Office Of Education,Eureka Educational Resource Center,New Construction,50/10124-00-001,,,3498047.0,643146.0,,,,,7.0,74.0,,,,HI,16929210.0,9318900.0,23262810.0,,,,,,,3/26/2014,Closed
Humboldt,Humboldt County Office Of Education,Glen W. Paul School For Ph,New Construction,50/10124-00-002,,,,,,613420.0,,,,,,,36.0,EL,323359.0,,290061.0,,,,,,,9/27/2023,Apportioned
Imperial,Imperial County Office Of Education,J. W. Oakley Elementary,New Construction,50/10132-01-001,,,1008630.0,,,8548.0,,,,,,,16.0,EL,2475235.0,,2601993.05,,,,,,,6/23/2004,Closed
Imperial,Imperial County Office Of Education,Worth (barbara) Junior High,New Construction,50/10132-01-002,,,737360.0,,,,,,,27.0,,,4.0,MI,1099410.0,,1112670.0,,,,,,,3/28/2001,Closed
Imperial,Imperial County Office Of Education,Del Rio Community,New Construction,50/10132-01-003,,,9068827.0,,,177949.0,,,,10.0,115.0,,,HI,26155014.0,1700769.24,26692500.06,,,,,,,1/26/2005,Closed
Imperial,Imperial County Office Of Education,Brawley High,New Construction,50/10132-01-004,,,865375.0,,,39177.0,,,,,27.0,,4.0,HI,2713656.0,,2655188.16,,,,,,,4/28/2004,Closed
Imperial,Imperial County Office Of Education,La Paloma,New Construction,50/10132-01-005,,,4177684.0,,,255484.0,,,,,,,36.0,MI,4433168.0,,4433168.0,,,,,,,10/26/2022,Funds Released
Imperial,Imperial County Office Of Education,Waggoner Elementary,New Construction,50/10132-02-001,,,569016.0,,,,,,13.0,,9.0,,,EL,2781840.0,,2687082.6,,,,,,,1/26/2005,Closed
Imperial,Imperial County Office Of Education,Cross Elementary,New Construction,50/10132-02-002,,,,,,510970.0,,,,,,,36.0,EL,255485.0,,255485.0,,,,,,,4/27/2022,Funds Released
Imperial,Imperial County Office Of Education,Kennedy Middle,New Construction,50/10132-03-001,,,1530003.0,,,155339.0,,,,,,,18.0,MI,2528013.0,,2528013.0,,,,,,,8/22/2007,Closed
Imperial,Imperial County Office Of Education,Valley Comm.,New Construction,50/10132-03-002,,,9562748.0,431302.0,,454261.0,,,,27.0,243.0,,54.0,HI,40472464.0,1628000.0,40499283.36,,,,,,,9/28/2005,Closed
Imperial,Imperial County Office Of Education,Mains Elementary,New Construction,50/10132-03-003,,,936338.0,,,77670.0,,,,,,,9.0,EL,1521012.0,,1521012.0,,,,,,,8/22/2007,Closed
Imperial,Imperial County Office Of Education,Cesar Chavez Elementary,New Construction,50/10132-03-004,,,498820.0,,,77670.0,,,,,,,9.0,EL,1301760.0,,1004200.0,,,,,,,12/15/2010,Closed
Imperial,Imperial County Office Of Education,School For Exceptional Children,New Construction,50/10132-03-005,,,,,,1290084.0,,RCI,,,,,135.0,EL,1299564.0,,1280604.0,,,,,,,3/28/2007,1% Completed
Imperial,Imperial County Office Of Education,Calexico High,New Construction,50/10132-03-006,,,,,,510970.0,,,,,,,36.0,HI,255485.0,,255485.0,,,,,,,4/27/2022,Funds Released
Imperial,Imperial County Office Of Education,La Victoria Elementary,New Construction,50/10132-03-007,,,,,,766454.0,,,,,,,54.0,EL,383227.0,,383227.0,,,,,,,4/27/2022,Funds Released
Imperial,Imperial County Office Of Education,De Anza 9th Grade Academy,New Construction,50/10132-03-008,,,,,,766454.0,,,,,,,54.0,HI,383227.0,,383227.0,,,,,,,4/27/2022,Funds Released
Inyo,Inyo County Office Of Education,Inyo County Community,New Construction,50/10140-00-001,,,4863138.0,633715.0,,,,,,14.0,47.0,,,HI,17317552.0,1925000.0,19235419.0,,,,,,,1/24/2001,Closed
Kern,Kern County Office Of Education,Richardson Center Portable Buildings,New Construction,50/10157-98-001,,,719466.0,,,,,,,,,33.0,9.0,EL,719466.0,,,,,,,,,1/25/2006,Closed
Kern,Kern County Office Of Education,Richardson Center Portable Buildings,New Construction,50/10157-98-002,,,533565.0,,,,,,,,,26.0,,EL,533565.0,,,,,,,,,1/25/2006,Closed
Kern,Kern County Office Of Education,Teresa Burke Elem #4,New Construction,50/10157-98-003,,,1171353.0,,,,,,,,,,36.0,EL,1171353.0,,,,,,,,,12/6/2006,Closed
Kern,Kern County Office Of Education,Richardson Center Portable Buildings,New Construction,50/10157-98-004,,,477466.0,,,,,,,,,26.0,,EL,477466.0,,,,,,,,,1/24/2007,Closed
Kern,Kern County Office Of Education,Palm Avenue Middle (formerly Elementary),New Construction,50/10157-98-005,,,304486.0,,,,,,,,,,9.0,EL,304486.0,,,,,,,,,4/23/2008,Closed
Kern,Kern County Office Of Education,Aurora Program School,New Construction,50/10157-98-006,,,7149621.84,,,,,,,,,,108.0,EL,7006877.26,142744.58,,,,,,,,5/31/2023,Funds Released
Kern,Kern County Office Of Education,Sandstone Community,New Construction,50/10157-99-001,,,2157513.0,,,,,,,22.0,188.0,,,HI,1822933.0,334580.0,,,,,,,,12/12/2001,Closed
Kern,Kern County Office Of Education,Kelly F. Blanton Student Ed. Center,New Construction,50/10157-99-002,,,332101.0,,,,,,,,32.0,,,HI,332101.0,,,,,,,,,1/25/2006,Closed
Kern,Kern County Office Of Education,North Kern Community School-delano,New Construction,50/10157-99-003,,,4373178.0,,,,,,,,189.0,,,HI,13586420.0,3891624.0,,,,,,,,10/16/2014,Closed
Kings,Kings County Office Of Education,Liberty Middle,New Construction,50/10165-00-007,,,307322.0,,,,,,,,,,8.0,MI,546092.0,,654028.92,,,,,,,4/28/2004,Closed
Kings,Kings County Office Of Education,Lemoore Elementary,New Construction,50/10165-00-008,,,305501.0,,,,,,,,,,8.0,EL,542284.0,,657344.48,,,,,,,4/28/2004,Closed
Kings,Kings County Office Of Education,Hanford High,New Construction,50/10165-00-009,,,339856.0,,,,,,,,,,9.0,HI,605452.0,,584584.48,,,,,,,4/28/2004,Closed
Kings,Kings County Office Of Education,"""martin Luther King, Jr Element""",New Construction,50/10165-00-010,,,311147.0,,,,,,,,,,8.0,EL,553576.0,,635050.64,,,,,,,4/28/2004,Closed
Kings,Kings County Office Of Education,Corcoran High (corcoran Jt. Usd),New Construction,50/10165-00-011,,,349472.0,,,,,,,,,,9.0,HI,624684.0,,537578.0,,,,,,,4/28/2004,Closed
Kings,Kings County Office Of Education,Roosevelt Elementary,New Construction,50/10165-00-012,,,305035.0,,,,,,,,,,8.0,EL,541352.0,,662795.32,,,,,,,4/28/2004,Closed
Kings,Kings County Office Of Education,New Community School,New Construction,50/10165-00-013,,,4513354.0,,,515394.0,,,,,165.0,,,HI,12113526.45,509035.0,5078896.05,,,,,,,9/27/2006,Closed
Kings,Kings County Office Of Education,New Special Education Center,New Construction,50/10165-00-014,,,6869242.54,,,1050106.0,,RCI,,,,,108.0,EL,844224.0,,844224.0,,,,,,,12/12/2007,Funds Released
Kings,Kings County Office Of Education,Fremont Elementary,New Construction,50/10165-00-015,,,558883.0,,,87509.0,,,,,,,9.0,EL,1615980.0,,1046495.0,,,,,,,12/10/2008,Closed
Kings,Kings County Office Of Education,John Muir Middle,New Construction,50/10165-00-016,,,559613.0,,,87509.0,,,,,,,9.0,MI,1617805.0,,863580.0,,,,,,,12/10/2008,Closed
Kings,Kings County Office Of Education,Stratford Elementary,New Construction,50/10165-00-017,,,1478014.0,,,175018.0,,,,,,,18.0,EL,4132580.0,,871690.0,,,,,,,12/10/2008,Closed
Kings,Kings County Office Of Education,Gardenside Elementary,New Construction,50/10165-00-018,,,593071.0,,,87509.0,,,,,,,9.0,EL,1701450.0,,951690.0,,,,,,,12/10/2008,Closed
Kings,Kings County Office Of Education,Lakeside Elementary,New Construction,50/10165-00-019,,,567255.0,,,87509.0,,,,,,,9.0,EL,1636910.0,,947475.0,,,,,,,12/10/2008,Closed
Kings,Kings County Office Of Education,Lemoore High,New Construction,50/10165-00-020,,,851575.0,,,87509.0,,,,,,,9.0,HI,2347710.0,,1936430.0,,,,,,,12/10/2008,Closed
Kings,Kings County Office Of Education,Pioneer Elementary,New Construction,50/10165-00-021,,,559955.0,,,87509.0,,,,,,,9.0,EL,1618660.0,,835430.0,,,,,,,12/10/2008,Closed
Lake,Lake County Office Of Education,Lloyd Hance Community,New Construction,50/10173-01-001,,,1755555.0,,,272512.0,,,13.0,4.0,53.0,,,MI,3645012.0,,2227836.0,,,,,,,9/6/2017,Closed
Lake,Lake County Office Of Education,Clearlake Community,New Construction,50/10173-02-001,,,4383849.0,258616.0,,12067.0,,,,1.0,39.0,,,HI,28623476.0,1692194.0,30800532.0,,,,,,,7/10/2013,Closed
Lassen,Lassen County Office Of Education,Community School,New Construction,50/10181-99-001,,,,482025.0,,,,RCI,,22.0,36.0,,,HI,253521.0,365000.0,256530.76,,,,,,,9/30/2020,Funds Released
Los Angeles,Los Angeles County Office Of Education,Buena Vista Elementary,New Construction,50/10199-00-001,,,4185460.0,,,,,,161.0,,,,,EL,8370920.0,,8342030.56,,,,,,,10/26/2005,Closed
Los Angeles,Los Angeles County Office Of Education,Lancaster Elementary Addition,New Construction,50/10199-00-002,,,1238202.0,,,52400.0,,,50.0,,,,,EL,3871806.0,,1323846.0,,,,,,,8/23/2006,Closed
Los Angeles,Los Angeles County Office Of Education,Gabrielino High,New Construction,50/10199-00-003,,,1755128.0,,,,,,,,54.0,,,HI,2632692.0,,2632692.0,,,,,,,7/28/1999,Closed
Los Angeles,Los Angeles County Office Of Education,Little Rock High,New Construction,50/10199-00-004,,,477263.0,,,39177.0,,,,,27.0,,,HI,1549320.0,,260146.68,,,,,,,6/28/2006,Closed
Los Angeles,Los Angeles County Office Of Education,Hillgrove Child Care,New Construction,50/10199-00-005,,,,,,52400.0,,RCI,50.0,,,,,EL,157200.0,,157200.0,,,,,,,12/8/1999,5% Completed
Los Angeles,Los Angeles County Office Of Education,Imperial Elementary,New Construction,50/10199-00-006,,,,,,6140.0,,RCI,,,,,19.0,EL,12280.0,,12280.0,,,,,,,12/8/2004,20% Completed
Los Angeles,Los Angeles County Office Of Education,Lancaster Project,New Construction,50/10199-00-007,,,828405.0,,,39177.0,,,,,27.0,,,HI,4396570.64,,,,,,,,,2/22/2006,Closed
Los Angeles,Los Angeles County Office Of Education,Quartz Hill High,New Construction,50/10199-00-008,,,445957.0,,,39177.0,,,,,27.0,,,HI,1455402.0,,349636.86,,,,,,,8/23/2006,Closed
Los Angeles,Los Angeles County Office Of Education,Ocotillo Elementary,New Construction,50/10199-00-009,,,1807714.0,,,,,,81.0,,,,,EL,3615428.0,,2574802.32,,,,,,,5/25/2005,Closed
Los Angeles,Los Angeles County Office Of Education,Tumbleweed Elementary,New Construction,50/10199-00-010,,,,,,26200.0,,RCI,,,,,25.0,EL,26200.0,,26200.0,,,,,,,2/23/2005,98% Completed
Los Angeles,Los Angeles County Office Of Education,Antelope Valley High,New Construction,50/10199-00-011,,,444132.0,,,78354.0,,,,,27.0,,,HI,6151716.72,,,,,,,,,8/23/2006,Closed
Los Angeles,Los Angeles County Office Of Education,Highland High Addition #2,New Construction,50/10199-00-012,,,836649.0,,,39177.0,,,,,27.0,,,HI,4672079.86,,,,,,,,,2/22/2006,Closed
Los Angeles,Los Angeles County Office Of Education,Paramount Elementary School,New Construction,50/10199-00-013,,,,1680100.0,,78600.0,,RCI,,,,,75.0,EL,707400.0,6305317.74,7012717.65,,,,,,,12/9/2020,40% Completed
Los Angeles,Los Angeles County Office Of Education,Montebello High,New Construction,50/10199-00-014,,,,,,78354.0,,RCI,,,54.0,,,HI,156264.0,,156264.0,,,,,,,4/25/2007,20% Completed
Los Angeles,Los Angeles County Office Of Education,Amargosa Creek Middle,New Construction,50/10199-00-016,,,1390186.0,,,,,,,,44.0,,,HI,2780372.0,,942312.0,,,,,,,8/23/2006,Closed
Los Angeles,Los Angeles County Office Of Education,Northrup (jack) Elementary,New Construction,50/10199-00-017,,,685884.0,,,52400.0,,,,,,,18.0,EL,2214852.0,,2196485.82,,,,,,,3/22/2006,Closed
Los Angeles,Los Angeles County Office Of Education,Caldwell Street Elementary,New Construction,50/10199-00-020,,,2164866.0,,,78600.0,,,,,,,34.0,EL,4358336.0,,4358340.0,,,,,,,8/25/2010,Closed
Los Angeles,Los Angeles County Office Of Education,Cole (gifford) Middle,New Construction,50/10199-00-021,,,1019316.0,,,78354.0,,,,,,,27.0,MI,2299185.0,,2299180.0,,,,,,,8/25/2010,Closed
Los Angeles,Los Angeles County Office Of Education,Highland High,New Construction,50/10199-00-022,,,914790.0,,,,,,,,28.0,,,HI,1958908.5,,1958908.5,,,,,,,2/26/2020,Closed
Los Angeles,Los Angeles County Office Of Education,Bridgeport Elementary,New Construction,50/10199-00-023,,,761124.0,,,52400.0,,,,,,,18.0,EL,2440572.0,,2435142.0,,,,,,,8/24/2005,Closed
Los Angeles,Los Angeles County Office Of Education,Redview Learning Center,New Construction,50/10199-00-024,,,,,,78354.0,,RCI,,,14.0,,,HI,15000.0,,15000.0,,,,,,,5/28/2003,10% Completed
Los Angeles,Los Angeles County Office Of Education,La Merced Elementary At Montebello Unified,New Construction,50/10199-00-025,,,,,,52400.0,,RCI,50.0,,,,,EL,104434.04,,104434.08,,,,,,,4/25/2007,15% Completed
Los Angeles,Los Angeles County Office Of Education,Charles T. Kranz Intermediate,New Construction,50/10199-00-026,,,344187.0,,,18209.0,,,,,,,9.0,MI,1087188.0,,509620.38,,,,,,,6/28/2006,Closed
Los Angeles,Los Angeles County Office Of Education,Hillgrove Elementary Addition,New Construction,50/10199-00-027,,,2324770.0,,,109600.0,,,100.0,,,,,EL,7303110.0,,1678597.14,,,,,,,4/28/2004,Closed
Los Angeles,Los Angeles County Office Of Education,Desert Pathways Comm/sp.ed.,New Construction,50/10199-00-028,,,8834628.0,,,789048.0,,,,,,,117.0,HI,28871028.0,,15998782.5,,,,,,,2/28/2007,Closed
Los Angeles,Los Angeles County Office Of Education,Gidley Elementary,New Construction,50/10199-00-029,,,147458.76,,,40970.0,,,,,,,6.0,HI,1138176.6,,1122968.52,,,,,,,8/22/2007,Closed
Los Angeles,Los Angeles County Office Of Education,Rio Vista Elementary,New Construction,50/10199-00-030,,,683822.0,,,40970.0,,,,,,,18.0,HI,2174376.0,,1926702.0,,,,,,,10/29/2008,Closed
Los Angeles,Los Angeles County Office Of Education,Sanchez (fern) Elementary,New Construction,50/10199-00-031,,,748450.0,,,27400.0,,,,,,,18.0,EL,12413600.0,,,,,,,,,11/25/2014,Closed
Los Angeles,Los Angeles County Office Of Education,South El Monte High,New Construction,50/10199-00-032,,,964982.0,,,81940.0,,,,,,,26.0,HI,3140766.0,,2061594.0,,,,,,,12/10/2008,Closed
Los Angeles,Los Angeles County Office Of Education,Valle Lindo Continuation High,New Construction,50/10199-00-033,,,844888.0,,,40970.0,,,,,,,22.0,HI,2657574.0,,1577454.0,,,,,,,12/10/2008,Closed
Los Angeles,Los Angeles County Office Of Education,Barfield (c. Joseph) Elem.,New Construction,50/10199-00-034,,,,,,81940.0,,RCI,,,14.0,,,HI,10000.0,,10000.0,,,,,,,1/22/2003,20% Completed
Los Angeles,Los Angeles County Office Of Education,Kingsley Elementary,New Construction,50/10199-00-035,,,,,,81940.0,,RCI,,,54.0,,,HI,10000.0,,10000.0,,,,,,,1/22/2003,5% Completed
Los Angeles,Los Angeles County Office Of Education,I Poly New High,New Construction,50/10199-00-037,,,,,,901336.0,,RCI,,,594.0,,,HI,2704008.0,,2704008.0,,,,,,,7/27/2005,20% Completed
Los Angeles,Los Angeles County Office Of Education,New Community #1,New Construction,50/10199-00-038,,,,,,327758.0,,RCI,,,14.0,,,HI,506785.52,,506785.52,,,,,,,8/27/2003,75% Completed
Los Angeles,Los Angeles County Office Of Education,Jonas Salk,New Construction,50/10199-00-039,,,4510708.0,4069000.0,,327758.0,,,,,206.0,,,HI,68370120.0,58888050.0,125300490.0,,,,,,,12/5/2016,Closed
Los Angeles,Los Angeles County Office Of Education,Lincoln Addition,New Construction,50/10199-00-040,,,2703316.0,,,81940.0,,,,,,,54.0,EL,8355768.0,,8327140.14,,,,,,,12/15/2005,Closed
Los Angeles,Los Angeles County Office Of Education,Thompson Elementary (oh),New Construction,50/10199-00-041,,,120094.0,,,40970.0,,,,,,,4.0,EL,483192.0,,432750.0,,,,,,,5/3/2005,Closed
Los Angeles,Los Angeles County Office Of Education,Moorfield  Addition,New Construction,50/10199-00-042,,,621442.0,,,40970.0,,,,,,,15.0,HI,6955326.0,,,,,,,,,11/25/2014,Closed
Los Angeles,Los Angeles County Office Of Education,New Elementary - Sulphur Springs,New Construction,50/10199-00-044,,,720008.0,,,40970.0,,,,,,,18.0,EL,2282934.0,,2139469.74,,,,,,,4/28/2004,Closed
Los Angeles,Los Angeles County Office Of Education,Northlake Elementary,New Construction,50/10199-00-045,,,740874.0,,,40970.0,,,,,,,18.0,EL,2345532.0,,2195000.58,,,,,,,12/15/2005,Closed
Los Angeles,Los Angeles County Office Of Education,M. Mcgrath New Elementary,New Construction,50/10199-00-046,,,1838672.0,,,75870.0,,,,,,,45.0,EL,3829084.0,,3825436.0,,,,,,,1/30/2008,Closed
Los Angeles,Los Angeles County Office Of Education,Fair Valley High,New Construction,50/10199-00-047,,,1498423.0,,,122909.0,,,,,,,27.0,HI,4863996.0,,4853592.6,,,,,,,9/28/2005,Closed
Los Angeles,Los Angeles County Office Of Education,Leuzinger High,New Construction,50/10199-00-048,,,1200078.0,,,,,,,,,,27.0,HI,2400156.0,,1388964.96,,,,,,,1/25/2006,Closed
Los Angeles,Los Angeles County Office Of Education,Community #3- Long Beach,New Construction,50/10199-00-049,,,,,,337349.0,,RCI,,,108.0,,,HI,433105.96,,433106.0,,,,,,,8/27/2003,10% Completed
Los Angeles,Los Angeles County Office Of Education,Community #4 Palmdale,New Construction,50/10199-00-050,,,,,,337349.0,,RCI,,,108.0,,,HI,8409.72,,8409.72,,,,,,,7/2/2003,10% Completed
Los Angeles,Los Angeles County Office Of Education,Community  #5 Monrovia,New Construction,50/10199-00-051,,,,,,337349.0,,RCI,,,108.0,,,HI,442005.24,,442005.24,,,,,,,8/27/2003,10% Completed
Los Angeles,Los Angeles County Office Of Education,Community #6 Mid-wilshire,New Construction,50/10199-00-052,,,,,,843372.0,,RCI,,,270.0,,,HI,21099.52,,21099.56,,,,,,,7/2/2003,Funds Released
Los Angeles,Los Angeles County Office Of Education,Community #7 Duarte,New Construction,50/10199-00-053,,,,,,843372.0,,RCI,,,270.0,,,HI,19823.6,,19823.64,,,,,,,7/2/2003,Funds Released
Los Angeles,Los Angeles County Office Of Education,San Marino High,New Construction,50/10199-00-054,,,724792.0,,,,,,,,,,18.0,HI,1449584.0,,1352250.0,,,,,,,8/4/2004,Closed
Los Angeles,Los Angeles County Office Of Education,Emblem Elementary,New Construction,50/10199-00-055,,,,,,225600.0,,,100.0,,,,,EL,1135740.0,,1135752.0,,,,,,,4/24/2017,Closed
Los Angeles,Los Angeles County Office Of Education,Old Orchard Elementary,New Construction,50/10199-00-056,,,,,,63168.0,,RCI,28.0,,,,,EL,22910.0,,22910.0,,,,,,,4/23/2008,100% Completed
Los Angeles,Los Angeles County Office Of Education,Willow Elementary,New Construction,50/10199-00-057,,,,,,63168.0,,RCI,28.0,,,,,EL,6000.0,,6000.0,,,,,,,3/26/2003,5% Completed
Los Angeles,Los Angeles County Office Of Education,Doty Middle (aka East Middle),New Construction,50/10199-00-058,,,,,,112800.0,,RCI,50.0,,,,,EL,6350.0,,6350.0,,,,,,,6/27/2018,98% Completed
