NDC1,NDC2,NDC3,NDC-11,FDA Name(Product Name),COD Status,FDA Application Number/OTC Monograph Number,Drug Category,Drug Type,Unit Type,UPPS,Line Extension,TEC Code,FDA Approval Date,Market Date,Date Transferred From DDR to MDR,Termination Date
3,3756,14,3375614,OPDIVO 120,2,0125554,S,1,ML ,12.0,,NR,12/22/2014,09/13/2021,10/17/2021,
904,6817,6,904681706,MIDODRINE 2.5MG TABS,1,0077746,N,1,TAB,50.0,,AB,09/12/2006,09/12/2006,10/14/2021,
904,6818,6,904681806,MIDODRINE 5MG TAB,1,0077746,N,1,TAB,50.0,,AB,09/12/2006,09/12/2006,10/14/2021,
904,7112,70,904711270,HALOPERIDOL LACTATE 10MG/5ML SOLN,1,0073364,N,1,ML ,500.0,,AA,09/28/1993,09/01/2021,10/14/2021,
904,7123,61,904712361,LEVETIRACETAM 250MG TAB,1,0078993,N,1,TAB,100.0,,AB,01/15/2009,09/03/2021,10/14/2021,
904,7124,61,904712461,LEVETIRACETAM 500MG TAB,1,0078993,N,1,TAB,100.0,,AB,01/15/2009,09/15/2021,10/14/2021,
904,7127,61,904712761,PREDNISONE 20MG TAB,1,0040362,N,1,TAB,100.0,,AB,06/29/2005,09/07/2021,10/14/2021,
904,7129,61,904712961,CHLORPROMAZINE 10MG TAB,1,0213368,N,1,TAB,100.0,,AB,01/17/2020,09/20/2021,10/14/2021,
904,7133,61,904713361,CHLORPROMAZINE 200MG TAB,1,0213368,N,1,TAB,100.0,,AB,01/17/2020,09/16/2021,10/14/2021,
31722,138,1,31722013801,Baclofen,1,0212378,N,1,TAB,100.0,,AB,04/30/2021,08/04/2021,10/12/2021,
33342,50,7,33342005007,"Losartan and Hydrochlorothiazide Tablets, USP 50mg/12.5mg 30ct",1,0202289,N,1,TAB,30.0,,AB,08/09/2012,06/01/2015,10/14/2021,
33342,51,7,33342005107,"Losartan and Hydrochlorothiazide Tablets, USP 100mg/12.5mg 30ct",1,0202289,N,1,TAB,30.0,,AB,08/09/2012,06/01/2015,10/14/2021,
33342,52,7,33342005207,"Losartan and Hydrochlorothiazide Tablets, USP 100mg/25mg 30ct",1,0202289,N,1,TAB,30.0,,AB,08/09/2012,06/01/2015,10/14/2021,
43386,794,1,43386079401,Doxycycline Hyclate Tablets,1,0207558,N,1,TAB,100.0,,AB,09/06/2017,01/17/2018,10/11/2021,
46287,10,11,46287001011,Triamcinolone Acetonide 0.05% 110g,1,0089595,N,1,GM ,110.0,,AT,03/23/1995,01/02/1996,10/14/2021,
51660,27,44,51660002744,ESOMEPRAZOLE 20MG DR CAPSULES 42CT OHM,1,0212866,N,2,CAP,42.0,,NR,05/04/2020,01/04/2021,10/13/2021,
51672,4227,8,51672422708,"Clobazam 2.5mg/mL Suspension, 120 ml",1,0210978,N,1,ML ,120.0,,AB,04/15/2019,10/08/2021,10/13/2021,
55292,141,1,55292014101,SIGNIFOR LAR 30MG KIT,3,0203255,S,1,EA ,1.0,,NR,12/15/2014,09/10/2018,10/11/2021,
61269,343,56,61269034356,Hydrocortisone Max St External Cream 1 %,10,PART348,N,2,GM ,28.0,,NR,07/01/1997,07/01/1997,10/14/2021,
63868,395,1,63868039501,Medicated Cleansing Pads,10,PART346,N,2,EA ,100.0,,NR,05/14/2021,07/01/2021,10/15/2021,
63868,471,14,63868047114,Omeprazole 20mg,1,0207740,N,2,TAB,14.0,,NR,02/01/2021,07/01/2021,10/15/2021,
63868,474,24,63868047424,Allergy Relief Dye Free Softgel,10,PART341,N,2,TAB,24.0,,NR,05/09/2021,07/01/2021,10/15/2021,
63868,691,40,63868069140,Pink Bismuth Caplets,10,PART335,N,2,TAB,40.0,,NR,03/31/2021,10/08/2021,10/15/2021,
68382,771,30,68382077130,LANSOPRAZOLE DR OD TAB 15MG (1 X10 BLISTER),1,0200816,N,1,TAB,1.0,,AB,11/27/2018,12/13/2018,10/13/2021,
68382,772,30,68382077230,LANSOPRAZOLE DR OD TAB 30MG (1 X10 BLISTER),1,0200816,N,1,TAB,1.0,,AB,11/27/2018,12/13/2018,10/13/2021,
69367,332,60,69367033260,Levetiracetam ER Tabs UPS 500mg 60ct,1,0205130,N,1,TAB,60.0,,AB,03/18/2009,09/01/2021,10/13/2021,
69367,333,60,69367033360,Levetiracetam ER Tabs UPS 750mg 60ct,1,0205130,N,1,TAB,60.0,,AB,03/24/2009,09/01/2021,10/13/2021,
69367,338,1,69367033801,Carbidopa & Levodopa Tabs USP 10mg/100mg 100ct,1,0214092,N,1,TAB,100.0,,AB,09/30/1990,09/01/2021,10/13/2021,
69367,338,5,69367033805,Carbidopa & Levodopa Tabs USP 10mg/100mg 500ct,1,0214092,N,1,TAB,500.0,,AB,09/30/1990,09/01/2021,10/13/2021,
69367,339,1,69367033901,Carbidopa & Levodopa Tabs USP 25mg/100mg 100ct,1,0214092,N,1,TAB,100.0,,AB,09/30/1990,09/01/2021,10/13/2021,
69367,339,5,69367033905,Carbidopa & Levodopa Tabs USP 25mg/100mg 500ct,1,0214092,N,1,TAB,500.0,,AB,09/30/1990,09/01/2021,10/13/2021,
