NDC1,NDC2,NDC3,Labeler Name,Labeler Status,FDA Name,COD Status,FDA Application Number/OTC Monograph Number,Drug Category,Drug Type,Line Extension,FDA Approval Date,Market Date,Unit Type,Units Per Package Size,Therapeutic Equivalent Code,5i Indicator,Purchased Product Date,Coverage Effective Date,Drug Termination Date,Drug Reactivation Date,Date Reported to CMS
143,9141,1,HIKMA PHARMACEUTICALS USA INC.,Active,DOBUTamine HCl Intravenous Solution 12.5 MG/ML (IP),1,74277,N,1,N,10/31/1994,1/1/1995,ML,20.0,AP,Y,6/14/2023,6/14/2023,,,10/27/2023
143,9141,10,HIKMA PHARMACEUTICALS USA INC.,Active,DOBUTamine HCl Intravenous Solution 12.5 MG/ML X 10,1,74277,N,1,N,10/31/1994,1/1/1995,ML,200.0,AP,Y,6/14/2023,6/14/2023,,,10/27/2023
143,9161,1,HIKMA PHARMACEUTICALS USA INC.,Active,VANCOMYCIN HCl Inj 500mg/vial 15mL (IP),3,210274,I,1,N,1/20/2023,9/11/2023,EA,1.0,NR,Y,,9/11/2023,,,10/27/2023
143,9161,25,HIKMA PHARMACEUTICALS USA INC.,Active,VANCOMYCIN HCl Inj 500mg/vial 15mL ,3,210274,I,1,N,1/20/2023,9/11/2023,EA,25.0,NR,Y,,9/11/2023,,,10/27/2023
143,9162,1,HIKMA PHARMACEUTICALS USA INC.,Active,Vancomycin Hydrochloride for Injection 1g/vial (IP),3,210274,I,1,N,1/20/2023,9/11/2023,EA,1.0,NR,Y,,9/11/2023,,,10/27/2023
143,9162,10,HIKMA PHARMACEUTICALS USA INC.,Active,Vancomycin Hydrochloride for Injection 1g/vial,3,210274,I,1,N,1/20/2023,9/11/2023,EA,10.0,NR,Y,,9/11/2023,,,10/27/2023
143,9163,1,HIKMA PHARMACEUTICALS USA INC.,Active,VANCOMYCIN HCl Inj PBP 5g/vial,3,210274,I,1,N,1/20/2023,9/11/2023,EA,1.0,NR,Y,,9/11/2023,,,10/27/2023
143,9164,1,HIKMA PHARMACEUTICALS USA INC.,Active,VANCOMYCIN HCl Inj PBP 10g/vial,3,210274,I,1,N,1/20/2023,9/11/2023,EA,1.0,NR,Y,,9/11/2023,,,10/27/2023
143,9852,1,HIKMA PHARMACEUTICALS USA INC.,Active,"LEVOCARNITINE 200mg/mL, 1g/5mL (IP)",1,75567,N,1,N,3/29/2001,4/23/2001,ML,5.0,AP,Y,9/19/2023,9/19/2023,,,10/27/2023
143,9852,10,HIKMA PHARMACEUTICALS USA INC.,Active,"LEVOCARNITINE 200mg/mL, 1g/5mL ",1,75567,N,1,N,3/29/2001,4/23/2001,ML,50.0,AP,Y,9/19/2023,9/19/2023,,,10/27/2023
169,3206,11,"NOVO NORDISK, INC.",Active,FIASP PUMPCART 100U/ML 1X1.6ML INNER,2,208751,S,1,N,6/21/2023,9/18/2023,ML,1.6,NR,N,,9/18/2023,,,10/23/2023
169,3206,15,"NOVO NORDISK, INC.",Active,FIASP PUMPCART 100U/ML 5X1.6ML,2,208751,S,1,N,6/21/2023,9/18/2023,ML,8.0,NR,N,,9/18/2023,,,10/23/2023
264,5600,52,B. BRAUN MEDICAL INC.,Active,Calcium Gluconate,1,216541,N,1,N,8/21/2023,11/3/2023,ML,100.0,AP,Y,,11/3/2023,,,10/25/2023
944,2657,7,"Takeda Pharmaceuticals America, Inc.",Active,GAMMAGARD SD LOW IgA 5G vial,2,103133,S,1,N,5/10/1994,5/10/1994,GM,5.0,NR,Y,5/1/2013,5/1/2013,,,10/24/2023
944,2659,8,"Takeda Pharmaceuticals America, Inc.",Active,GAMMAGARD SD LOW IgA 10G Vial,2,103133,S,1,N,5/10/1994,5/10/1994,GM,10.0,NR,Y,4/15/2013,4/15/2013,,,10/24/2023
14789,136,5,"NEXUS PHARMACEUTICALS, INC.",Active,POTASSIUM CHLORIDE FOR INJECTION CONCENTRATE 20MEQ 10ML,1,217704,N,1,N,8/14/2023,9/12/2023,ML,250.0,AP,Y,,9/12/2023,,,10/27/2023
14789,137,5,"NEXUS PHARMACEUTICALS, INC.",Active,POTASSIUM CHLORIDE FOR INJECTION CONCENTRATE 40MEQ 20ML,1,217704,N,1,N,8/14/2023,9/12/2023,ML,250.0,AP,Y,,9/12/2023,,,10/27/2023
