NDC1,NDC2,NDC3,NDC-11,FDA Name(Product Name),COD Status,FDA Application Number/OTC Monograph Number,Drug Category,Drug Type,Unit Type,UPPS,Line Extension,TEC Code,FDA Approval Date,Market Date,Date Transferred From DDR to MDR,Termination Date
54.0,497.0,13.0,54049713.0,Everolimus Tab 7.5mg 30s,1.0,0207486,N,1.0,TAB,30.0,,AB,06/08/2020,06/09/2020,09/16/2021,
143.0,9084.0,1.0,143908401.0,Doxorubicin HCL Inj USP 10mg/5mL x 1,1.0,0062975,N,1.0,ML ,5.0,,AP,09/30/1990,05/01/1996,09/16/2021,
143.0,9085.0,1.0,143908501.0,Doxorubicin HCL Inj USP 20mg/10mL x 1,1.0,0062975,N,1.0,ML ,10.0,,AP,09/30/1990,05/01/1996,09/16/2021,
143.0,9086.0,1.0,143908601.0,Doxorubicin HCL Inj USP 50mg/25mL x 1,1.0,0062975,N,1.0,ML ,25.0,,AP,09/30/1990,05/01/1996,09/16/2021,
143.0,9088.0,1.0,143908801.0,Doxorubicin HCL Inj USP 10mg/5mL x 1 (NovaPlus),1.0,0062975,N,1.0,ML ,5.0,,AP,09/30/1990,05/20/1996,09/16/2021,
143.0,9089.0,1.0,143908901.0,Doxorubicin HCL Inj USP 20mg/10mL x 1 (NovaPlus),1.0,0062975,N,1.0,ML ,10.0,,AP,09/30/1990,05/20/1996,09/16/2021,
143.0,9090.0,1.0,143909001.0,Doxorubicin HCL Inj USP 50mg/25mL NovaPlus x 1,1.0,0062975,N,1.0,ML ,25.0,,AP,09/30/1990,05/20/1996,09/16/2021,
143.0,9398.0,10.0,143939810.0,"ERTAPENEM for Injection, 1 gram x 10",1.0,0208790,N,1.0,EA ,10.0,,AP,04/16/2018,08/20/2021,09/16/2021,
406.0,6221.0,5.0,406622105.0,METHADONE HCL ORAL SOLUTION 10 MG/ 5 ML,1.0,0207537,N,1.0,ML ,500.0,,AA,10/01/2019,08/17/2021,09/13/2021,
406.0,6225.0,5.0,406622505.0,METHADONE HCL ORAL SOLUTION 5 MG/ 5 ML,1.0,0207537,N,1.0,ML ,500.0,,AA,10/02/2019,08/17/2021,09/13/2021,
406.0,9100.0,76.0,406910076.0,FENTANYL TTS 100MCG/HR,1.0,0077154,N,1.0,TDP,5.0,,AB,02/09/2011,02/09/2011,09/13/2021,
13533.0,636.0,1.0,13533063601.0,HyperHEP B 1 mL,2.0,0101146,S,1.0,ML ,1.0,,NR,10/09/1996,10/09/1996,09/14/2021,
13668.0,569.0,1.0,13668056901.0,"Clobetasol Prop Cream USP, 0.05%, 15gm",1.0,0211836,N,1.0,GM ,15.0,,AB,12/30/2019,07/30/2021,09/15/2021,
13668.0,569.0,2.0,13668056902.0,"Clobetasol Prop Cream USP, 0.05% , 30gm",1.0,0211836,N,1.0,GM ,30.0,,AB,12/30/2019,07/30/2021,09/15/2021,
13668.0,569.0,4.0,13668056904.0,"Clobetasol Prop Cream USP, 0.05% , 45gm",1.0,0211836,N,1.0,GM ,45.0,,AB,12/30/2019,07/30/2021,09/15/2021,
13668.0,569.0,5.0,13668056905.0,"Clobetasol Prop Cream USP, 0.05% , 60gm",1.0,0211836,N,1.0,GM ,60.0,,AB,12/30/2019,07/30/2021,09/15/2021,
16714.0,59.0,1.0,16714005901.0,FEBUXOSTAT TAB 40MG 30 NSTR,1.0,0205467,N,1.0,TAB,1.0,,AB,07/01/2019,07/30/2019,09/14/2021,
16714.0,60.0,1.0,16714006001.0,FEBUXOSTAT TAB 80MG 30 NSTR,1.0,0205467,N,1.0,TAB,1.0,,AB,07/01/2019,07/30/2019,09/14/2021,
16714.0,157.0,1.0,16714015701.0,PROGESTER CP 100MG NSTR 100,1.0,0205229,N,1.0,CAP,1.0,,AB,10/20/2017,01/01/2021,09/14/2021,
16714.0,158.0,1.0,16714015801.0,PROGESTER CP 200MG NSTR 100,1.0,0205229,N,1.0,CAP,1.0,,AB,10/20/2017,01/01/2021,09/14/2021,
16714.0,166.0,1.0,16714016601.0,LIOTHY SOD TB 5MCG 100 NSTR,1.0,0214803,N,1.0,TAB,1.0,,AB,01/22/2021,02/25/2021,09/14/2021,
16714.0,167.0,1.0,16714016701.0,LIOTHY SOD TB 25MCG 100 NSTR,1.0,0214803,N,1.0,TAB,1.0,,AB,01/22/2021,02/25/2021,09/14/2021,
16714.0,168.0,1.0,16714016801.0,LIOTHY SOD TB 50MCG 100 NSTR,1.0,0214803,N,1.0,TAB,1.0,,AB,01/22/2021,02/25/2021,09/14/2021,
