OBJECTID,ID,SURFACE_MATERIAL,MAINTENANCE_RESPONSIBILITY,WIDTH,COMMENTS,GLOBALID,PLAN_NUM,MAPNUM,DEEDBOOK,DEEDPAGE,TRAIL_NAME,ADDITION_TRAIL_NAME,TRAILOWNER,TRAILNAME,SOURCEDATE,SOURCETYPE,ADA,SIGNAGE,RESTRICTION,PARK_REGISTRY_ID,TRIRIGA_ID,SENSITIVE_RESOURCE,DIFFICULTY,STEPS,PARK_NAME,SUPERVISOR_DISTRICT,PLANNING_DISTRICT,MAINTENANCE_AREA,CreationDate,Creator,EditDate,Editor,Shape__Length
1,801104,Asphalt,Fairfax County Park Authority,6.0,,e520c5d1-d190-4a64-8344-ce1741033f0e,,0111,,,,,,,2007/03/08 00:00:00+00,GPS,,,,304.0,PA304-TRL-A,, ,F,Sugarland Run Stream Valley,Dranesville,Upper Potomac,6,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,67.6019414772577
2,803670,Natural,Fairfax County Park Authority,6.0,,1b261c42-bd58-4ddd-8613-abfbe61e2753,,0604,,,,,,,2007/04/16 00:00:00+00,GPS,,,,205.0,PA205-TRL-N,, ,F,Mason District,Mason,Annandale,2,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,1417.85162831312
3,801499,Bridge,Fairfax County Park Authority,4.0,,ec527aec-7199-4ca0-a454-c940656eb2b7,,0442,,,,,,,2007/03/20 00:00:00+00,GPS,,,,108.0,PA108-TRL-BG,, ,F,Frog Branch Stream Valley,Sully,Bull Run,5,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,41.7704238009746
4,805568,Asphalt,Fairfax County Park Authority,6.0,,8fbc0195-0c75-471a-b458-c9d348bfea94,,0481,,,,,,,,,,,,,,,,,Nottoway,Providence,Vienna,1,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,330.578056096759
5,802354,Asphalt,Fairfax County Park Authority,6.0,CCT,7da09227-c36a-4dbf-8ae1-1aaac7c19163,,0894,,,Cross County Trail,,,,2007/04/02 00:00:00+00,GPS,,,,259.0,PA259-TRL-A,, ,F,Pohick Stream Valley,Springfield,Pohick,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,95.0247792021392
6,802541,Asphalt,Fairfax County Park Authority,8.0,,1d02e0ce-5e3c-4f1c-a6c2-7debfc28be1e,,0692,,,,,,,2007/03/30 00:00:00+00,GPS,,,,281.0,PA281-TRL-A,, ,F,Rutherford,Braddock,Annandale,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,40.5941204367648
7,803525,Asphalt,Fairfax County Park Authority,6.0,,b41c47d3-c2a9-4977-9786-44912bd2cf10,,0604,,,,,,,2007/04/16 00:00:00+00,GPS,,,,205.0,PA205-TRL-A,, ,F,Mason District,Mason,Annandale,2,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,83.9240905848188
8,801645,Asphalt,Fairfax County Park Authority,6.0,,dacc3e67-504b-425e-804f-313b24bc835b,,0444,,,,,,,2007/03/27 00:00:00+00,GPS,,,,273.0,PA273-TRL-A,, ,F,Rocky Run Stream Valley,Sully,Bull Run,5,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,1114.26518887953
9,800259,Concrete,Fairfax County Park Authority,8.0,,61b8ec39-78b3-4090-b735-3c13a45b352f,,0792,,,,,,,2007/02/21 00:00:00+00,GPS,,,,167.0,PA167-TRL-C,, ,F,Lake Accotink,Braddock,Annandale,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,19.8802971550606
10,802477,Asphalt,Fairfax County Park Authority,8.0,CCT,ed687e22-e621-4633-8de9-8660428e5b1f,,1071,,,Cross County Trail,,,,2007/04/04 00:00:00+00,GPS,,,,392.0,PA392-TRL-A,, ,F,Laurel Hill,Mount Vernon,Lower Potomac,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,22.5183644928736
12,802573,Gravel,Fairfax County Park Authority,6.0,,eb489255-41d8-483d-8110-1b571fe91a7d,,0892,,,,,,,2007/04/02 00:00:00+00,GPS,,,,1.0,PA1-TRL-G,, ,F,Accotink Stream Valley,Franconia,Springfield,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,645.81163601718
13,801911,Asphalt,Fairfax County Park Authority,8.0,,6c5ff1f3-051e-4259-b762-11840ef7ca28,,0453,,,,,,,2007/03/27 00:00:00+00,GPS,,,,121.0,PA121-TRL-A,, ,F,Greenbriar,Springfield,Bull Run,5,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,379.84386427709
14,801639,Asphalt,Fairfax County Park Authority,6.0,,a864e5ff-5aef-41f9-8faa-03d2362b9f2a,,0551,,,,,,,2007/03/27 00:00:00+00,GPS,,,,273.0,PA273-TRL-A,, ,F,Rocky Run Stream Valley,Sully,Bull Run,5,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,563.851792718575
15,801605,Asphalt,Fairfax County Park Authority,8.0,,59d1d8fd-4a12-4dd5-8542-267fbbf4e157,,0542,,,,,,,2007/03/27 00:00:00+00,GPS,,,,77.0,PA77-TRL-A,, ,F,Ellanor C. Lawrence,Sully,Bull Run,5,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,233.752786744205
17,802548,Concrete,Fairfax County Park Authority,6.0,,5801e97f-fecc-4d58-b324-de33316f102a,,0891,,,,,,,2007/03/29 00:00:00+00,GPS,,,,135.0,PA135-TRL-C,, ,F,Hidden Pond,Springfield,Pohick,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,112.614508985933
18,802483,Natural,Fairfax County Park Authority,4.0,,68ff7265-c3f9-4256-9156-31dcac6a3887,,0891,,,,,,,2007/03/29 00:00:00+00,GPS,,,,259.0,PA259-TRL-N,, ,F,Pohick Stream Valley,Springfield,Pohick,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,36.579735761294
19,801610,Woodchip,Fairfax County Park Authority,6.0,,2838d6ec-f42f-4013-8e36-096532df8daa,,0542,,,,,,,2007/03/28 00:00:00+00,GPS,,,,77.0,PA77-TRL-W,, ,T,Ellanor C. Lawrence,Sully,Bull Run,5,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,310.388362468923
20,800887,Natural,Fairfax County Park Authority,6.0,,cc774f93-5c8d-461f-8f56-08283752c227,,0211,,,Stubblefield Falls Overlook Trail,,,,2007/03/13 00:00:00+00,GPS,,,,284.0,PA284-TRL-N,, ,F,Scotts Run Nature Preserve,Dranesville,McLean,6,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,120.830803034219
21,804811,Asphalt,NOVA Parks,9.0,,686e9701-b7bc-4af0-b3b7-4836b8349903,,0484,,,,,,,2007/04/19 00:00:00+00,GPS,,,,314.0,PA314-TRL-A,, ,F,Towers,Providence,Fairfax,1,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,496.20033680446
22,802481,Asphalt,Fairfax County Park Authority,6.0,,a3d00692-0a44-4e57-950a-936ff8895a9c,,0703,,,,,,,2007/03/30 00:00:00+00,GPS,,,,196.0,PA196-TRL-A,, ,F,Long Branch Stream Valley,Braddock,Annandale,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,144.693294091507
23,804882,Concrete,Fairfax County Park Authority,6.0,,a909b576-4222-42c1-91c0-bac881367293,,0372,,,,,,,2007/04/19 00:00:00+00,GPS,,,,160.0,PA160-TRL-C,, ,F,Kemper,Hunter Mill,Vienna,1,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,62.9505832388845
24,800341,Concrete,Fairfax County Park Authority,4.0,,88e5446f-2f98-493e-b8fe-297d0d7a0136,,0792,,,,,,,2007/02/21 00:00:00+00,GPS,,,,167.0,PA167-TRL-C,, ,F,Lake Accotink,Braddock,Annandale,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,19.6346505170258
25,804137,Asphalt,Fairfax County Park Authority,6.0,,161ab3d2-feed-4983-85ea-6a3d587879e9,,0592,,,,,,,2007/04/13 00:00:00+00,GPS,,,,141.0,PA141-TRL-A,, ,F,Holmes Run Stream Valley,Mason,Jefferson,2,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,468.230524136392
26,804174,Asphalt,Fairfax County Park Authority,6.0,,08b35b08-699c-49e2-90bb-f9888641d62f,,0601,,,,,,,2011/06/20 00:00:00+00,GPS,,,,278.0,PA278-TRL-A,,,F,Roundtree,Mason,Jefferson,2,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,157.42828801676
27,803924,Asphalt,Fairfax County Park Authority,4.0,,6a1429f4-b9aa-40ab-918e-73e2c4af9977,,0921,,,,,,,2007/08/29 00:00:00+00,GPS,,,,177.0,PA177-TRL-A,, ,F,Franconia,Franconia,Rose Hill,3,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,55.0836514796608
28,801185,Natural,Fairfax County Park Authority,6.0,,a4e43ec4-91ed-4e22-be06-d73441cddcae,,0091,,,Madison's Escape Trail,,,,2007/02/27 00:00:00+00,GPS,,,,272.0,PA272-TRL-N,, ,F,Riverbend,Dranesville,Upper Potomac,6,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,850.449494900758
29,805043,Gravel,Fairfax County Park Authority,6.0,,01203354-f69e-4ec4-8293-92aa0936a064,,0703,,,,,,,2007/08/29 00:00:00+00,GPS,,,,196.0,PA196-TRL-G,, ,F,Long Branch Stream Valley,Braddock,Annandale,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,25.4912477128404
30,804623,Stonedust,Fairfax County Park Authority,8.0,,153ce0cd-b5eb-4d04-92c8-fe10d0ea32a6,,0304,,,,,,,2007/04/20 00:00:00+00,GPS,,,,29.0,PA29-TRL-SD,, ,F,Bryn Mawr,Dranesville,McLean,1,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,484.473698563361
31,803831,Natural,Fairfax County Park Authority,6.0,,c17b4c6a-53fb-4311-82fe-4a729eae26d5,,0703,,,,,,,2007/04/17 00:00:00+00,GPS,,,,233.0,PA233-TRL-N,, ,F,Oak Hill,Braddock,Annandale,2,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,59.514473251695
32,802436,Asphalt,Fairfax County Park Authority,6.0,,891c4db0-0c2c-4d05-8f6a-97f240956de2,,0891,,,,,,,2007/03/29 00:00:00+00,GPS,,,,135.0,PA135-TRL-A,, ,F,Hidden Pond,Springfield,Pohick,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,148.732541552468
33,803299,Asphalt,Fairfax County Park Authority,6.0,,496add40-2054-4295-9cb1-37c0e666be14,,0821,,,,Connector,,,2007/04/09 00:00:00+00,GPS,,,,203.0,PA203-TRL-N,,,F,Mark Twain,Franconia,Rose Hill,3,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,272.516740761474
34,800554,Gravel,Fairfax County Park Authority,6.0,,ec825df0-fd24-42d1-875e-77353b4c8318,,0184,,,,,,,2007/03/07 00:00:00+00,GPS,,,,66.0,PA66-TRL-G,, ,F,Difficult Run Stream Valley,Hunter Mill,Upper Potomac,6,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,609.860903993686
35,802954,Asphalt,Fairfax County Park Authority,6.0,,78293945-7352-44b0-9f3f-5002b719cd2c,,0983,,,,,,,2007/04/04 00:00:00+00,GPS,,,,293.0,PA293-TRL-A,, ,F,South Run Stream Valley,Mount Vernon,Pohick,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,84.4217914466292
36,803025,Asphalt,Fairfax County Park Authority,6.0,,d98fef31-816b-4038-82c7-d3843e833132,,0971,,,,,,,2007/04/05 00:00:00+00,GPS,,,,293.0,PA293-TRL-A,, ,F,South Run District,Springfield,Pohick,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,1314.58406631405
37,803938,Asphalt,Fairfax County Park Authority,6.0,,ca160289-45d1-4647-9807-aea065255ad0,,0223,,,,,,,2007/08/29 00:00:00+00,GPS,,,,173.0,PA173-TRL-A,, ,F,Langley Fork,Dranesville,McLean,1,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,437.090983012046
39,801275,Natural,Fairfax County Park Authority,8.0,,fb1f20a4-0a2f-4bd7-8a56-7d80c3aeff48,,0091,,,Follow The Hollows Trail,,,,2007/02/27 00:00:00+00,GPS,,,,272.0,PA272-TRL-N,, ,F,Riverbend,Dranesville,Upper Potomac,6,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,302.451795012221
41,802169,Gravel,Fairfax County Park Authority,6.0,,39d479db-3faa-4c36-a5da-c2d1bf0fc671,,0971,,,,,,,2007/04/05 00:00:00+00,GPS,,,,292.0,PA292-TRL-G,, ,F,South Run District,Springfield,Pohick,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,472.579817999953
42,800545,Natural,Fairfax County Park Authority,8.0,,1f2884d3-80d2-4de5-9a1f-7f54d94ad8b0,,0251,,,,,,,2007/03/15 00:00:00+00,GPS,,,,109.0,PA109-TRL-N,, ,F,Frying Pan Farm,Hunter Mill,Upper Potomac,6,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,192.268975213447
43,801086,Natural,Fairfax County Park Authority,4.0,,b7b1d8f7-866d-4f24-a76f-60f06591f382,,0211,,,,,,,2007/03/12 00:00:00+00,GPS,,,,284.0,PA284-TRL-N,, ,F,Scotts Run Nature Preserve,Dranesville,McLean,6,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,173.844294682402
44,800838,Concrete,Fairfax County Park Authority,6.0,,ac7575dc-8372-4a88-b8fc-97e33133ef36,,0162,,,,,,,2007/03/08 00:00:00+00,GPS,,,,28.0,PA28-TRL-C,, ,F,Bruin,Dranesville,Upper Potomac,6,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,19.4541868785999
45,804612,Gravel,Fairfax County Park Authority,4.0,,da177cfc-08a4-4db7-8543-e778c0f15c81,,0304,,,,,,,2007/04/20 00:00:00+00,GPS,,,,248.0,PA248-TRL-G,, ,F,Pimmit Run Stream Valley,Dranesville,McLean,1,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,846.165540484251
46,800238,Natural,Fairfax County Park Authority,4.0,,e3496c76-b08a-4282-92fc-6b90e30691c5,,0792,,,,,,,2007/01/30 00:00:00+00,GPS,,,,167.0,PA167-TRL-N,, ,F,Lake Accotink,Braddock,Annandale,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,33.8235941241978
47,800152,Natural,Fairfax County Park Authority,4.0,,882a7501-0d23-42c7-8f49-d5ee4465ddec,,0791,,,,,,,2007/02/08 00:00:00+00,GPS,,,,167.0,PA167-TRL-N,, ,F,Lake Accotink,Braddock,Annandale,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,88.8269061975462
48,805728,Gravel,Fairfax County Park Authority,4.0, ,fc932cad-71b8-4735-a054-69e7a81dee15,,0723,,,,,,,,,,,,,,,,,Bren Mar,Mason,Lincolnia,3,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,1278.23435990088
50,801249,Gravel,Fairfax County Park Authority,8.0,,4da6d360-402c-4a3b-bdc2-4605de887f69,,0251,,,,,,,2007/03/15 00:00:00+00,GPS,,,,109.0,PA109-TRL-G,, ,F,Frying Pan Farm,Hunter Mill,Upper Potomac,6,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,40.3079849992979
51,805393,Asphalt,Fairfax County Park Authority,8.0,,11d26ce7-ecf9-4ed3-934c-fdb058bba339,009237-SAB -002-2 ,0671,,,,,,,2011/07/05 00:00:00+00,GPS,,,,393.0,PA393-TRl-A,,,F,Patriot,Springfield,Pohick,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,27.5976917745278
52,802969,Asphalt,Fairfax County Park Authority,6.0,,501ea00b-c0a7-4721-8bb1-a5b1f1a3b209,,0781,,,,,,,2007/03/29 00:00:00+00,GPS,,,,259.0,PA259-TRL-A,, ,F,Pohick Stream Valley,Braddock,Pohick,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,446.169760745516
55,801544,Asphalt,Fairfax County Park Authority,6.0,,eaf15178-fa76-4e0b-be55-902d84af9718,,0453,,,,,,,2007/03/27 00:00:00+00,GPS,,,,273.0,PA273-TRL-G,, ,F,Rocky Run Stream Valley,Springfield,Bull Run,5,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,58.9522043710277
56,802853,Stonedust,Fairfax County Park Authority,6.0,,8304db78-71c5-4601-b8be-b86fc48b2853,,0781,,,,,,,2007/03/28 00:00:00+00,GPS,,,,279.0,PA279-TRL-SD,, ,F,Royal Lake,Braddock,Pohick,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,248.787748902444
57,803447,Natural,Fairfax County Park Authority,4.0,,60e441a0-b2fc-40eb-ae4e-31e49c4a994d,,0911,,,,,,,2011/06/24 00:00:00+00,GPS,,,,,PA297-TRL-N,,,F,Springfield Forest,Franconia,Springfield,3,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,215.797495043049
58,800948,Natural,Fairfax County Park Authority,6.0,,7dc8358f-f144-4b08-a8d7-26b9c3c557d0,,0082,,,Bootlegger,,,,2007/02/27 00:00:00+00,GPS,,,,272.0,PA272-TRL-N,, ,F,Riverbend,Dranesville,Upper Potomac,6,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,565.41194995723
59,803762,Asphalt,Fairfax County Park Authority,6.0,,1d959349-1525-42e8-a05a-af7481ba0b2a,,0603,,,,,,,2011/06/20 00:00:00+00,GPS,,,,161.0,PA161-TRL-A,,,F,Kendale Woods,Mason,Annandale,2,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,58.3284941307777
60,803325,Asphalt,Fairfax County Park Authority,4.0,,28e79d88-4ea4-4628-8ec8-106a4d3038a8,,1013,,,,,,,2007/04/10 00:00:00+00,GPS,,,,350.0,PA350-TRL-A,, ,F,Woodlawn,Mount Vernon,Mount Vernon,3,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,36.754938782181
62,805125,Asphalt,Fairfax County Park Authority,6.0,Biking Multi,e3d47e3f-03dc-47cc-a2d4-cba8a2694ec4,,0063,,,,,,,,,,,,,,,,,Holly Knoll,Dranesville,Upper Potomac,6,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,308.53716457138
63,803804,Asphalt,Fairfax County Park Authority,6.0,,1eff2ec0-a1e0-4340-989b-c576a12e06ee,,0494,,,,,,,2007/04/13 00:00:00+00,GPS,,,,265.0,PA265-TRL-A,, ,F,Providence Rec Center,Mason,Jefferson,2,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,589.112861443018
64,800889,Asphalt,Fairfax County Park Authority,6.0,,5dd86632-3939-4515-878e-5b4d891d79b6,,0284,,,,,,,2007/03/07 00:00:00+00,GPS,,,,333.0,PA333-TRL-A,, ,F,Waverly,Hunter Mill,Vienna,1,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,133.703180587978
66,804163,Asphalt,Fairfax County Park Authority,6.0,,7ca56e8b-65bc-4df0-8467-ffc6db4eaafd,,0601,,,,,,,2011/06/20 00:00:00+00,GPS,,,,278.0,PA278-TRL-A,,,F,Roundtree,Mason,Jefferson,2,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,49.0400200465246
67,800065,Asphalt,Fairfax County Park Authority,6.0,,d4af1182-cc30-4c7e-94a1-ef1d2df6fd81,,0792,,,,,,,2007/02/21 00:00:00+00,GPS,,,,167.0,PA167-TRL-A,, ,F,Lake Accotink,Braddock,Annandale,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,198.148651389786
68,804668,Concrete,Fairfax County Park Authority,4.0,,e6ac6e6a-43dd-49ee-ab65-893bb61833fc,,0401,,,,,,,2007/04/20 00:00:00+00,GPS,,,,239.0,PA239-TRL-C,, ,F,Olney,Dranesville,McLean,1,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,29.8127468787133
69,803273,Asphalt,Fairfax County Park Authority,4.0,,d2f38963-76f9-4576-868e-0ad1f4aa5277,,1021,,,,,,,2007/04/10 00:00:00+00,GPS,,,,245.0,PA245-TRL-A,, ,F,Kirk,Mount Vernon,Mount Vernon,3,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,333.304273234526
70,800204,Natural,Fairfax County Park Authority,4.0,,795e45c4-d228-4dd2-aa52-272deb37e9e1,,0791,,,,,,,2007/02/08 00:00:00+00,GPS,,,,167.0,PA167-TRL-N,, ,F,Lake Accotink,Braddock,Annandale,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,629.35212213579
71,803259,Concrete,Fairfax County Park Authority,8.0,,563b0040-9562-41b1-9b0d-1f1adbeca287,,1012,,,,,,,2007/04/12 00:00:00+00,GPS,,,,223.0,PA223-TRL-C,, ,F,Mount Vernon Woods,Franconia,Mount Vernon,3,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,30.1815781709381
72,803853,Gravel,Fairfax County Park Authority,6.0,,730f5446-c88b-42e5-adb1-58bc75e15e0b,,0702,,,,,,,2007/04/18 00:00:00+00,GPS,,,,328.0,PA328-TRL-G,, ,F,Wakefield,Braddock,Annandale,2,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,833.461018320738
73,801795,Asphalt,Fairfax County Park Authority,6.0,,0c51402d-d937-43e9-a47a-f7b37b9c7481,,0551,,,,,,,2007/03/23 00:00:00+00,GPS,,,,6.0,PA6-TRL-A,, ,F,Arrowhead,Sully,Bull Run,5,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,947.953228664528
74,802074,Asphalt,Fairfax County Park Authority,4.0,,a285ee1b-de2e-4f96-9a19-94f489a4e73b,,0541,,,,,,,2007/03/21 00:00:00+00,GPS,,,,273.0,PA273-TRL-A,, ,F,Rocky Run Stream Valley,Sully,Bull Run,5,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,137.860435211647
75,805137,Concrete,Fairfax County Park Authority,6.0, ,580aa0d0-69c6-4236-9438-522522bae69d,,0471,,,,,,,,,,,,,,,,,Oak Marr,Providence,Fairfax,1,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,27.4825615604002
76,803376,Asphalt,Fairfax County Park Authority,4.0,,3902a0b7-f6d1-4eb3-904c-2be0e5c448fb,,0911,,,,,,,2011/06/24 00:00:00+00,GPS,,,,297.0,PA297-TRL-A,,,F,Springfield Forest,Franconia,Springfield,3,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,90.5935660451054
77,801706,Natural,Fairfax County Park Authority,6.0,,5a86c7bf-5575-4e9e-8180-2d3606857c08,,0432,,,,,,,2007/03/20 00:00:00+00,GPS,,,,382.0,PA382-TRL-N,, ,F,Rock Hill District,Sully,Bull Run,5,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,56.8350747349246
78,805080,Concrete,Fairfax County Park Authority,6.0,,fc885d96-d027-4247-98db-ec8faeafa929,,0162,,,,,,,2007/03/08 00:00:00+00,GPS,,,,28.0,PA28-TRL-C,, ,F,Bruin,Dranesville,Upper Potomac,6,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,3.73445729377158
79,801000,Asphalt,Fairfax County Park Authority,6.0,,8218296c-f540-4e57-b533-a26b00cdd7ee,,0252,,,,,,,2007/03/09 00:00:00+00,GPS,,,,302.0,PA302-TRL-A,, ,F,Stratton Woods,Hunter Mill,Upper Potomac,6,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,66.1403294235
80,800540,Asphalt,Fairfax County Park Authority,6.0,,2b6aa5a6-e3f2-494f-b969-8e99b79b737d,,0252,,,,,,,2007/03/09 00:00:00+00,GPS,,,,302.0,PA302-TRL-A,, ,F,Stratton Woods,Hunter Mill,Upper Potomac,6,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,381.51310618558
81,805440,Natural,Fairfax County Park Authority,4.0, ,e294109a-954f-47b5-aee4-fef834decdf8,,0181,,,Rails to River Trail,,,,2011/11/14 00:00:00+00,GPS,,,,169.0,PA169_TRL-N,,,F,Lake Fairfax,Hunter Mill,Upper Potomac,6,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,738.481965515405
83,800339,Natural,Fairfax County Park Authority,6.0,CCT,a4217972-2783-4eaa-9a11-90918d2fa808,,0792,,,Cross County Trail,,,,2007/02/21 00:00:00+00,GPS,,,,167.0,PA167-TRL-N,, ,F,Lake Accotink,Braddock,Annandale,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,25.8215308356673
