OBJECTID,GNLCCCODE,NORWEST,PATCH_ID,MEANTEMPC,SLOPE,LENGTH_KM,CT_0BRK,CT_25BRK,CT_50BRK,CT_75BRK,CT_100BRK,NHDVERSION,SHAPELEN
318177,CW_100,Clearwater,100,10.71,10.72,1.5,0.669686,0.669686,0.669686,0.669686,0.669686,1,0.0175170784436983
318178,CW_101,Clearwater,101,10.1,10.07,5.89,0.863294,0.863294,0.863294,0.863294,0.863294,1,0.0701036047644763
318179,CW_102,Clearwater,102,10.36,14.09,5.14,0.76856,0.76856,0.76856,0.76856,0.76856,1,0.0523494706866197
318180,CW_103,Clearwater,103,9.8,13.97,4.55,0.600296,0.600296,0.600296,0.600296,0.600296,1,0.0450686857963318
318181,CW_104,Clearwater,104,10.39,6.65,2.5,0.855458,0.766958,0.646654,0.504378,0.361389,1,0.0241855685116127
318182,CW_105,Clearwater,105,10.5,8.74,1.78,0.761442,0.710651,0.653961,0.592533,0.528069,1,0.0170402411300019
318183,CW_106,Clearwater,106,10.4,10.5,2.5,0.722102,0.722102,0.722102,0.722102,0.722102,1,0.024319997867593
318184,CW_107,Clearwater,107,10.36,12.31,2.79,0.655819,0.655819,0.655819,0.655819,0.655819,1,0.0330764022985505
318185,CW_108,Clearwater,108,10.18,11.21,3.93,0.755655,0.755655,0.755655,0.755655,0.755655,1,0.0426055490640108
318186,CW_109,Clearwater,109,10.78,8.36,2.5,0.803896,0.747588,0.681517,0.607237,0.52764,1,0.0288489473468945
318187,CW_110,Clearwater,110,10.69,3.5,5.47,0.92543,0.806506,0.583318,0.31981,0.136378,1,0.0571783700186083
318188,CW_111,Clearwater,111,10.38,7.01,4.5,0.888239,0.821528,0.727227,0.606938,0.472109,1,0.0446557655364067
318189,CW_112,Clearwater,112,10.82,13.72,1.5,0.553415,0.553415,0.553415,0.553415,0.553415,1,0.0136514883724127
318190,CW_114,Clearwater,114,10.53,10.88,1.5,0.648817,0.648817,0.648817,0.648817,0.648817,1,0.0152684396972964
318191,CW_115,Clearwater,115,10.15,13.99,1.78,0.428382,0.428382,0.428382,0.428382,0.428382,1,0.0187434067130136
318192,CW_116,Clearwater,116,10.97,7.65,1.76,0.78877,0.708904,0.613632,0.508785,0.40316,1,0.0165136981853623
318193,CW_117,Clearwater,117,10.67,11.69,2.43,0.694717,0.694717,0.694717,0.694717,0.694717,1,0.0291315942918979
318194,CW_118,Clearwater,118,10.82,8.57,3.41,0.834638,0.788959,0.734674,0.672225,0.603021,1,0.0348031347382957
318195,CW_119,Clearwater,119,10.67,12.13,1.5,0.601548,0.601548,0.601548,0.601548,0.601548,1,0.0168975126615708
318196,CW_120,Clearwater,120,10.74,9.34,1.5,0.726277,0.691829,0.655103,0.616428,0.576221,1,0.0183122499444235
318197,CW_121,Clearwater,121,10.98,5.6,1.5,0.826325,0.694497,0.520652,0.341658,0.198692,1,0.0151901622734369
318198,CW_122,Clearwater,122,10.85,12.05,1.5,0.628103,0.628103,0.628103,0.628103,0.628103,1,0.0174988070718781
318199,CW_123,Clearwater,123,9.98,10.65,14.69,0.982916,0.982916,0.982916,0.982916,0.982916,1,0.154631419016985
318200,CW_124,Clearwater,124,10.99,4.62,1.5,0.845662,0.692523,0.480737,0.275655,0.135269,1,0.0153499471084667
318201,CW_125,Clearwater,125,10.87,5.53,1.5,0.835754,0.706378,0.532141,0.349698,0.202704,1,0.0184450083962117
318202,CW_126,Clearwater,126,10.6,10.26,2.19,0.726272,0.726272,0.726272,0.726272,0.726272,1,0.0261073230528913
318203,CW_127,Clearwater,127,10.83,6.44,1.5,0.816088,0.706655,0.56668,0.415189,0.278196,1,0.0174338704425971
318204,CW_129,Clearwater,129,10.72,9.56,6.58,0.91532,0.900871,0.884269,0.865301,0.843775,1,0.0584846677112314
318205,CW_133,Clearwater,133,10.97,5.66,1.5,0.825853,0.695581,0.524025,0.346604,0.203563,1,0.016454623219603
318206,CW_134,Clearwater,134,10.81,8.05,1.5,0.770595,0.699944,0.618313,0.529404,0.43859,1,0.0145190092252656
318207,CW_135,Clearwater,135,10.83,9.99,1.5,0.70509,0.690691,0.675912,0.660773,0.645299,1,0.0163954197494076
318208,CW_137,Clearwater,137,9.94,11.72,5.53,0.794899,0.794899,0.794899,0.794899,0.794899,1,0.0635130286465184
318209,CW_138,Clearwater,138,10.0,14.29,3.5,0.536303,0.536303,0.536303,0.536303,0.536303,1,0.0383716199541888
318210,CW_139,Clearwater,139,10.11,9.48,10.99,0.96015,0.950841,0.939495,0.925736,0.909149,1,0.11283769199614
318211,CW_141,Clearwater,141,10.24,14.6,3.5,0.580474,0.580474,0.580474,0.580474,0.580474,1,0.0415859248812084
318212,CW_143,Clearwater,143,9.71,13.09,3.96,0.587943,0.587943,0.587943,0.587943,0.587943,1,0.0482926574462484
318213,CW_145,Clearwater,145,10.72,4.95,1.5,0.860043,0.726699,0.535,0.332372,0.177236,1,0.0145241796099673
318214,CW_147,Clearwater,147,10.94,9.15,1.5,0.735768,0.695982,0.65303,0.607432,0.559881,1,0.0172250473006196
318215,CW_148,Clearwater,148,10.56,12.51,1.5,0.567084,0.567084,0.567084,0.567084,0.567084,1,0.0163070332323697
318216,CW_150,Clearwater,150,10.26,10.84,3.36,0.746612,0.746612,0.746612,0.746612,0.746612,1,0.0375715073941004
318217,CW_151,Clearwater,151,10.7,14.52,1.5,0.490565,0.490565,0.490565,0.490565,0.490565,1,0.0187206103640305
318218,CW_152,Clearwater,152,10.91,11.13,1.77,0.68904,0.68904,0.68904,0.68904,0.68904,1,0.0175713627185739
318219,CW_153,Clearwater,153,11.0,9.16,1.5,0.736401,0.6968,0.654045,0.608646,0.561287,1,0.0147127978840904
318220,CW_154,Clearwater,154,10.63,11.45,1.5,0.629876,0.629876,0.629876,0.629876,0.629876,1,0.0177847469123171
318221,CW_155,Clearwater,155,10.4,9.28,3.5,0.812982,0.781903,0.747264,0.709171,0.667887,1,0.040528267971171
318222,CW_156,Clearwater,156,10.81,11.74,1.5,0.635894,0.635894,0.635894,0.635894,0.635894,1,0.0159802366107285
318223,CW_157,Clearwater,157,10.57,11.89,1.5,0.601084,0.601084,0.601084,0.601084,0.601084,1,0.0157529833760764
318224,CW_158,Clearwater,158,10.28,10.88,6.12,0.869382,0.869382,0.869382,0.869382,0.869382,1,0.0665316701019805
318225,CW_159,Clearwater,159,10.67,12.01,1.5,0.607326,0.607326,0.607326,0.607326,0.607326,1,0.0155692349989019
318226,CW_160,Clearwater,160,10.23,14.6,4.41,0.664854,0.664854,0.664854,0.664854,0.664854,1,0.0423870362323264
318227,CW_161,Clearwater,161,10.46,10.73,2.5,0.716872,0.716872,0.716872,0.716872,0.716872,1,0.0283425460916282
318228,CW_162,Clearwater,162,10.29,10.78,4.5,0.808106,0.808106,0.808106,0.808106,0.808106,1,0.0449119757177365
318229,CW_163,Clearwater,163,10.71,5.89,3.5,0.879514,0.782145,0.638437,0.4648,0.299295,1,0.0338918509456924
318230,CW_164,Clearwater,164,10.83,8.01,2.81,0.823055,0.760791,0.685003,0.597894,0.504133,1,0.0265845366434909
318231,CW_168,Clearwater,168,10.82,12.2,2.45,0.696135,0.696135,0.696135,0.696135,0.696135,1,0.0238206056253164
318232,CW_170,Clearwater,170,10.56,8.65,1.5,0.751913,0.697687,0.637326,0.572301,0.504678,1,0.0138988344500931
318233,CW_172,Clearwater,172,10.63,13.76,1.5,0.513447,0.513447,0.513447,0.513447,0.513447,1,0.0139476085470137
318234,CW_173,Clearwater,173,10.79,14.25,1.5,0.523851,0.523851,0.523851,0.523851,0.523851,1,0.0155397334960971
318235,CW_175,Clearwater,175,10.33,11.63,4.59,0.793806,0.793806,0.793806,0.793806,0.793806,1,0.0472471881205696
318236,CW_176,Clearwater,176,10.24,11.89,1.5,0.560853,0.560853,0.560853,0.560853,0.560853,1,0.0145937293077173
318237,CW_177,Clearwater,177,10.57,11.19,1.5,0.636791,0.636791,0.636791,0.636791,0.636791,1,0.0169448318549555
318238,CW_178,Clearwater,178,10.65,10.6,1.5,0.670936,0.670936,0.670936,0.670936,0.670936,1,0.0165729283382936
318239,CW_179,Clearwater,179,10.0,13.01,2.49,0.52888,0.52888,0.52888,0.52888,0.52888,1,0.0278412118707305
318240,CW_180,Clearwater,180,10.72,14.14,1.5,0.513542,0.513542,0.513542,0.513542,0.513542,1,0.0191572095373318
318241,CW_181,Clearwater,181,10.34,8.69,3.5,0.827873,0.78385,0.73221,0.673374,0.608522,1,0.0361205971536139
318242,CW_183,Clearwater,183,10.15,14.55,1.95,0.407345,0.407345,0.407345,0.407345,0.407345,1,0.0186286340021165
318243,CW_184,Clearwater,184,10.04,12.21,1.74,0.530684,0.530684,0.530684,0.530684,0.530684,1,0.0186505408904436
318244,CW_185,Clearwater,185,10.73,12.86,2.66,0.67911,0.67911,0.67911,0.67911,0.67911,1,0.0301738666391592
318245,CW_186,Clearwater,186,9.78,10.13,3.44,0.747248,0.747248,0.747248,0.747248,0.747248,1,0.0351607108309391
