OBJECTID,NAMELSAD,Households_Total,Households_Total_Less_than__10_,Households_Total__10_000_to__14,Households_Total__15_000_to__24,Households_Total__25_000_to__34,Households_Total__35_000_to__49,Households_Total__50_000_to__74,Households_Total__75_000_to__99,Households_Total__100_000_to__1,Households_Total__150_000_to__1,Households_Total__200_000_or_mo,Households_Median_income__dolla,Households_Mean_income__dollars,Families_Total,Families_Total_Less_than__10_00,Families_Total__10_000_to__14_9,Families_Total__15_000_to__24_9,Families_Total__25_000_to__34_9,Families_Total__35_000_to__49_9,Families_Total__50_000_to__74_9,Families_Total__75_000_to__99_9,Families_Total__100_000_to__149,Families_Total__150_000_to__199,Families_Total__200_000_or_more,Families_Median_income__dollars,Families_Mean_income__dollars_,Marriedcouple_families_Total,Marriedcouple_families_Total_Le,Marriedcouple_families_Total__1,Marriedcouple_families_Total__2,Marriedcouple_families_Total__3,Marriedcouple_families_Total__4,Marriedcouple_families_Total__5,Marriedcouple_families_Total__7,Marriedcouple_families_Total__6,Marriedcouple_families_Total__8,Marriedcouple_families_Total__9,Marriedcouple_families_Median_i,Nonfamily_households_Total,Nonfamily_households_Total_Less,Nonfamily_households_Total__10_,Nonfamily_households_Total__15_,Nonfamily_households_Total__25_,Nonfamily_households_Total__35_,Nonfamily_households_Total__50_,Nonfamily_households_Total__75_,Nonfamily_households_Total__100,Nonfamily_households_Total__150,Nonfamily_households_Total__200,Nonfamily_households_Median_inc,Nonfamily_households_Mean_incom,City,Shape__Length_1,Shape__Area_1,Shape__Area,Shape__Length
11,Census Tract 3190.02,886.0,14.6,5.2,15.7,4.5,15.0,12.3,5.2,6.7,10.5,10.4,39259.0,79750.0,268.0,7.8,0.0,9.0,0.0,13.4,5.6,6.0,12.7,19.0,26.5,132857.0,140870.0,185.0,5.9,0.0,0.0,0.0,2.7,7.0,0.0,18.4,27.6,38.4,168250.0,618.0,17.5,7.4,18.6,6.5,19.7,11.2,4.9,4.0,6.8,3.4,31250.0,51837.0,Tempe,,,17622649.5286255,21785.9883780308
12,Census Tract 3198.01,1329.0,4.2,3.8,0.0,14.1,16.3,27.7,14.1,16.7,1.4,1.7,55747.0,66774.0,596.0,4.2,8.4,8.4,10.6,10.6,31.7,12.9,13.3,0.0,0.0,55670.0,59381.0,137.0,18.2,0.0,0.0,0.0,8.8,32.1,0.0,40.9,0.0,0.0,68992.0,733.0,7.6,0.0,0.0,16.9,23.1,21.8,13.0,15.0,2.6,0.0,50653.0,60993.0,Tempe,,,13290819.2783203,15343.1825431724
13,Census Tract 3198.02,1964.0,1.9,0.8,1.6,17.4,17.7,35.6,13.3,4.0,6.8,1.1,53494.0,64947.0,839.0,0.0,0.0,4.1,11.4,18.2,31.7,11.9,9.3,10.7,2.6,70596.0,79513.0,399.0,0.0,0.0,4.0,16.0,2.0,19.8,19.5,16.0,22.6,0.0,79193.0,1125.0,3.3,1.3,1.3,21.8,19.2,34.9,14.3,0.0,3.8,0.0,52632.0,52982.0,Tempe,,,14156858.6065063,15926.9851297517
14,Census Tract 1138,1287.0,5.7,2.7,4.4,13.6,12.2,29.8,11.7,15.6,1.7,2.6,59418.0,79544.0,343.0,0.6,2.9,2.3,13.7,10.2,27.7,12.0,27.1,0.0,3.5,65927.0,76051.0,273.0,0.7,0.0,2.9,9.2,12.8,26.7,9.2,34.1,0.0,4.4,67460.0,944.0,7.5,2.6,5.2,13.6,12.9,30.6,11.5,11.4,2.3,2.2,58060.0,80520.0,Phoenix,,,194921550.91449,63992.6398358492
15,Census Tract 4212.02,1464.0,5.6,1.6,7.3,11.8,19.7,12.4,7.9,24.8,2.0,6.9,54848.0,90104.0,871.0,6.1,2.6,0.8,10.4,10.9,14.5,12.6,30.8,0.2,11.0,79654.0,112787.0,491.0,0.0,0.0,0.0,9.2,12.8,11.2,11.4,37.3,0.4,17.7,104931.0,593.0,9.4,0.0,16.9,13.8,28.0,9.4,9.4,7.6,4.6,0.8,42951.0,51579.0,Mesa,,,16343596.5223389,19281.0273586181
16,Census Tract 3199.02,1254.0,12.4,3.7,1.8,12.0,8.2,18.6,8.5,23.4,6.1,5.2,59118.0,78051.0,601.0,0.0,1.7,2.2,7.0,24.8,2.8,11.5,33.4,10.8,5.8,102560.0,100436.0,382.0,0.0,2.1,3.4,8.6,1.0,4.5,14.1,40.8,16.2,9.2,109758.0,653.0,23.9,6.0,1.5,16.7,8.3,17.5,5.7,14.1,1.8,4.6,38859.0,56559.0,Tempe,,,27914622.9959717,21130.343946428
17,Census Tract 3199.03,2297.0,8.1,6.9,3.8,6.7,12.8,11.8,5.5,17.6,11.5,15.3,74861.0,122984.0,1149.0,4.2,7.7,4.0,10.0,1.8,8.6,7.1,24.5,15.0,17.1,106461.0,130686.0,894.0,1.6,8.1,5.1,10.6,2.3,4.8,4.8,26.0,14.7,22.0,119615.0,1148.0,12.0,6.2,3.6,5.1,23.9,14.5,4.4,8.9,11.6,9.9,48333.0,111521.0,Tempe,,,28758171.1015015,22009.2204308038
18,Census Tract 3199.04,1850.0,1.7,1.1,4.1,1.9,5.6,14.6,13.5,30.1,14.3,13.2,112778.0,116178.0,1366.0,0.7,1.1,3.3,0.7,5.7,15.0,11.1,30.5,14.6,17.3,121084.0,124290.0,1209.0,0.0,0.0,1.3,0.7,5.6,14.3,11.5,31.1,15.9,19.5,122274.0,484.0,4.3,4.1,6.2,5.4,5.4,16.9,19.6,22.9,13.2,1.9,79786.0,87686.0,Tempe,,,27959231.421936,20940.334611157
19,Census Tract 3199.05,1924.0,4.9,1.6,7.4,3.4,10.0,18.3,20.0,16.5,12.5,5.6,77240.0,91597.0,1130.0,2.2,1.2,5.7,5.8,8.1,9.6,24.1,15.8,19.4,8.3,93311.0,106993.0,821.0,0.0,0.0,0.0,1.8,3.4,11.8,25.3,21.7,24.5,11.4,113750.0,794.0,8.7,2.0,9.8,0.0,12.7,30.9,14.1,17.5,2.6,1.6,66598.0,69686.0,Tempe,,,28140126.2286377,21203.2376594988
20,Census Tract 3199.06,1238.0,4.7,1.7,5.2,2.7,6.7,6.5,9.6,19.7,16.5,26.7,132585.0,154624.0,850.0,5.8,2.5,0.6,0.0,3.5,5.5,7.6,21.8,14.9,37.8,163750.0,182156.0,687.0,1.3,0.0,0.7,0.0,0.0,6.3,7.4,25.2,18.5,40.6,173555.0,388.0,12.6,0.0,15.2,8.5,3.4,8.8,13.9,15.2,19.8,2.6,76154.0,84111.0,Tempe,,,27320806.2979126,21111.8813291064
21,Census Tract 3199.10,1811.0,2.7,2.2,1.0,0.0,4.0,11.9,9.9,27.6,12.1,28.6,121793.0,161537.0,1240.0,0.6,4.4,0.9,1.9,2.6,9.9,9.5,22.1,15.7,32.3,148214.0,173253.0,1058.0,0.8,0.9,1.0,0.0,3.0,11.2,9.4,22.5,15.0,36.2,171204.0,571.0,7.2,1.4,1.4,0.0,7.2,13.3,10.9,35.2,4.2,19.3,109922.0,124070.0,Tempe,,,71803854.5217896,37824.5407794677
22,Census Tract 3200.01,4082.0,2.3,0.0,6.7,12.7,15.0,23.5,19.6,13.0,2.9,4.3,60057.0,72023.0,1704.0,0.9,2.3,9.8,12.3,5.9,27.3,11.2,22.6,4.0,3.6,62589.0,76623.0,965.0,0.0,0.0,6.8,3.8,6.2,20.8,14.5,39.2,7.2,1.5,95568.0,2378.0,3.2,0.0,4.4,13.0,19.9,22.4,24.6,5.6,2.0,4.8,56557.0,67721.0,Tempe,,,32814411.1715698,29023.0554362589
23,Census Tract 3199.08,1024.0,5.4,1.2,3.3,6.3,21.0,21.0,15.2,18.7,6.1,2.0,65500.0,75894.0,715.0,7.1,0.6,2.9,3.9,22.1,18.9,21.1,16.8,4.9,1.7,59543.0,74518.0,478.0,5.9,0.0,1.9,5.9,26.6,8.4,21.5,21.1,7.3,1.5,83958.0,309.0,4.2,3.9,6.8,9.7,20.7,26.5,8.4,13.9,5.8,0.0,63250.0,65299.0,Tempe,,,27862738.8483276,21101.4833862597
24,Census Tract 3199.09,1017.0,3.8,0.8,1.6,3.7,4.9,9.1,13.8,30.4,10.1,21.7,130017.0,145783.0,746.0,0.7,0.0,0.9,2.4,7.1,3.9,10.5,35.0,11.0,28.6,137679.0,169484.0,647.0,0.8,0.0,1.1,2.8,2.6,3.2,8.7,38.5,11.0,31.4,140969.0,271.0,12.5,3.0,3.3,7.4,12.2,23.6,11.8,15.5,7.7,3.0,54688.0,72892.0,Tempe,,,28462849.8683472,21326.2233823051
25,Census Tract 3200.07,3024.0,7.4,3.7,7.5,5.5,6.6,34.4,13.7,13.1,4.8,3.2,62913.0,73394.0,1364.0,9.9,1.4,4.5,0.0,7.3,28.2,21.8,16.6,6.3,4.0,74241.0,82454.0,606.0,0.0,0.0,0.0,0.0,6.1,17.8,27.4,29.0,10.6,9.1,97035.0,1660.0,5.4,5.5,13.6,10.1,6.1,35.9,9.3,8.0,3.6,2.5,57316.0,62890.0,Tempe,,,22186854.4934692,19803.0502296977
26,Census Tract 1152,875.0,9.7,3.2,8.8,8.8,14.9,26.3,13.1,9.8,5.4,0.0,53550.0,59974.0,662.0,7.9,0.5,11.3,8.8,11.0,30.8,9.7,13.0,7.1,0.0,57857.0,64359.0,346.0,1.7,0.9,8.1,4.0,10.7,35.0,3.5,22.5,13.6,0.0,61250.0,213.0,15.5,11.7,3.3,22.1,17.8,15.5,14.1,0.0,0.0,0.0,34526.0,39839.0,Phoenix,,,78198937.1694946,41155.2678667775
27,Census Tract 1162.02,1303.0,2.0,3.1,2.5,3.9,21.3,26.9,22.0,11.3,3.5,3.4,66350.0,75343.0,998.0,2.6,0.0,1.8,4.3,24.3,23.4,25.7,11.2,3.3,3.3,69853.0,76132.0,687.0,0.0,0.0,2.6,1.2,17.5,28.8,29.4,12.7,4.8,3.1,74957.0,305.0,0.0,13.4,4.9,2.6,19.7,43.3,9.8,2.0,4.3,0.0,55676.0,56750.0,Phoenix,,,15649986.8012695,16780.6655695962
28,Census Tract 2180,2539.0,2.4,1.4,6.7,4.8,8.5,14.9,18.0,24.6,9.3,9.3,83944.0,104557.0,1325.0,0.0,0.0,4.3,2.3,11.4,8.6,15.8,35.2,9.9,12.5,103700.0,127422.0,811.0,0.0,0.0,0.0,3.7,10.9,8.8,15.7,26.3,16.0,18.7,104304.0,1214.0,5.1,2.9,9.4,7.6,5.4,21.8,24.4,16.3,1.3,5.8,69813.0,74454.0,Scottsdale,,,28271814.6586914,21258.3393836072
29,Census Tract 2183,2801.0,11.0,3.4,9.0,6.0,15.0,20.9,16.9,12.0,2.1,3.6,54954.0,64121.0,570.0,8.4,0.0,5.4,13.0,9.3,19.3,12.5,7.7,6.7,17.7,69677.0,91648.0,235.0,8.5,0.0,1.3,0.0,13.6,29.8,0.0,18.7,16.2,11.9,,2231.0,13.0,4.3,9.4,4.3,16.5,20.6,18.7,13.0,0.3,0.0,52575.0,56275.0,Scottsdale,,,24115584.4991455,21028.8475123818
30,Census Tract 8102,1555.0,2.4,0.0,3.2,8.3,13.1,11.8,10.8,16.6,11.5,22.4,103672.0,120721.0,824.0,0.0,0.0,1.8,9.1,6.8,11.4,14.8,20.3,20.1,15.7,110455.0,131642.0,653.0,0.0,0.0,2.3,8.4,8.6,9.0,10.9,15.6,25.4,19.8,124650.0,731.0,5.1,0.0,4.8,7.4,20.1,12.9,6.4,11.6,1.8,30.0,,107715.0,Chandler,,,13955537.4269409,15879.804045677
31,Census Tract 1162.04,1302.0,4.5,2.1,1.5,5.2,15.4,26.4,26.0,15.7,1.2,2.0,62105.0,70473.0,875.0,5.0,0.0,14.2,5.3,10.6,19.4,27.9,12.9,1.7,3.0,60859.0,69102.0,458.0,3.7,0.0,0.0,0.0,15.1,28.6,30.6,15.1,1.3,5.7,87659.0,427.0,3.5,6.3,4.7,5.2,25.1,15.0,25.3,15.0,0.0,0.0,54514.0,62581.0,Phoenix,,,27613828.4667358,21024.2932790776
32,Census Tract 1162.05,1715.0,5.2,1.0,11.1,9.0,18.3,27.4,14.6,11.4,1.9,0.0,53561.0,59218.0,942.0,1.9,0.8,10.5,10.0,14.0,30.8,11.0,18.3,2.7,0.0,58125.0,67162.0,468.0,2.4,0.0,13.2,3.8,9.6,22.9,18.2,24.6,5.3,0.0,69063.0,773.0,9.3,1.2,13.2,7.9,22.1,23.3,18.9,3.1,1.0,0.0,45804.0,48980.0,Phoenix,,,12434664.1566162,15665.7717739233
33,Census Tract 3184,2292.0,8.3,3.1,4.6,2.9,14.8,26.4,6.0,28.5,4.9,0.6,63418.0,75065.0,901.0,4.3,5.7,3.6,0.0,11.4,24.8,12.3,33.3,3.1,1.6,75112.0,82484.0,505.0,7.7,0.0,3.4,0.0,6.5,25.5,4.8,43.8,5.5,2.8,115625.0,1391.0,10.9,5.1,5.2,4.7,17.0,23.7,1.9,25.4,6.0,0.0,53719.0,67808.0,Tempe,,,87937379.6088867,47888.9575699405
34,Census Tract 3187,1599.0,21.3,3.9,6.0,10.3,6.6,17.0,10.2,12.6,4.9,7.1,55388.0,86226.0,327.0,19.0,0.0,0.0,1.2,3.1,6.7,3.7,15.9,22.3,28.1,150057.0,218561.0,246.0,2.8,0.0,0.0,0.0,1.6,7.3,4.9,21.1,29.7,32.5,151136.0,1272.0,23.0,3.8,7.5,12.7,7.5,19.7,11.9,11.7,0.5,1.7,41574.0,51494.0,Tempe,,,26363290.491333,21051.8811438211
35,Census Tract 1167.08,2492.0,1.1,0.0,5.7,13.8,12.2,15.0,19.8,20.7,5.3,6.4,77553.0,88957.0,1273.0,0.0,0.0,3.1,9.0,12.3,18.5,23.5,18.9,9.4,5.3,79388.0,93978.0,980.0,0.0,0.0,0.0,10.0,5.3,16.8,28.8,22.3,9.9,6.8,88258.0,1219.0,2.2,0.0,8.3,18.8,12.1,16.1,14.9,18.9,3.0,5.7,59717.0,80223.0,Phoenix,,,36246623.217041,22674.723784341
36,Census Tract 1167.09,1297.0,12.0,0.0,15.0,1.1,12.4,15.5,20.2,15.2,5.6,3.2,62656.0,71844.0,523.0,11.5,0.0,17.0,1.0,7.3,11.1,17.4,24.3,5.0,5.5,75669.0,80641.0,319.0,15.0,0.0,6.3,1.6,11.9,2.5,10.7,34.8,8.2,9.1,103977.0,774.0,13.8,0.0,13.6,1.2,15.9,17.8,22.1,8.1,5.9,1.6,58382.0,64644.0,Phoenix,,,11699354.2033691,15267.540803626
37,Census Tract 1167.17,1528.0,5.4,3.9,13.1,12.6,13.4,22.3,16.2,9.9,2.2,1.0,51008.0,59024.0,693.0,1.4,8.7,27.7,1.4,5.8,25.1,14.3,10.7,4.9,0.0,60364.0,58163.0,310.0,0.0,7.7,35.8,0.0,0.0,14.2,21.3,10.0,11.0,0.0,60735.0,835.0,8.6,0.0,1.0,21.9,19.6,26.3,11.4,9.3,0.0,1.8,47336.0,58430.0,Phoenix,,,11556852.4810181,15095.773035252
38,Census Tract 3193,1042.0,24.2,5.1,7.2,14.0,9.4,19.4,15.2,2.2,3.4,0.0,34375.0,42127.0,450.0,5.6,4.2,4.9,26.0,7.8,31.3,12.4,5.1,2.7,0.0,50700.0,51050.0,309.0,4.5,6.1,7.1,16.5,11.3,32.0,14.6,3.9,3.9,0.0,57523.0,592.0,38.3,5.7,9.0,10.0,10.6,5.2,17.2,0.0,3.9,0.0,,33860.0,Tempe,,,11764585.7858276,17170.5496509198
39,Census Tract 3194.01,2538.0,10.8,2.3,3.5,12.5,10.5,17.2,11.4,21.5,8.2,2.1,64375.0,75551.0,1500.0,9.8,1.5,0.5,14.5,9.7,12.8,12.3,26.2,10.5,2.2,77159.0,84405.0,885.0,2.0,2.5,0.9,22.8,0.0,9.0,14.7,30.2,17.9,0.0,97813.0,1038.0,12.1,3.6,7.9,11.0,15.6,19.7,10.1,18.1,0.0,1.9,47409.0,59258.0,Tempe,,,28771553.7687988,21983.6827266161
40,Census Tract 3194.02,1653.0,6.5,1.1,3.4,3.9,5.4,27.3,20.8,15.8,10.2,5.5,77626.0,89647.0,1171.0,1.6,0.9,3.3,3.1,1.2,29.7,24.8,17.8,12.7,4.9,79545.0,98192.0,980.0,1.9,1.1,2.1,2.6,0.7,25.9,25.1,19.5,15.2,5.8,82115.0,482.0,18.5,1.5,3.5,8.3,17.2,27.2,8.1,7.1,3.1,5.6,50446.0,62616.0,Tempe,,,28212223.7845459,20979.7179480112
41,Census Tract 2181,963.0,8.3,3.4,0.6,17.7,5.6,13.0,8.7,17.9,16.0,8.8,80250.0,97551.0,447.0,0.0,6.3,0.0,5.1,8.1,10.1,10.5,29.1,18.8,12.1,122986.0,124030.0,331.0,0.0,0.0,0.0,4.5,4.2,3.6,14.2,33.8,23.3,16.3,134531.0,516.0,15.5,1.0,1.2,28.5,3.5,17.4,6.4,13.4,7.2,6.0,52708.0,71735.0,Scottsdale,,,10473438.625,13159.9793794995
42,Census Tract 3199.07,806.0,0.1,0.7,0.7,1.0,3.2,12.9,6.9,30.0,9.7,34.6,144054.0,177622.0,632.0,0.2,0.0,0.0,1.3,4.1,13.1,5.5,35.8,7.6,32.4,143480.0,179639.0,572.0,0.2,0.0,0.0,0.0,4.0,8.9,6.1,38.6,7.5,34.6,144088.0,174.0,0.0,3.4,3.4,0.0,0.0,12.1,12.1,12.1,17.2,39.7,152143.0,165260.0,Tempe,,,27802122.7484741,21111.7145017241
43,Census Tract 9413,2417.0,12.7,7.9,17.2,13.8,13.3,19.2,9.2,4.0,1.1,1.7,33663.0,44777.0,1485.0,6.9,3.8,17.4,16.8,16.6,19.1,10.1,5.5,1.8,2.0,40586.0,51337.0,497.0,0.0,0.0,17.3,0.0,22.1,29.4,19.5,6.2,5.4,0.0,59135.0,932.0,26.2,12.1,14.9,8.9,11.5,19.3,5.9,0.0,0.0,1.2,22656.0,32050.0,Unincorporated Maricopa County,,,2369341435.16705,259565.935776209
44,Census Tract 2182,3142.0,2.7,2.4,3.1,10.3,8.7,12.8,10.3,28.8,7.1,13.8,99593.0,110390.0,1065.0,0.0,1.5,3.0,2.6,17.4,15.7,10.9,21.6,11.1,16.2,96302.0,121249.0,766.0,0.0,2.1,2.6,0.0,9.1,12.1,15.1,20.9,15.4,22.6,128447.0,2077.0,4.1,2.8,3.1,14.2,4.2,11.4,10.0,32.5,5.1,12.6,100341.0,104532.0,Scottsdale,,,27827176.0415649,21093.9268661699
45,Census Tract 3185.01,1625.0,3.3,1.4,12.9,13.5,13.1,26.2,17.0,3.0,5.3,4.3,59861.0,68943.0,540.0,0.0,2.4,11.5,11.3,13.7,11.3,41.9,1.3,4.3,2.4,72000.0,76167.0,322.0,0.0,1.6,0.0,13.0,6.2,6.8,59.0,2.2,7.1,4.0,84750.0,1085.0,5.0,1.6,12.9,14.6,12.8,34.7,4.7,2.8,5.8,5.3,53592.0,64659.0,Tempe,,,14180941.0993042,18761.0131847842
46,Census Tract 3200.02,1614.0,17.3,5.2,19.3,0.9,9.9,19.7,9.1,10.7,0.0,7.9,45114.0,67226.0,1222.0,15.2,2.1,14.2,2.1,10.5,20.6,11.4,13.4,0.0,10.5,54897.0,80698.0,699.0,2.7,3.7,7.0,1.1,13.4,30.6,7.2,17.2,0.0,17.0,65078.0,392.0,24.0,14.8,35.2,1.8,6.4,17.9,0.0,0.0,0.0,0.0,16146.0,23310.0,Guadalupe,,,22270621.4349976,22202.4651987452
